time,GFDL-ESM2G,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,IPSL-CM5A-LR,GISS-E2-R,CANESM2,CESM1-CAM5,GFDL-CM3
2080.0,5383610000.0,4053939200.0,5393882600.0,2859294200.0,3229590800.0,5458148000.0,2990448000.0,5927956000.0,2263132000.0,2832389000.0,1788836200.0
2081.0,5205461500.0,4440510500.0,5271946000.0,2833142300.0,3089177900.0,5246647000.0,2900633300.0,6283993000.0,2277746000.0,2740842200.0,1679349900.0
2082.0,5107204000.0,3867986200.0,5347137500.0,2707112000.0,3032004600.0,5146912300.0,2840163300.0,5842886700.0,2159147000.0,2583573500.0,1571529500.0
2083.0,5068161500.0,3893500400.0,5234521000.0,2632991700.0,3009825800.0,5087344600.0,2757701600.0,5702588000.0,2075163000.0,2395656200.0,1485827600.0
2084.0,5015814700.0,3724909000.0,5037377500.0,2519915500.0,2987943700.0,5232687000.0,2676218600.0,5836067000.0,2051220400.0,2297948400.0,1432851300.0
2085.0,4799587000.0,3835414300.0,4921377000.0,2562557000.0,3091686700.0,4886868000.0,2567830500.0,5663046700.0,1955763000.0,2204491800.0,1367056100.0
2086.0,4675444000.0,3614692600.0,4844290000.0,2337922000.0,2859632000.0,4784777000.0,2494229800.0,5514212000.0,1777032200.0,2073432000.0,1294708500.0
2087.0,4656067000.0,3480128500.0,4781057500.0,2218892000.0,2710094800.0,4669567500.0,2425579000.0,5432299500.0,1709154000.0,1943770400.0,1213674900.0
2088.0,4482219000.0,3359957000.0,4702662000.0,2136800900.0,2625842000.0,4574027300.0,2345304300.0,5340668400.0,1605347100.0,1863476900.0,1170099300.0
2089.0,4405706000.0,3277018400.0,4732206600.0,2071168300.0,2566163200.0,4517957000.0,2261432600.0,5260319000.0,1497099000.0,1753545300.0,1142118100.0
2090.0,4346722000.0,3290204700.0,4615161300.0,1975857800.0,2616029400.0,4601221600.0,2179685000.0,5171678000.0,1409267200.0,1598758700.0,1097460400.0
2091.0,4231348700.0,3145930800.0,4521697300.0,1886653800.0,2438880300.0,4402704400.0,2052012400.0,5476640000.0,1321876000.0,1521263500.0,1016938100.0
2092.0,4137852200.0,3076671000.0,5015862000.0,1810470300.0,2356852000.0,4265740500.0,1998548900.0,5148850700.0,1257158100.0,1501104300.0,979430340.0
2093.0,4216763400.0,2968652000.0,4463914000.0,1723433100.0,2353550000.0,4167139800.0,1946059000.0,5067707000.0,1212644700.0,1482869600.0,932711230.0
2094.0,3980068600.0,2844833500.0,4474088000.0,2005177000.0,2273798700.0,4130445600.0,1901879000.0,5123437600.0,1151785100.0,1431616100.0,901422100.0
2095.0,3878728200.0,2827328500.0,4726402000.0,1606768000.0,2173502200.0,3955769300.0,1940874600.0,5179896300.0,1113418600.0,1336482200.0,851070700.0
2096.0,3795038500.0,2684534300.0,4729683000.0,1515204200.0,2108738800.0,3870475300.0,1807540600.0,4948123000.0,1081350900.0,1287973900.0,836644100.0
2097.0,3707209000.0,2513636900.0,4381411000.0,1430984800.0,1965769200.0,3754350600.0,1738349600.0,5318517000.0,1025731260.0,1200879400.0,769342660.0
2098.0,3869351700.0,2548873200.0,4311352000.0,1373367600.0,1873009800.0,3864604000.0,1666996600.0,4888281600.0,1037927600.0,1126093200.0,747096640.0
2099.0,3573165000.0,2393914600.0,4543573500.0,1350325600.0,1806403100.0,3652855800.0,1610604500.0,4799855000.0,980539900.0,1130100100.0,724107260.0
2100.0,3497130500.0,2323007200.0,4205553200.0,1341831300.0,1802863900.0,3499307800.0,1600995100.0,4748003300.0,943848400.0,1056963000.0,693704600.0
