time,CESM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,CESM2-WACCM,GFDL-ESM4,EC-EARTH3-VEG
2066.0,1828138500000.0,1543081800000.0,1842910500000.0,1467232400000.0,1995912200000.0,1131804100000.0,1978721400000.0,1649423000000.0,1892154500000.0,1711263700000.0,1775255200000.0,1858001400000.0,1831164000000.0
2067.0,1801081200000.0,1523718200000.0,1825523200000.0,1433303800000.0,1974508800000.0,1098823800000.0,1948155900000.0,1619759700000.0,1869092000000.0,1698495900000.0,1752443800000.0,1829752000000.0,1793274400000.0
2068.0,1775183500000.0,1496696900000.0,1809015400000.0,1395963300000.0,1956079200000.0,1069027800000.0,1924889200000.0,1594913700000.0,1845100300000.0,1683391500000.0,1732445000000.0,1794901400000.0,1763040200000.0
2069.0,1755309900000.0,1471498200000.0,1785487400000.0,1357101300000.0,1952793100000.0,1039508900000.0,1913496800000.0,1578520700000.0,1825427400000.0,1666643500000.0,1701293600000.0,1758144400000.0,1725937200000.0
2070.0,1728339500000.0,1440857200000.0,1755044100000.0,1320908400000.0,1936385600000.0,1011535450000.0,1887702200000.0,1550393900000.0,1797384700000.0,1649920800000.0,1680490500000.0,1745518900000.0,1684638800000.0
2071.0,1706224500000.0,1412925000000.0,1730941800000.0,1276564600000.0,1906936000000.0,983715600000.0,1865050600000.0,1512618200000.0,1767358700000.0,1628679800000.0,1659829000000.0,1719684200000.0,1654624100000.0
2072.0,1677901000000.0,1391636800000.0,1708435700000.0,1231868900000.0,1881438200000.0,953686000000.0,1835418000000.0,1490083800000.0,1747183200000.0,1607939500000.0,1636125900000.0,1697599200000.0,1614547000000.0
2073.0,1650646800000.0,1369455700000.0,1695987800000.0,1189580800000.0,1868310400000.0,919775400000.0,1827617000000.0,1462072600000.0,1726629800000.0,1586687100000.0,1604167000000.0,1668061900000.0,1578020000000.0
2074.0,1623681400000.0,1341493900000.0,1667837000000.0,1149763700000.0,1844023900000.0,897550400000.0,1812134900000.0,1438117700000.0,1707897800000.0,1566230700000.0,1576138700000.0,1640001300000.0,1542843700000.0
2075.0,1597338300000.0,1319178100000.0,1635625600000.0,1118570800000.0,1816195900000.0,880613460000.0,1805563200000.0,1419948200000.0,1692825600000.0,1547967300000.0,1556198200000.0,1622407500000.0,1512637900000.0
2076.0,1572386000000.0,1297963200000.0,1616054300000.0,1081634400000.0,1805723900000.0,855389900000.0,1781605300000.0,1384127900000.0,1662264400000.0,1510959300000.0,1536851800000.0,1599108000000.0,1474332300000.0
2077.0,1541113000000.0,1276093700000.0,1584469200000.0,1049427250000.0,1782074600000.0,829193500000.0,1759903000000.0,1355891600000.0,1639949400000.0,1487071900000.0,1509711300000.0,1546827100000.0,1439632500000.0
2078.0,1510911800000.0,1252328600000.0,1551810400000.0,1017789500000.0,1766174100000.0,799516600000.0,1742989600000.0,1334550300000.0,1607977400000.0,1468929300000.0,1493424100000.0,1525067400000.0,1389887500000.0
2079.0,1484135200000.0,1231644100000.0,1517284000000.0,990786550000.0,1747430700000.0,778856000000.0,1722098300000.0,1313983300000.0,1572823200000.0,1459555500000.0,1469624700000.0,1505759600000.0,1347863800000.0
2080.0,1449297000000.0,1209173000000.0,1503077000000.0,960270040000.0,1720899700000.0,749895160000.0,1703742400000.0,1297490100000.0,1547259500000.0,1441568800000.0,1436562100000.0,1477117300000.0,1319796700000.0
2081.0,1417920600000.0,1192834100000.0,1495385400000.0,929604300000.0,1698370700000.0,717269400000.0,1673268200000.0,1274203300000.0,1519731700000.0,1421229200000.0,1417650600000.0,1455371300000.0,1282134600000.0
2082.0,1391053600000.0,1171328100000.0,1468580600000.0,896459400000.0,1682656300000.0,689618700000.0,1648761800000.0,1259526700000.0,1495296900000.0,1407068900000.0,1400557800000.0,1441266700000.0,1240431500000.0
2083.0,1361131500000.0,1153674500000.0,1450492300000.0,859431900000.0,1660115900000.0,672727900000.0,1631058400000.0,1236993800000.0,1482845800000.0,1390305000000.0,1371253800000.0,1424081400000.0,1187895300000.0
2084.0,1332570100000.0,1123028400000.0,1437032600000.0,833662000000.0,1645689800000.0,652347600000.0,1614852400000.0,1219492600000.0,1460596400000.0,1358212900000.0,1349871600000.0,1389449200000.0,1150169400000.0
2085.0,1304719700000.0,1103004300000.0,1403831500000.0,801990600000.0,1624239600000.0,622538060000.0,1591657900000.0,1199643700000.0,1433162200000.0,1340553000000.0,1327470100000.0,1368504900000.0,1112983900000.0
2086.0,1284755200000.0,1081577100000.0,1375682800000.0,774570970000.0,1610041500000.0,594538000000.0,1574427600000.0,1177117700000.0,1409915600000.0,1324329300000.0,1314129800000.0,1346766100000.0,1076011860000.0
2087.0,1261114400000.0,1060178950000.0,1347250600000.0,746951400000.0,1593249600000.0,570571700000.0,1558263600000.0,1151686300000.0,1391370800000.0,1302927400000.0,1294278000000.0,1325030300000.0,1032268940000.0
2088.0,1239582100000.0,1039696860000.0,1327654900000.0,720734650000.0,1573630000000.0,552257100000.0,1524688200000.0,1133541900000.0,1361092000000.0,1290015200000.0,1275903500000.0,1296909100000.0,1003684700000.0
2089.0,1211182400000.0,1016198100000.0,1310928700000.0,695453200000.0,1563281000000.0,532858400000.0,1507902400000.0,1113575900000.0,1340404400000.0,1270992000000.0,1255355400000.0,1278708700000.0,972705600000.0
2090.0,1189371000000.0,981746000000.0,1285922900000.0,673226160000.0,1541646200000.0,516539880000.0,1484898800000.0,1101294600000.0,1324063100000.0,1259427200000.0,1234613000000.0,1255381100000.0,947697750000.0
2091.0,1171930500000.0,965273700000.0,1256262500000.0,651639200000.0,1520652900000.0,496274470000.0,1467951000000.0,1085226160000.0,1297238900000.0,1240328600000.0,1223310600000.0,1234052300000.0,911727000000.0
2092.0,1148860000000.0,944828400000.0,1223337000000.0,628587040000.0,1503919000000.0,474068120000.0,1449819400000.0,1073140140000.0,1270987000000.0,1218091500000.0,1196578300000.0,1223352400000.0,863168400000.0
2093.0,1130866000000.0,925142800000.0,1197645200000.0,608968000000.0,1485141300000.0,452090760000.0,1424526800000.0,1054030000000.0,1253830300000.0,1196189000000.0,1172096000000.0,1195813800000.0,834566200000.0
2094.0,1105843000000.0,908293700000.0,1188154300000.0,587966800000.0,1454013700000.0,434946640000.0,1402279400000.0,1036878540000.0,1227451800000.0,1166472500000.0,1159850900000.0,1172665500000.0,802661500000.0
2095.0,1085877100000.0,890937540000.0,1170386600000.0,567410600000.0,1433340900000.0,409802900000.0,1379710700000.0,1012742600000.0,1208968200000.0,1138494700000.0,1140754000000.0,1156151400000.0,772516150000.0
2096.0,1063630860000.0,870630600000.0,1153667800000.0,548358850000.0,1406589000000.0,384816380000.0,1358623500000.0,999314200000.0,1185216500000.0,1118283200000.0,1126488300000.0,1139546700000.0,738518960000.0
2097.0,1039011700000.0,850621100000.0,1124842300000.0,527552450000.0,1388663000000.0,365076020000.0,1336615000000.0,982766000000.0,1164486400000.0,1102755300000.0,1100730900000.0,1120108200000.0,707137440000.0
2098.0,1018111800000.0,831123000000.0,1096047800000.0,510245830000.0,1366398300000.0,349287940000.0,1319590800000.0,974004700000.0,1138019000000.0,1086933040000.0,1083261260000.0,1100573400000.0,679754300000.0
2099.0,997026040000.0,813213200000.0,1078950300000.0,492320820000.0,1348243700000.0,335554020000.0,1284340200000.0,956225800000.0,1116255600000.0,1065735700000.0,1063068900000.0,1083228750000.0,642076300000.0
2100.0,975245100000.0,797245500000.0,1059537500000.0,477170300000.0,1323642800000.0,317984960000.0,1268277200000.0,934926800000.0,1099130600000.0,1051224830000.0,1035851000000.0,1066749260000.0,612061350000.0
