time,FGOALS-F3-L,INM-CM4-8,CAMS-CSM1-0,BCC-CSM2-MR,EC-EARTH3,MRI-ESM2-0,INM-CM5-0,CESM2,CMCC-CM2-SR5,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,EC-EARTH3-VEG,CESM2-WACCM
2068.0,11825964000000.0,11170375000000.0,12222455000000.0,12040750000000.0,8624184000000.0,10640712000000.0,10907234000000.0,10538177000000.0,9483963000000.0,11536234000000.0,10864822000000.0,11587764000000.0,9780484000000.0,10610674000000.0
2069.0,11722874000000.0,11091338000000.0,12156108000000.0,11987195000000.0,8489972300000.0,10621670000000.0,10849209000000.0,10395702000000.0,9333509000000.0,11484767000000.0,10776265000000.0,11482235000000.0,9604357000000.0,10502379000000.0
2070.0,11659173000000.0,11025427000000.0,12086782000000.0,11931141000000.0,8335490000000.0,10516906000000.0,10790427000000.0,10322520000000.0,9147772000000.0,11433682000000.0,10692591000000.0,11427294000000.0,9458866000000.0,10412756000000.0
2071.0,11609401000000.0,10957039000000.0,12045581000000.0,11888080000000.0,8196321000000.0,10450184000000.0,10733681000000.0,10231294000000.0,8972246000000.0,11364238000000.0,10597006000000.0,11379493000000.0,9337761000000.0,10288197000000.0
2072.0,11560062000000.0,10916327000000.0,11997974000000.0,11841592000000.0,8089010000000.0,10341750000000.0,10658457000000.0,10154114000000.0,8803880000000.0,11292137000000.0,10545384000000.0,11338599000000.0,9220131000000.0,10141635000000.0
2073.0,11464542000000.0,10840461000000.0,11905939000000.0,11810966000000.0,7938927000000.0,10302939000000.0,10595902000000.0,10040687000000.0,8647975400000.0,11236918000000.0,10456804000000.0,11274080000000.0,9137821000000.0,10071313000000.0
2074.0,11361576000000.0,10790766000000.0,11800961000000.0,11720768000000.0,7809612000000.0,10206313000000.0,10541933000000.0,9947820000000.0,8468372700000.0,11154809000000.0,10356587000000.0,11237201000000.0,9006443000000.0,9944771000000.0
2075.0,11307439000000.0,10724345000000.0,11738716000000.0,11658906000000.0,7653222000000.0,10125305000000.0,10484048000000.0,9813140000000.0,8326846000000.0,11094895000000.0,10290737000000.0,11181897000000.0,8851202000000.0,9874242000000.0
2076.0,11264957000000.0,10675447000000.0,11674832000000.0,11571758000000.0,7518893400000.0,10069670000000.0,10400280000000.0,9758159000000.0,8193473000000.0,11033809000000.0,10211423000000.0,11142071000000.0,8705515500000.0,9751352000000.0
2077.0,11241062000000.0,10608579000000.0,11624343000000.0,11472889000000.0,7369138000000.0,9942815000000.0,10327601000000.0,9663029000000.0,8065913000000.0,10983420000000.0,10112979000000.0,11083487000000.0,8591770600000.0,9668253000000.0
2078.0,11132856000000.0,10555326000000.0,11555125000000.0,11404432000000.0,7230351000000.0,9838482000000.0,10284085000000.0,9577637000000.0,7888354400000.0,10923880000000.0,10015974000000.0,11077006000000.0,8445845600000.0,9566599000000.0
2079.0,11092936000000.0,10486927000000.0,11550119000000.0,11372085000000.0,7126281400000.0,9741331000000.0,10207543000000.0,9439902000000.0,7711506000000.0,10857868000000.0,9920880000000.0,10993547000000.0,8307917000000.0,9469177000000.0
2080.0,11004139000000.0,10431784000000.0,11488332000000.0,11267897000000.0,6969983000000.0,9649497000000.0,10133311000000.0,9350967000000.0,7553284000000.0,10835784000000.0,9830927000000.0,10937027000000.0,8214972700000.0,9373931000000.0
2081.0,10961234000000.0,10352817000000.0,11416952000000.0,11160760000000.0,6832382300000.0,9547796000000.0,10106192000000.0,9231710000000.0,7406705000000.0,10741004000000.0,9730088000000.0,10837673000000.0,8081938000000.0,9277167000000.0
2082.0,10853804000000.0,10260782000000.0,11351589000000.0,11115718000000.0,6704251000000.0,9433913000000.0,10037120000000.0,9130152000000.0,7250251400000.0,10656019000000.0,9668438000000.0,10789189000000.0,7941802400000.0,9172212000000.0
2083.0,10786572000000.0,10222364000000.0,11294166000000.0,11052921000000.0,6597477700000.0,9347326000000.0,9961075000000.0,9015772000000.0,7066027600000.0,10589576000000.0,9631145000000.0,10739402000000.0,7841680000000.0,9093591000000.0
2084.0,10741787000000.0,10136796000000.0,11260660000000.0,10941253000000.0,6473246600000.0,9258268000000.0,9884729000000.0,8946000000000.0,6908144000000.0,10532171000000.0,9528945000000.0,10659299000000.0,7709426000000.0,8976878000000.0
2085.0,10685120000000.0,10041531000000.0,11233601000000.0,10839693000000.0,6359888000000.0,9162749000000.0,9818402000000.0,8834942000000.0,6748750000000.0,10488727000000.0,9404710000000.0,10577551000000.0,7567789000000.0,8884726000000.0
2086.0,10636797000000.0,9970372000000.0,11166543000000.0,10737361000000.0,6211530400000.0,9175659000000.0,9815039000000.0,8743560000000.0,6628221000000.0,10456189000000.0,9319246000000.0,10523166000000.0,7431741500000.0,8795690000000.0
2087.0,10549581000000.0,9886975000000.0,11156768000000.0,10617362000000.0,6095233400000.0,9088501000000.0,9760025000000.0,8605410000000.0,6483368000000.0,10421025000000.0,9226410000000.0,10456826000000.0,7322274400000.0,8722247600000.0
2088.0,10458941000000.0,9823469000000.0,11083913000000.0,10594839000000.0,5961499000000.0,9033130000000.0,9692706000000.0,8523243000000.0,6337712000000.0,10359743000000.0,9143920000000.0,10389684000000.0,7192808000000.0,8618642000000.0
2089.0,10376302000000.0,9755352000000.0,11025281000000.0,10522925000000.0,5819032700000.0,8947104000000.0,9623965000000.0,8424737700000.0,6188711000000.0,10292483000000.0,9053604000000.0,10321096000000.0,7052642500000.0,8494010000000.0
2090.0,10297771000000.0,9686011000000.0,10990976000000.0,10500751000000.0,5702357600000.0,8897191000000.0,9542546000000.0,8351987000000.0,6005632500000.0,10241302000000.0,8967593000000.0,10236206000000.0,6903649300000.0,8385680400000.0
2091.0,10209918000000.0,9644135000000.0,10926611000000.0,10411833000000.0,5616826000000.0,8769337000000.0,9499597000000.0,8235335000000.0,5855435600000.0,10180974000000.0,8869975000000.0,10155987000000.0,6789764500000.0,8269801000000.0
2092.0,10131260000000.0,9569500000000.0,10862266000000.0,10358464000000.0,5511576600000.0,8656226600000.0,9459339000000.0,8137050400000.0,5713856000000.0,10113616000000.0,8786976000000.0,10100690000000.0,6646760000000.0,8178365000000.0
2093.0,10052128000000.0,9489330000000.0,10823415000000.0,10250908000000.0,5391404500000.0,8583175000000.0,9387747000000.0,8064281000000.0,5560905000000.0,10106376000000.0,8697112000000.0,10032973000000.0,6494423600000.0,8096375000000.0
2094.0,10020752000000.0,9452240000000.0,10730591000000.0,10151646000000.0,5260042600000.0,8554800500000.0,9347785000000.0,7954947400000.0,5388948700000.0,10027627000000.0,8587870500000.0,9943412000000.0,6361267600000.0,7979372000000.0
2095.0,9964645000000.0,9414059000000.0,10682556000000.0,10069734000000.0,5134658600000.0,8412627000000.0,9285712000000.0,7887858400000.0,5207416600000.0,9939213000000.0,8504059400000.0,9876040000000.0,6224558000000.0,7937933000000.0
2096.0,9830248000000.0,9374200000000.0,10608005000000.0,9997073000000.0,5002726000000.0,8377362500000.0,9220777000000.0,7828290400000.0,5072284500000.0,9903779000000.0,8433059000000.0,9806378000000.0,6142215300000.0,7862142600000.0
2097.0,9776677000000.0,9278040000000.0,10540869000000.0,9926829000000.0,4867351400000.0,8287975600000.0,9163484000000.0,7732754600000.0,4919116000000.0,9869193000000.0,8353878000000.0,9726601000000.0,6014259700000.0,7791089500000.0
2098.0,9697242000000.0,9222917000000.0,10491162000000.0,9865526000000.0,4766014000000.0,8167964500000.0,9098672000000.0,7665773000000.0,4771021300000.0,9810377000000.0,8270946000000.0,9663384000000.0,5868276400000.0,7684770000000.0
2099.0,9646805000000.0,9131158000000.0,10477638000000.0,9765804000000.0,4658303600000.0,8122978000000.0,9035880000000.0,7577507000000.0,4612299000000.0,9805167000000.0,8179495000000.0,9629993000000.0,5769770600000.0,7617001300000.0
2100.0,9574098000000.0,9133184000000.0,10426254000000.0,9674355000000.0,4587580000000.0,8068871000000.0,8971609000000.0,7466372300000.0,4453679000000.0,9763953000000.0,8106668000000.0,9579324000000.0,5649923000000.0,7529315000000.0
