time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2038.0,13416698000000.0,13505742000000.0,13419939000000.0,13642116000000.0,13249719000000.0,13078838000000.0,13538057000000.0,13844605000000.0,13214529000000.0,13534870000000.0,13298192000000.0,13596463000000.0,13411981000000.0,12945481000000.0,12460121000000.0,13423771000000.0,13444230000000.0,13564858000000.0,13663173000000.0
2039.0,13325148000000.0,13399574000000.0,13359902000000.0,13551877000000.0,13193217000000.0,12960731000000.0,13413311000000.0,13767249000000.0,13075119000000.0,13457194000000.0,13182742000000.0,13553698000000.0,13321311000000.0,12843452000000.0,12328514000000.0,13369662000000.0,13367181000000.0,13501424000000.0,13626247000000.0
2040.0,13235797000000.0,13253986000000.0,13283415000000.0,13507569000000.0,13100189000000.0,12840177000000.0,13375042000000.0,13689335000000.0,12990720000000.0,13392883000000.0,13042851000000.0,13502876000000.0,13270147000000.0,12703281000000.0,12164698000000.0,13301043000000.0,13279421000000.0,13415969000000.0,13576837000000.0
2041.0,13170677000000.0,13158703000000.0,13210542000000.0,13413902000000.0,13012592000000.0,12709133000000.0,13321691000000.0,13634484000000.0,12934141000000.0,13296489000000.0,12917567000000.0,13427955000000.0,13171650000000.0,12547517000000.0,11962879000000.0,13207692000000.0,13200936000000.0,13334619000000.0,13539480000000.0
2042.0,13086007000000.0,13072128000000.0,13140478000000.0,13338876000000.0,12883856000000.0,12579172000000.0,13230341000000.0,13652015000000.0,12835650000000.0,13230228000000.0,12809627000000.0,13325925000000.0,13112101000000.0,12358757000000.0,11750885000000.0,13092204000000.0,13156919000000.0,13272958000000.0,13452454000000.0
2043.0,12989234000000.0,12968832000000.0,13039371000000.0,13248858000000.0,12840128000000.0,12422857000000.0,13120580000000.0,13611895000000.0,12701328000000.0,13160569000000.0,12708479000000.0,13243094000000.0,12994173000000.0,12225513000000.0,11551499000000.0,12984827000000.0,13104869000000.0,13221171000000.0,13402796000000.0
2044.0,12880471000000.0,12867523000000.0,12925813000000.0,13130404000000.0,12669813000000.0,12243505000000.0,13075089000000.0,13567295000000.0,12523141000000.0,13078667000000.0,12594596000000.0,13189879000000.0,12841015000000.0,12071298000000.0,11426952000000.0,12868890000000.0,13011785000000.0,13154661000000.0,13319694000000.0
2045.0,12768753000000.0,12744087000000.0,12830373000000.0,13088744000000.0,12567810000000.0,12108861000000.0,12985150000000.0,13530175000000.0,12418544000000.0,12998418000000.0,12487872000000.0,13111163000000.0,12725374000000.0,11922548000000.0,11272357000000.0,12775173000000.0,12916599000000.0,13093620000000.0,13220454000000.0
2046.0,12657880000000.0,12605508000000.0,12749953000000.0,12992951000000.0,12424691000000.0,11978350000000.0,12872665000000.0,13507817000000.0,12251621000000.0,12911735000000.0,12384994000000.0,13058268000000.0,12600724000000.0,11756568000000.0,11107805000000.0,12689268000000.0,12842752000000.0,13048061000000.0,13112956000000.0
2047.0,12603096000000.0,12491753000000.0,12649786000000.0,12920230000000.0,12230074000000.0,11844096000000.0,12775316000000.0,13426010000000.0,12109502000000.0,12810845000000.0,12274851000000.0,12985650000000.0,12471183000000.0,11570191000000.0,10892786000000.0,12578786000000.0,12706176000000.0,12998738000000.0,13053058000000.0
2048.0,12496179000000.0,12419757000000.0,12557763000000.0,12870048000000.0,12108150000000.0,11681739000000.0,12690318000000.0,13365946000000.0,11946401000000.0,12751943000000.0,12136455000000.0,12948145000000.0,12289421000000.0,11430620000000.0,10709196000000.0,12504534000000.0,12620733000000.0,12926092000000.0,12963562000000.0
2049.0,12410731000000.0,12305851000000.0,12420091000000.0,12780409000000.0,11928672000000.0,11530123000000.0,12554039000000.0,13287144000000.0,11777629000000.0,12690588000000.0,12039462000000.0,12881294000000.0,12140248000000.0,11281288000000.0,10505327000000.0,12397780000000.0,12545188000000.0,12915722000000.0,12911240000000.0
2050.0,12305813000000.0,12164807000000.0,12315567000000.0,12738201000000.0,11787640000000.0,11397539000000.0,12439436000000.0,13218795000000.0,11634152000000.0,12606270000000.0,11911279000000.0,12790078000000.0,12013650000000.0,11119162000000.0,10252959000000.0,12291229000000.0,12476868000000.0,12865355000000.0,12827449000000.0
