time,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,MPI-ESM1-2-HR,CESM2,CAMS-CSM1-0
2076.0,25352235000.0,27044174000.0,26385844000.0,29268724000.0,21910387000.0,32268743000.0,24462500000.0,34074182000.0,29320016000.0,23301702000.0,31576844000.0,29665843000.0,32194685000.0,33059715000.0,35677925000.0,27160867000.0,37690820000.0
2077.0,25056135000.0,28122140000.0,25636290000.0,29006236000.0,21454518000.0,32018549000.0,24049277000.0,33964184000.0,29329377000.0,22955530000.0,32243292000.0,29448047000.0,32121460000.0,32771754000.0,35421237000.0,25908711000.0,37534120000.0
2078.0,24762980000.0,26907500000.0,25236658000.0,29087520000.0,20901112000.0,31788170000.0,23753093000.0,33761612000.0,28949620000.0,22684336000.0,31960457000.0,29097894000.0,31571753000.0,32687204000.0,35094483000.0,25490737000.0,37341954000.0
2079.0,24524351000.0,26706582000.0,25150358000.0,28662686000.0,20584665000.0,31523310000.0,23734602000.0,33383168000.0,28551310000.0,22455320000.0,31378493000.0,28792246000.0,31405814000.0,33080582000.0,34914630000.0,25040580000.0,36953910000.0
2080.0,24187165000.0,26256902000.0,24673833000.0,28357670000.0,20267321000.0,31201330000.0,23594455000.0,33065742000.0,28305840000.0,22193168000.0,31017523000.0,28556767000.0,31213870000.0,33055179000.0,34761073000.0,24735130000.0,36996145000.0
2081.0,24115384000.0,26986947000.0,24523297000.0,28114213000.0,20079157000.0,30945292000.0,23100424000.0,32933646000.0,28111460000.0,21792815000.0,30941362000.0,28290933000.0,31510830000.0,33972290000.0,34590210000.0,25545310000.0,36693730000.0
2082.0,24089907000.0,26166856000.0,24165067000.0,27983960000.0,20012945000.0,30851787000.0,23208782000.0,32739920000.0,27865469000.0,21560308000.0,30604972000.0,27960189000.0,31143391000.0,32738000000.0,34823910000.0,24956387000.0,36525860000.0
2083.0,23850678000.0,25666220000.0,24295170000.0,27605410000.0,19628747000.0,31397302000.0,23070513000.0,32610533000.0,27567792000.0,21660068000.0,30282936000.0,28042367000.0,30707225000.0,32471214000.0,34605527000.0,24192330000.0,36220293000.0
2084.0,23628070000.0,25677707000.0,23861758000.0,27857785000.0,19341079000.0,30632358000.0,22745862000.0,32258226000.0,27361862000.0,21096636000.0,30306333000.0,27501595000.0,30998997000.0,31833704000.0,33982210000.0,23918596000.0,37044990000.0
2085.0,23218643000.0,25721730000.0,23448834000.0,27373537000.0,19174797000.0,30480032000.0,22588099000.0,31949328000.0,28182854000.0,20858513000.0,30667390000.0,28063898000.0,30116760000.0,31677241000.0,34027610000.0,23660749000.0,36029723000.0
