time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2133.0,12087110000.0,18347930000.0,10016815000.0,10439110000.0,12228166000.0,2698076200.0
2134.0,11264573000.0,17392090000.0,9347201000.0,10195601000.0,11799087000.0,2437709000.0
2135.0,10922402000.0,16540882000.0,8772157000.0,9780132000.0,11417718000.0,2219174400.0
2136.0,10798286000.0,15594185000.0,8258661000.0,9361674000.0,10640316000.0,2030518500.0
2137.0,10180659000.0,14820430000.0,7522875000.0,9062357000.0,10090030000.0,1825241000.0
2138.0,9760000000.0,14094400000.0,6945966000.0,8712008000.0,9617490000.0,1679873700.0
2139.0,9210553000.0,13339675000.0,6508282400.0,8434970000.0,9110733000.0,1524523900.0
2140.0,8774012000.0,12850359000.0,6129360400.0,8169403000.0,8686679000.0,1386334500.0
2141.0,8426166300.0,12187619000.0,5792435700.0,7888436700.0,8143708000.0,1217653000.0
2142.0,8240500000.0,11519601000.0,5270333000.0,7593482000.0,7605711400.0,1077800400.0
2143.0,7903808000.0,11090834000.0,4818278000.0,7317840000.0,7005683000.0,975546200.0
2144.0,7381008000.0,10593178000.0,4464596500.0,6776776700.0,6624739300.0,871771900.0
2145.0,7128948000.0,10096935000.0,4189271000.0,6342257000.0,6151317500.0,772691000.0
2146.0,6980111000.0,9348027000.0,3884802300.0,6012107300.0,5494497000.0,620468800.0
2147.0,6540504600.0,8748379000.0,3614795500.0,5475196000.0,4932615700.0,544021250.0
2148.0,6210941400.0,8405962000.0,3287623200.0,5278730000.0,4769979400.0,490637570.0
2149.0,5867687400.0,7576184300.0,3027771100.0,5227803000.0,4436194000.0,411086200.0
2150.0,5632057000.0,7461677600.0,2760847000.0,5161445000.0,4220250400.0,365547330.0
2151.0,5516733400.0,7127137300.0,2600538000.0,4937207000.0,4042262800.0,333238560.0
2152.0,5595579400.0,6794371000.0,2449005300.0,4728721000.0,3850340000.0,285745150.0
2153.0,5304982000.0,5863761400.0,2292917200.0,4464584000.0,3343080400.0,237263200.0
2154.0,5115995600.0,5612272600.0,2137014500.0,4033411800.0,2907381000.0,194838510.0
2155.0,5022944000.0,5383790000.0,1985476600.0,3791579600.0,2669987800.0,151354620.0
2156.0,4933668400.0,5076781600.0,1820703000.0,3726335700.0,2317415000.0,123195730.0
2157.0,4811319000.0,4841883600.0,1701267600.0,3595342300.0,2158123800.0,94971310.0
2158.0,4686555600.0,4683683300.0,1579353900.0,3373944300.0,2101456300.0,84183144.0
2159.0,4666603000.0,4422809600.0,1419738400.0,3263395800.0,1977123600.0,69819944.0
2160.0,4521400300.0,3739035600.0,1317326200.0,3138972700.0,1863820800.0,60389016.0
2161.0,4732181500.0,3246614300.0,1246925800.0,3050208300.0,1821741200.0,57632252.0
2162.0,4567323600.0,3043086300.0,1178084100.0,3037160700.0,1719414000.0,56299772.0
2163.0,4427550000.0,2792449500.0,1123742000.0,2955456800.0,1624298500.0,52192944.0
2164.0,4481873000.0,2658978600.0,1019548160.0,2456562700.0,1564002200.0,50863096.0
2165.0,4199177000.0,2352503000.0,933526340.0,2131590100.0,1496275800.0,49248320.0
2166.0,4133912600.0,2131610000.0,853599550.0,2009762000.0,1409764700.0,42523160.0
2167.0,4071807700.0,2075960300.0,799369300.0,2007702100.0,1337158700.0,36684204.0
2168.0,3905674200.0,1901983200.0,726369300.0,1907012900.0,1253647000.0,34306080.0
2169.0,3849496600.0,1720193000.0,680979140.0,1820103000.0,1191283700.0,33781576.0
2170.0,3794872000.0,1610123900.0,618760060.0,1811879600.0,1144183300.0,31006336.0
2171.0,3713720300.0,1526689800.0,585838460.0,1717827000.0,866901300.0,30158918.0
2172.0,3706998800.0,1466371800.0,497975170.0,1648489900.0,804725250.0,29812002.0
2173.0,3582584300.0,1359229000.0,479576220.0,1637093100.0,742998500.0,28515028.0
2174.0,3521931800.0,1261921900.0,431005820.0,1583006500.0,706330200.0,25486374.0
2175.0,3450635500.0,1142449200.0,414652000.0,1508684000.0,648969600.0,24605952.0
2176.0,3357916700.0,946270100.0,372126560.0,1454372400.0,597917500.0,24121014.0
2177.0,3260448300.0,861892900.0,341503230.0,1451777000.0,527623300.0,23629388.0
2178.0,3135831600.0,817346750.0,313172800.0,1392130700.0,355568220.0,23469342.0
2179.0,3898638000.0,730722900.0,283589730.0,1332863500.0,285030600.0,23190380.0
2180.0,3062683100.0,690058200.0,271332770.0,1278019700.0,239925400.0,21892504.0
2181.0,2944408600.0,629449700.0,261656930.0,1235175600.0,130537460.0,21495814.0
2182.0,2867910000.0,519201920.0,228436400.0,1195296300.0,30398740.0,21110210.0
2183.0,2793597000.0,443518500.0,221699820.0,1156026600.0,24514408.0,19006672.0
2184.0,2756217000.0,256785460.0,212627220.0,1082740600.0,19450688.0,18632666.0
2185.0,3368750600.0,145726780.0,192495000.0,1005527800.0,15327751.0,17281418.0
2186.0,2932831500.0,18241646.0,186713380.0,915506200.0,12802997.0,16764011.0
2187.0,3036325600.0,17588522.0,148794290.0,833858370.0,12728261.0,16584166.0
2188.0,3146420500.0,16782758.0,120919830.0,796211200.0,12655795.0,16489089.0
2189.0,2745506800.0,15946753.0,119049160.0,795837600.0,12452391.0,16117035.0
2190.0,2615030800.0,13556642.0,114214030.0,761329660.0,12385373.0,16070024.0
2191.0,2563506400.0,13220346.0,113368890.0,729601300.0,12315565.0,14822537.0
2192.0,2540616400.0,13193293.0,107277680.0,701462300.0,12149205.0,14771664.0
2193.0,2485408500.0,13104906.0,105181350.0,664388300.0,11877455.0,14552960.0
2194.0,2559308300.0,8955432.0,86713200.0,639875100.0,11845859.0,13515934.0
2195.0,2413421000.0,8940660.0,83109350.0,616698940.0,11792061.0,12801205.0
2196.0,2407014100.0,7755603.0,82865180.0,592860600.0,11731997.0,12301159.0
2197.0,2376849400.0,7475010.0,78013630.0,555727040.0,11551663.0,10055354.0
2198.0,2349675300.0,7443152.0,75909150.0,513546720.0,11435109.0,9591616.0
2199.0,2328592100.0,6791411.0,72043420.0,476328670.0,11176585.0,9127757.0
2200.0,2322056200.0,6030982.0,69733710.0,436459000.0,11148281.0,8080021.5
2201.0,2302878200.0,6011930.0,55576310.0,396460450.0,10402507.0,8070420.0
2202.0,2267944000.0,5916614.0,55579610.0,234205490.0,10442514.0,7435324.5
2203.0,2238578200.0,5844824.0,26669818.0,36809336.0,10226953.0,6027315.0
2204.0,2405543000.0,5821556.0,33563332.0,14968509.0,10202723.0,5899409.5
2205.0,2230275800.0,5322972.0,22410140.0,13861043.0,9988463.0,5734970.0
2206.0,2202174000.0,5317691.0,20355924.0,13349147.0,9900721.0,5156304.5
2207.0,2224770800.0,5286916.0,19789258.0,12596059.0,9890379.0,4653196.0
2208.0,2268770800.0,3888654.0,19627290.0,12165075.0,9868463.0,4082690.2
