time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2128.0,10259325000.0,9211933000.0,6787252700.0,13830047000.0,19661808000.0,23112442000.0
2129.0,9977269000.0,8938467000.0,6703337500.0,13400686000.0,19428114000.0,22577138000.0
2130.0,9806258000.0,8706603000.0,6547539500.0,13173324000.0,19168862000.0,22049730000.0
2131.0,9622349000.0,8463070000.0,6340942300.0,12818914000.0,18865435000.0,21379700000.0
2132.0,9397144000.0,8174867500.0,6182608000.0,12524367000.0,18559120000.0,20857270000.0
2133.0,9079053000.0,8078350300.0,5920473600.0,12170234000.0,18335599000.0,20315482000.0
2134.0,8857105000.0,7911708000.0,5742720000.0,11880840000.0,18018243000.0,19772300000.0
2135.0,8540160500.0,7675822600.0,5541966300.0,11571703000.0,17797660000.0,19318268000.0
2136.0,8407556000.0,7507497500.0,5450287600.0,11353943000.0,17585115000.0,18760452000.0
2137.0,8240787500.0,7392424000.0,5355951600.0,11230484000.0,17377026000.0,18334080000.0
2138.0,8033013000.0,7268999000.0,5227581000.0,11035247000.0,17184330000.0,17827258000.0
2139.0,7892639000.0,7238677500.0,5132306400.0,10918885000.0,16991638000.0,17519750000.0
2140.0,7739494400.0,6987709000.0,5015854600.0,10770351000.0,16811908000.0,17179902000.0
2141.0,7607054300.0,6842952000.0,4864749600.0,10654353000.0,16587430000.0,16820191000.0
2142.0,7471688000.0,6672948700.0,4713544000.0,10654492000.0,16396860000.0,16374282000.0
2143.0,7370286600.0,6618407000.0,4604041700.0,10440834000.0,16280501000.0,16128766000.0
2144.0,7211311000.0,6539387400.0,4550029300.0,10300701000.0,16018772000.0,15791222000.0
2145.0,7031078000.0,6449895000.0,4375111000.0,10150114000.0,15911029000.0,15634941000.0
2146.0,6902048300.0,6381239000.0,4191637500.0,10069381000.0,15715517000.0,15230103000.0
2147.0,6796777500.0,6283364000.0,3974838300.0,9958307000.0,15669471000.0,14946637000.0
2148.0,6631171600.0,6265380400.0,3857703700.0,9795625000.0,15555983000.0,14597993000.0
2149.0,6442376700.0,6212536000.0,3769845500.0,9598843000.0,15437347000.0,14364869000.0
2150.0,6366633500.0,6175878000.0,3738504000.0,9541537000.0,15276531000.0,13916496000.0
2151.0,6277367000.0,6066660000.0,3720554200.0,9445621000.0,15124540000.0,13657243000.0
2152.0,6211159600.0,6000545300.0,3660983000.0,9270829000.0,15034886000.0,13435151000.0
2153.0,6164183000.0,5958131700.0,3595770000.0,9229430000.0,14923709000.0,13223083000.0
2154.0,6087487500.0,5814184400.0,3549396700.0,9016237000.0,14745672000.0,12909264000.0
2155.0,6012389400.0,5562074600.0,3507479000.0,8839167000.0,14650677000.0,12708888000.0
2156.0,5945459000.0,5450224000.0,3487545900.0,8576315400.0,14549637000.0,12506852000.0
2157.0,5850285600.0,5296998000.0,3416486700.0,8398763000.0,14479593000.0,12158620000.0
2158.0,5798819000.0,5001444400.0,3385175300.0,8208340500.0,14408393000.0,11869276000.0
2159.0,5742682600.0,4751628300.0,3358144800.0,7973710300.0,14233706000.0,11669688000.0
2160.0,5694347300.0,4530486000.0,3265442600.0,7688838700.0,14140054000.0,11430983000.0
2161.0,5561723400.0,4364336000.0,3183929900.0,7430472000.0,14048259000.0,11291244000.0
2162.0,5492134400.0,4229566700.0,3039286000.0,7217871000.0,13982124000.0,11152701000.0
2163.0,5385920500.0,4125745000.0,2947604700.0,7060047400.0,13898124000.0,10882875000.0
2164.0,5215601000.0,3961038000.0,2819584000.0,6884852700.0,13775445000.0,10686179000.0
2165.0,5053931500.0,3680719000.0,2705604600.0,6407489000.0,13735926000.0,10490047000.0
2166.0,4919371000.0,3373183700.0,2561449000.0,6346409500.0,13677437000.0,10324168000.0
2167.0,4802978300.0,3330408700.0,2410424800.0,6246720000.0,13515500000.0,10154127000.0
2168.0,4710526000.0,3143755300.0,2309031000.0,6160483300.0,13461582000.0,10046239000.0
2169.0,4463251500.0,3083083800.0,2252246800.0,6112745500.0,13391660000.0,9890153000.0
2170.0,4317546000.0,2946899200.0,2190416100.0,6020166700.0,13207958000.0,9772374000.0
2171.0,4093691600.0,2900363300.0,1758119000.0,5956382000.0,13140333000.0,9705262000.0
2172.0,3887069000.0,2887143000.0,1636041000.0,5866164000.0,13080612000.0,9605075000.0
2173.0,3812756500.0,2860518700.0,1600682900.0,5762492000.0,13001078000.0,9490029000.0
2174.0,3659971600.0,2821429800.0,1568783600.0,5609249000.0,12904226000.0,9423022000.0
2175.0,3186070300.0,2792153300.0,1544141200.0,5540289000.0,12792377000.0,9309777000.0
2176.0,3162784500.0,2724022000.0,1526623600.0,5339548700.0,12676327000.0,9217639000.0
2177.0,3078459600.0,2683391200.0,1511345000.0,5164072400.0,12617711000.0,9116402000.0
2178.0,2981890600.0,2668264000.0,1435306000.0,5100299000.0,12509190000.0,9010433000.0
2179.0,2889390800.0,2625734400.0,1427266600.0,5041589000.0,12422940000.0,8946263000.0
2180.0,2820583400.0,2613288200.0,1402584300.0,4995371000.0,12349812000.0,8802167000.0
2181.0,2687248600.0,2537926400.0,1372784600.0,4986263600.0,12233390000.0,8709217000.0
2182.0,2518071800.0,2613066500.0,1334731900.0,4969421000.0,12160082000.0,8654472000.0
2183.0,2404994600.0,2466736400.0,1333256400.0,4971396600.0,12062024000.0,8613875000.0
2184.0,2367652900.0,2429362000.0,1324044000.0,4873780700.0,11895639000.0,8528262700.0
2185.0,2222833000.0,2608889900.0,1285260700.0,4868301300.0,11736218000.0,8406291500.0
2186.0,2211530200.0,2444106500.0,1272110200.0,4865506000.0,11640806000.0,8288018400.0
2187.0,2167693800.0,2402792200.0,1282312200.0,4847632400.0,11493876000.0,8202171000.0
2188.0,2149165800.0,2355644400.0,1258764900.0,4832286700.0,11418008000.0,8163427000.0
2189.0,2131991800.0,2354476500.0,1252730900.0,4774465500.0,11256865000.0,8088725000.0
