time,EC-EARTH3,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,KACE-1-0-G,CNRM-ESM2-1,MPI-ESM1-2-HR,CANESM5,MIROC6,CESM2-WACCM,CNRM-CM6-1,TAIESM1
2077.0,16383318000.0,17833450000.0,23903242000.0,20697051000.0,11873469000.0,14495081000.0,24826096000.0,23935025000.0,5884704000.0,25651096000.0,20767627000.0,22191530000.0,18487286000.0
2078.0,16095703000.0,17267456000.0,23425700000.0,20276912000.0,11470459000.0,13950738000.0,24205722000.0,23272315000.0,5702873000.0,25089149000.0,20577526000.0,21523943000.0,18194921000.0
2079.0,15844417000.0,16829314000.0,23046500000.0,19886470000.0,11100700000.0,13528842000.0,23712074000.0,22693765000.0,5479632400.0,24662130000.0,19962180000.0,21234377000.0,17555505000.0
2080.0,15430701000.0,16354594000.0,22592305000.0,19491346000.0,10677281000.0,13221491000.0,23009233000.0,22255714000.0,5279755300.0,24322763000.0,19493423000.0,20599687000.0,17149221000.0
2081.0,15042716000.0,15870275000.0,22280560000.0,19045990000.0,10390014000.0,12756551000.0,22260537000.0,21738527000.0,5065130500.0,23839429000.0,19143310000.0,19911190000.0,16749296000.0
2082.0,14689858000.0,15364038000.0,22162706000.0,18715648000.0,10069461000.0,12440328000.0,21650823000.0,21208934000.0,4893092000.0,23450665000.0,18808203000.0,19586710000.0,16347620000.0
2083.0,14436430000.0,14912964000.0,21584386000.0,18316270000.0,9688717000.0,12163376000.0,21023128000.0,20824324000.0,4731235300.0,23028100000.0,18360238000.0,18936830000.0,16023756000.0
2084.0,14171650000.0,14367905000.0,21016885000.0,17921044000.0,9342602000.0,11980532000.0,20459923000.0,20499888000.0,4551401500.0,22457672000.0,17962705000.0,18341425000.0,15633538000.0
2085.0,13828100000.0,13927906000.0,20665516000.0,17427124000.0,9010633000.0,11541114000.0,19842980000.0,20040278000.0,4416554500.0,21953284000.0,17618140000.0,17757546000.0,15240388000.0
2086.0,13459612000.0,13577508000.0,20305322000.0,17198258000.0,8660341000.0,11250557000.0,19313357000.0,19607583000.0,4264576000.0,21375265000.0,17296940000.0,17307687000.0,14895431000.0
2087.0,13129401000.0,13164441000.0,20085676000.0,16787685000.0,8276752400.0,10975575000.0,18801162000.0,19254830000.0,4073377000.0,20681236000.0,16856143000.0,16848597000.0,14549185000.0
2088.0,12827274000.0,12813076000.0,19694518000.0,16449137000.0,7846318600.0,10665728000.0,18207302000.0,18573984000.0,3925136000.0,20219930000.0,16562174000.0,16325190000.0,14155727000.0
2089.0,12510532000.0,12445626000.0,19440112000.0,16087511000.0,7492239000.0,10432616000.0,17752912000.0,18312590000.0,3762892300.0,19791460000.0,16158421000.0,16208134000.0,13780699000.0
2090.0,12349933000.0,12045558000.0,19022380000.0,15840047000.0,7154170400.0,10305605000.0,17249716000.0,17967888000.0,3637902800.0,19307380000.0,15768468000.0,15710604000.0,13413343000.0
2091.0,12039979000.0,11627961000.0,18766172000.0,15481994000.0,6814934000.0,9911845000.0,16761632000.0,17390244000.0,3476638000.0,18882927000.0,15523281000.0,15199739000.0,13122202000.0
2092.0,11750883000.0,11145533000.0,18508409000.0,15203259000.0,6332062700.0,9684824000.0,16333539000.0,16945396000.0,3317921000.0,18826461000.0,15155581000.0,14763906000.0,12778428000.0
2093.0,11452725000.0,10753418000.0,17970864000.0,14894306000.0,5846826000.0,9336375000.0,15870440000.0,16600558000.0,3183826700.0,18308135000.0,14809452000.0,14369783000.0,12423479000.0
2094.0,11200873000.0,10324654000.0,17667535000.0,14613226000.0,5505908000.0,9138825000.0,15442591000.0,16188594000.0,3062805500.0,17709105000.0,14725188000.0,13974757000.0,12002743000.0
2095.0,10897465000.0,9961239000.0,17349366000.0,14266972000.0,5231115300.0,9081776000.0,15046008000.0,15864480000.0,2944967000.0,17197640000.0,14249997000.0,13504379000.0,11670154000.0
2096.0,10602657000.0,9584815000.0,17071093000.0,14025604000.0,4826265600.0,8733410000.0,14709277000.0,15428606000.0,2846272500.0,17459681000.0,13995491000.0,13111294000.0,11307276000.0
2097.0,10336920000.0,9052264000.0,16803540000.0,13769143000.0,4630448000.0,8505160000.0,14392498000.0,15003364000.0,2700810500.0,17280883000.0,13740493000.0,12788235000.0,11027396000.0
2098.0,10102908000.0,8602041000.0,16519485000.0,13564625000.0,4286471400.0,8140048000.0,14028123000.0,14644598000.0,2599821600.0,16422733000.0,13480183000.0,12360850000.0,10649265000.0
2099.0,9780264000.0,8224350000.0,16244046000.0,13316341000.0,4103182000.0,7869907000.0,13741037000.0,14349545000.0,2416318200.0,16158497000.0,13263127000.0,11977671000.0,10377414000.0
2100.0,9508361000.0,7877271600.0,15962407000.0,13044131000.0,3868112000.0,7573532700.0,13477097000.0,13927475000.0,2341091000.0,15918880000.0,12904731000.0,11543974000.0,10008952000.0
