time,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR
2039.0,2578628200000.0,2516903000000.0,2416390400000.0,2047254300000.0,2414036600000.0,2619108000000.0,2376098600000.0,2464726000000.0,2385867200000.0,2477158800000.0,2429585000000.0,2445363000000.0,2349449600000.0,2556279400000.0,2529295300000.0,2455762600000.0,2571732000000.0
2040.0,2554733500000.0,2524890000000.0,2393079000000.0,1995636500000.0,2385134500000.0,2616889700000.0,2353284800000.0,2442332000000.0,2347902000000.0,2438611300000.0,2411996400000.0,2415411900000.0,2310525400000.0,2550659000000.0,2510660800000.0,2423129600000.0,2550489000000.0
2041.0,2566159600000.0,2510319300000.0,2376166000000.0,1955447300000.0,2360269900000.0,2596617600000.0,2327210000000.0,2412862000000.0,2309528700000.0,2436072000000.0,2383571000000.0,2399684000000.0,2277856200000.0,2547162500000.0,2503582700000.0,2395093300000.0,2529489800000.0
2042.0,2543261600000.0,2493437000000.0,2339953400000.0,1910373000000.0,2341458700000.0,2590834400000.0,2304421000000.0,2402694200000.0,2274811700000.0,2427250300000.0,2366875000000.0,2392123000000.0,2253507500000.0,2532214000000.0,2513071500000.0,2365752900000.0,2508720700000.0
2043.0,2531541000000.0,2470345400000.0,2326695200000.0,1863807400000.0,2306216600000.0,2589136800000.0,2292675000000.0,2365019700000.0,2231185400000.0,2416156300000.0,2330660700000.0,2365087800000.0,2254535400000.0,2515125400000.0,2512326500000.0,2348717000000.0,2494538200000.0
2044.0,2521288000000.0,2461184300000.0,2297938600000.0,1834681900000.0,2284346400000.0,2579179800000.0,2264832000000.0,2348462600000.0,2204325400000.0,2385468000000.0,2313346600000.0,2352584000000.0,2246160400000.0,2501662500000.0,2499363700000.0,2319928500000.0,2487169300000.0
2045.0,2494287000000.0,2446994000000.0,2288031400000.0,1796197400000.0,2249731600000.0,2581893700000.0,2253659800000.0,2337347000000.0,2150831100000.0,2365251400000.0,2281363000000.0,2326807000000.0,2224979200000.0,2495009300000.0,2498488700000.0,2309301000000.0,2485958200000.0
2046.0,2464147000000.0,2426945100000.0,2268731500000.0,1751421800000.0,2231407700000.0,2557390000000.0,2230701800000.0,2304492400000.0,2121710800000.0,2352946600000.0,2266149200000.0,2318056600000.0,2201017000000.0,2486272800000.0,2476406200000.0,2299729300000.0,2460107400000.0
2047.0,2441866000000.0,2407486200000.0,2250824500000.0,1714280900000.0,2214492000000.0,2542096400000.0,2199537600000.0,2296838000000.0,2097725800000.0,2338945500000.0,2252626200000.0,2302021000000.0,2171086400000.0,2481130300000.0,2446280400000.0,2270887000000.0,2442781800000.0
2048.0,2430211200000.0,2397164800000.0,2234968000000.0,1674067700000.0,2182941200000.0,2549525300000.0,2175246800000.0,2275537300000.0,2061861500000.0,2326825000000.0,2222585000000.0,2288513200000.0,2152623600000.0,2463235000000.0,2430598400000.0,2248754900000.0,2408512200000.0
2049.0,2419710500000.0,2362488000000.0,2220928300000.0,1629447700000.0,2168365900000.0,2545540100000.0,2154417200000.0,2259370000000.0,2041870300000.0,2304923700000.0,2200688000000.0,2265503800000.0,2130534200000.0,2446476200000.0,2428359000000.0,2228114700000.0,2382790000000.0
2050.0,2400518400000.0,2333861700000.0,2202255200000.0,1607321000000.0,2141444200000.0,2543497800000.0,2112104800000.0,2249517200000.0,2026440500000.0,2286014400000.0,2182256700000.0,2234759000000.0,2105724800000.0,2433661000000.0,2424470800000.0,2183817700000.0,2349491300000.0
2051.0,2382752600000.0,2345313200000.0,2185624400000.0,1579305100000.0,2125327900000.0,2518290300000.0,2078115200000.0,2243650000000.0,2002352000000.0,2263682000000.0,2160445100000.0,2208493700000.0,2081698300000.0,2416711600000.0,2393008000000.0,2165211500000.0,2326003400000.0
2052.0,2358329700000.0,2327016000000.0,2170624700000.0,1558206100000.0,2102234700000.0,2507163300000.0,2060512100000.0,2226171700000.0,1975592300000.0,2225428000000.0,2135845100000.0,2194911100000.0,2057766200000.0,2404846100000.0,2377552200000.0,2155159200000.0,2302684700000.0
2053.0,2334414900000.0,2305146200000.0,2134895600000.0,1524989700000.0,2077504400000.0,2496457900000.0,2039738100000.0,2206530000000.0,1968944800000.0,2206205200000.0,2106095200000.0,2180017300000.0,2031618000000.0,2390585500000.0,2370776000000.0,2140347300000.0,2275351000000.0
2054.0,2317639000000.0,2308177400000.0,2104017000000.0,1485886800000.0,2059812600000.0,2493009400000.0,2014144200000.0,2184145500000.0,1945554500000.0,2187191000000.0,2089112200000.0,2167174500000.0,2015968500000.0,2387446600000.0,2334957200000.0,2121935200000.0,2261019500000.0
2055.0,2296481600000.0,2285498500000.0,2093215300000.0,1459666700000.0,2027160900000.0,2497282800000.0,1993517200000.0,2167685000000.0,1909762200000.0,2165987000000.0,2060436800000.0,2151050800000.0,1990202400000.0,2360765600000.0,2306659800000.0,2112270000000.0,2237472200000.0
2056.0,2285702000000.0,2283717800000.0,2077373100000.0,1428554100000.0,2006184200000.0,2480704800000.0,1966935600000.0,2151764500000.0,1890382000000.0,2157009800000.0,2041781700000.0,2142158700000.0,1978333500000.0,2353156300000.0,2293712800000.0,2091439100000.0,2218760000000.0
2057.0,2257552100000.0,2275147300000.0,2063140000000.0,1397317400000.0,1980444200000.0,2491366000000.0,1947693100000.0,2121456800000.0,1876929700000.0,2156724500000.0,2028603700000.0,2120105600000.0,1961037000000.0,2341648000000.0,2276214200000.0,2074818900000.0,2185093400000.0
