time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2061.0,1740843900000.0,1681164900000.0,2277276000000.0,2212867900000.0,2017590800000.0,2066070500000.0,1906634300000.0,1348807700000.0,1983113700000.0,2063660700000.0,1823115200000.0,1598677800000.0,1696443100000.0,1586528300000.0,2435504700000.0,1925559400000.0,2257730400000.0
2062.0,1718054400000.0,1663841900000.0,2249356500000.0,2192668100000.0,1998297000000.0,2047575000000.0,1854844700000.0,1331933100000.0,1952265800000.0,2042599700000.0,1794757000000.0,1575911800000.0,1663946300000.0,1560109000000.0,2400590000000.0,1890768800000.0,2242531300000.0
2063.0,1687538600000.0,1635652000000.0,2232581400000.0,2154569800000.0,1983460900000.0,2030527800000.0,1820091100000.0,1309574400000.0,1927340400000.0,2030857200000.0,1778794500000.0,1555312100000.0,1642912800000.0,1531180700000.0,2383300500000.0,1867083700000.0,2214856800000.0
2064.0,1669430100000.0,1616081500000.0,2213684000000.0,2123727400000.0,1968359700000.0,2011455000000.0,1778300100000.0,1285517600000.0,1910709600000.0,2013288300000.0,1762829300000.0,1536866300000.0,1616399200000.0,1507641500000.0,2366625000000.0,1856959000000.0,2221796500000.0
2065.0,1648269700000.0,1586177000000.0,2202146400000.0,2092850200000.0,1942388300000.0,1999507200000.0,1740312500000.0,1258633600000.0,1878275000000.0,1979995100000.0,1746590200000.0,1520484000000.0,1602113200000.0,1480769900000.0,2357304000000.0,1842573300000.0,2201502400000.0
2066.0,1622468700000.0,1562309300000.0,2203493600000.0,2075001900000.0,1921304000000.0,1968587900000.0,1708366600000.0,1245055700000.0,1859845200000.0,1961906300000.0,1731817500000.0,1498822900000.0,1573756700000.0,1455898900000.0,2332911200000.0,1830506000000.0,2194654200000.0
2067.0,1607246400000.0,1551372500000.0,2192370600000.0,2056828100000.0,1911965700000.0,1937750600000.0,1665495300000.0,1227237400000.0,1836409400000.0,1947141700000.0,1720977500000.0,1478208500000.0,1558929500000.0,1427749200000.0,2349445000000.0,1801633500000.0,2184625400000.0
2068.0,1597889300000.0,1536005800000.0,2167209000000.0,2047197200000.0,1878172400000.0,1901509000000.0,1632268600000.0,1202333500000.0,1818806800000.0,1919945000000.0,1704557200000.0,1458961400000.0,1540770200000.0,1407577000000.0,2324878300000.0,1793266400000.0,2157711500000.0
2069.0,1584349000000.0,1512995000000.0,2148728400000.0,2031654500000.0,1863101800000.0,1867787500000.0,1602034300000.0,1187378900000.0,1784671200000.0,1918081600000.0,1693705600000.0,1432804700000.0,1526372100000.0,1380080800000.0,2315684000000.0,1782692000000.0,2141985400000.0
2070.0,1572470900000.0,1490600200000.0,2112188800000.0,2018416700000.0,1848255000000.0,1851428600000.0,1573722100000.0,1174331300000.0,1750939500000.0,1889518000000.0,1677156000000.0,1413466000000.0,1509619400000.0,1351666400000.0,2322280200000.0,1759958300000.0,2138071400000.0
2071.0,1553220900000.0,1459604400000.0,2088344000000.0,2005947800000.0,1835479100000.0,1838180900000.0,1545563400000.0,1164910400000.0,1735727100000.0,1871947900000.0,1665879900000.0,1395292400000.0,1496547500000.0,1337549900000.0,2307661000000.0,1730781600000.0,2119819000000.0
2072.0,1544766900000.0,1439321000000.0,2080423700000.0,1985203500000.0,1816429000000.0,1825138100000.0,1515468600000.0,1142837500000.0,1716388200000.0,1849822500000.0,1666379500000.0,1374649800000.0,1481483100000.0,1315341700000.0,2312971700000.0,1700125600000.0,2111239200000.0
2073.0,1533050500000.0,1422835300000.0,2069354000000.0,1954455200000.0,1796455900000.0,1818844700000.0,1492017900000.0,1124360800000.0,1688958700000.0,1837460500000.0,1663011400000.0,1352763200000.0,1463170500000.0,1292526300000.0,2289918500000.0,1687803300000.0,2106297300000.0
2074.0,1519698600000.0,1406366000000.0,2049351700000.0,1938494200000.0,1771827500000.0,1798500500000.0,1463162800000.0,1103944900000.0,1665900700000.0,1826367900000.0,1646542200000.0,1336471300000.0,1441536000000.0,1273747900000.0,2270346300000.0,1662005000000.0,2087492500000.0
2075.0,1503462600000.0,1393800100000.0,2030998500000.0,1923602400000.0,1774644500000.0,1787109600000.0,1437543700000.0,1086667700000.0,1635107600000.0,1812249400000.0,1631459000000.0,1330658500000.0,1427834400000.0,1255372600000.0,2247457000000.0,1638531300000.0,2096220200000.0
