time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2261.0,30481598.0,6756161.0,19649880.0
2262.0,30365670.0,6889636.5,19478082.0
2263.0,29581354.0,6914139.0,19270532.0
2264.0,30241740.0,6805178.0,18710908.0
2265.0,30012404.0,6838081.5,18518612.0
2266.0,29341812.0,6789292.5,18769028.0
2267.0,29522954.0,6866083.5,18942566.0
2268.0,29351506.0,6844923.0,18789088.0
2269.0,29479182.0,6895148.5,18905338.0
2270.0,28993774.0,6932810.5,19213890.0
2271.0,28435390.0,6860431.5,19211762.0
2272.0,28263098.0,6834463.5,19496094.0
2273.0,28193424.0,6773778.5,19426334.0
2274.0,28772666.0,6833405.0,19279296.0
2275.0,28567706.0,6834353.5,19436784.0
2276.0,28365236.0,6827656.5,19722236.0
2277.0,28305330.0,6720562.5,19323164.0
2278.0,28463158.0,6790634.0,19145296.0
2279.0,28612088.0,6771736.0,19172086.0
2280.0,28599704.0,6717799.5,18838318.0
2281.0,28765774.0,6757508.5,18730596.0
2282.0,28452804.0,6664316.5,18593390.0
2283.0,28372444.0,6686606.0,18558518.0
2284.0,28219108.0,6770689.0,18250064.0
2285.0,28236478.0,6749877.5,18208968.0
2286.0,28210334.0,6705154.5,18298288.0
2287.0,28332962.0,6679971.5,18249394.0
2288.0,27818336.0,6609942.0,18673414.0
2289.0,28159286.0,6612527.5,18740636.0
2290.0,27960876.0,6638059.0,18597408.0
2291.0,28262218.0,6713212.0,18490254.0
2292.0,28196478.0,6746315.0,18420014.0
2293.0,28030176.0,6639775.5,18480102.0
2294.0,27648556.0,6711024.0,18603462.0
2295.0,27608998.0,6683506.0,18417472.0
2296.0,27656154.0,6653604.0,18237630.0
2297.0,27616086.0,6637878.0,18148240.0
2298.0,27728982.0,6667400.0,17893238.0
2299.0,27850032.0,6619518.5,18139066.0
2300.0,27671040.0,6656318.5,17994366.0
