time,CESM2-WACCM,MIROC6,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,TAIESM1,EC-EARTH3,GFDL-ESM4,UKESM1-0-LL,CANESM5,CNRM-ESM2-1
2080.0,1239174900000.0,1125629200000.0,1413991500000.0,1021603550000.0,1191552500000.0,1110560100000.0,1128018600000.0,1127024800000.0,496009580000.0,1326829400000.0,668204600000.0,472992550000.0,1338898400000.0
2081.0,1216776100000.0,1106661100000.0,1385294900000.0,996201660000.0,1165813600000.0,1077205700000.0,1088564170000.0,1099359200000.0,466432820000.0,1304983800000.0,649189000000.0,447438200000.0,1289538100000.0
2082.0,1204568500000.0,1082989400000.0,1359854000000.0,964996700000.0,1152694100000.0,1049316560000.0,1076907200000.0,1069267550000.0,442672740000.0,1289292200000.0,624965100000.0,424257550000.0,1250003400000.0
2083.0,1171351800000.0,1064353700000.0,1357341700000.0,941604100000.0,1127505100000.0,1031053700000.0,1035416500000.0,1043333500000.0,433578640000.0,1273175700000.0,599104400000.0,410057600000.0,1206808300000.0
2084.0,1150602700000.0,1038584840000.0,1338330800000.0,917443050000.0,1109038200000.0,1024675740000.0,999009400000.0,1018655200000.0,419056120000.0,1232834400000.0,576045450000.0,389299670000.0,1184234700000.0
2085.0,1122362000000.0,1017029850000.0,1306288500000.0,892660800000.0,1089583700000.0,1000495050000.0,971411000000.0,982160240000.0,394731880000.0,1211885800000.0,559495250000.0,371842700000.0,1158405600000.0
2086.0,1110904000000.0,989897950000.0,1282254800000.0,874326070000.0,1064511100000.0,977433300000.0,929017230000.0,952642300000.0,370566600000.0,1190229700000.0,538928700000.0,357172670000.0,1124846800000.0
2087.0,1091352800000.0,946994150000.0,1265967600000.0,847598850000.0,1031941300000.0,952253800000.0,895542200000.0,933143200000.0,352843860000.0,1168937500000.0,515093600000.0,340576400000.0,1086292700000.0
2088.0,1077777100000.0,911238040000.0,1228637700000.0,824411750000.0,1012773550000.0,923114200000.0,865805300000.0,905450900000.0,340087240000.0,1135589600000.0,488870580000.0,330693800000.0,1052241300000.0
2089.0,1057118400000.0,874348940000.0,1207951000000.0,801113050000.0,992452200000.0,902002440000.0,843412200000.0,877508000000.0,328202600000.0,1115860100000.0,463096970000.0,314176830000.0,1035417160000.0
2090.0,1038082240000.0,839483460000.0,1199682900000.0,776212840000.0,983530730000.0,885627200000.0,829674400000.0,849415770000.0,318967580000.0,1089144950000.0,444691350000.0,302786740000.0,1002989160000.0
2091.0,1031771850000.0,810655940000.0,1166843700000.0,756268900000.0,967043200000.0,862002740000.0,801781060000.0,823041060000.0,305362930000.0,1070626800000.0,430833730000.0,291472400000.0,975638300000.0
2092.0,1003371100000.0,796299000000.0,1138640700000.0,729199940000.0,962376760000.0,865578060000.0,775814700000.0,798537940000.0,290047070000.0,1063222900000.0,408284300000.0,279148100000.0,945351300000.0
2093.0,979159100000.0,795089400000.0,1120312900000.0,712413700000.0,941880050000.0,840803500000.0,753349170000.0,781902150000.0,273873030000.0,1029159900000.0,385289520000.0,269924200000.0,915907100000.0
2094.0,966664260000.0,748998800000.0,1088658870000.0,685293630000.0,924704500000.0,833325400000.0,734700960000.0,755192950000.0,263334630000.0,1001381200000.0,365038170000.0,259011080000.0,888197550000.0
2095.0,946226860000.0,724650950000.0,1074467400000.0,670550070000.0,896524600000.0,837827300000.0,704073700000.0,730729100000.0,244765210000.0,988838040000.0,347984920000.0,249445920000.0,861604500000.0
2096.0,933463500000.0,719418000000.0,1049271100000.0,645618660000.0,887812260000.0,829947100000.0,682731240000.0,703240100000.0,227064050000.0,973564900000.0,331421450000.0,238925870000.0,839902200000.0
2097.0,908403000000.0,707852000000.0,1031328040000.0,623083200000.0,873041200000.0,808060400000.0,656903800000.0,676979740000.0,213047330000.0,951288500000.0,318735250000.0,227006070000.0,812036600000.0
2098.0,888028300000.0,675125260000.0,1001760300000.0,600789350000.0,869841440000.0,794021460000.0,626493750000.0,644722600000.0,204401360000.0,928541900000.0,302459220000.0,218383380000.0,789021600000.0
2099.0,869194800000.0,659271840000.0,979205400000.0,580469600000.0,849267460000.0,772011300000.0,600366060000.0,622707500000.0,197649940000.0,908536450000.0,295593280000.0,209555130000.0,759807150000.0
2100.0,836257450000.0,643062240000.0,962688650000.0,564638200000.0,825064700000.0,747188300000.0,575265100000.0,599055500000.0,185543380000.0,892871700000.0,283280600000.0,204993580000.0,746610000000.0
