time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2072.0,21368783000.0,16551494000.0,27257715000.0,17778364000.0,23439310000.0,28370053000.0,22766604000.0,25008667000.0,16246273000.0,8964566000.0
2073.0,20788050000.0,16059410000.0,26559773000.0,17306677000.0,22797488000.0,27767460000.0,22204051000.0,24468177000.0,15742513000.0,8581899300.0
2074.0,20220822000.0,15540565000.0,25967428000.0,16720803000.0,22237135000.0,27195089000.0,21668407000.0,23939678000.0,15072527000.0,8271242000.0
2075.0,19577186000.0,15027461000.0,25476240000.0,16213148000.0,21794302000.0,26457143000.0,20837870000.0,23452877000.0,14467609000.0,7921332000.0
2076.0,18994872000.0,14556392000.0,24793864000.0,15597868000.0,21190955000.0,25800356000.0,20049488000.0,22965105000.0,13924626000.0,7625005600.0
2077.0,18417699000.0,14015102000.0,24139733000.0,15083445000.0,20499294000.0,25198447000.0,19497837000.0,22442947000.0,13396805000.0,7380706300.0
2078.0,17934246000.0,13465629000.0,23584567000.0,14556960000.0,19936303000.0,24693633000.0,18914423000.0,21973152000.0,12866358000.0,7153587000.0
2079.0,17339808000.0,13010653000.0,23110797000.0,14040122000.0,19388377000.0,24003318000.0,18423116000.0,21543025000.0,12499240000.0,6865590300.0
2080.0,16862651000.0,12694065000.0,22536968000.0,13715430000.0,18873936000.0,23432750000.0,17738766000.0,21102100000.0,12010817000.0,6636754400.0
2081.0,16407812000.0,12282674000.0,22034727000.0,13319081000.0,18325062000.0,23009434000.0,16965335000.0,20688814000.0,11626976000.0,6295215000.0
2082.0,16016123000.0,11831215000.0,21582987000.0,12841177000.0,17810328000.0,22366018000.0,16419912000.0,20203053000.0,11231699000.0,6075656000.0
2083.0,15526402000.0,11399917000.0,20925325000.0,12466524000.0,17465678000.0,21874358000.0,15888614000.0,19772842000.0,10849612000.0,5780168000.0
2084.0,15096533000.0,10955691000.0,20573753000.0,12130490000.0,16955928000.0,21356669000.0,15401618000.0,19325104000.0,10483756000.0,5532564000.0
2085.0,14629998000.0,10528532000.0,20041208000.0,11789233000.0,16441602000.0,20683368000.0,15852121000.0,18970030000.0,10164418000.0,5282004000.0
2086.0,14250960000.0,10170696000.0,19553810000.0,11455257000.0,15982776000.0,20028846000.0,14525903000.0,18506455000.0,9653174000.0,4922973700.0
2087.0,13872226000.0,9728601000.0,18953069000.0,11100569000.0,15533932000.0,19466166000.0,14003943000.0,18086849000.0,9237823000.0,4563563000.0
2088.0,13580495000.0,9410253000.0,18467293000.0,10722280000.0,15154883000.0,18937127000.0,13494841000.0,17702920000.0,8813641000.0,4330418000.0
2089.0,13122319000.0,8935862000.0,18080051000.0,10249224000.0,14902807000.0,18431793000.0,12991758000.0,17347385000.0,8365179400.0,4007996200.0
2090.0,12715160000.0,8397241000.0,17617883000.0,9913347000.0,14378420000.0,18099257000.0,12491909000.0,17017557000.0,8004404000.0,3741496000.0
2091.0,12322302000.0,7965352000.0,17234655000.0,9541001000.0,13941988000.0,17677115000.0,12039752000.0,16650519000.0,7619499500.0,3493316000.0
2092.0,12005052000.0,7455988700.0,16818569000.0,9180692000.0,13552983000.0,17174912000.0,11649236000.0,16319653000.0,7155908600.0,3338882300.0
2093.0,11735842000.0,7067409000.0,16572903000.0,8914799000.0,13179436000.0,16707476000.0,11219898000.0,15975298000.0,6648817000.0,3175741400.0
2094.0,11427370000.0,6742691300.0,16034463000.0,8519720000.0,12721444000.0,16151088000.0,10866159000.0,15682416000.0,6273219600.0,2986678500.0
2095.0,11205193000.0,6408196000.0,15628483000.0,8089089000.0,12391250000.0,15786506000.0,10593451000.0,15304908000.0,5823441000.0,2750222800.0
2096.0,10932345000.0,6117007400.0,15257648000.0,7716356600.0,12092751000.0,15407220000.0,10198130000.0,14946785000.0,5459908600.0,2597960400.0
2097.0,10614350000.0,5670238000.0,14950235000.0,7370012700.0,11788147000.0,15167956000.0,9884478000.0,14639990000.0,5112768000.0,2487273500.0
2098.0,10359602000.0,5335235000.0,14594067000.0,7006678000.0,11524147000.0,14698883000.0,9606974000.0,14292857000.0,4843393000.0,2329971200.0
2099.0,10080345000.0,5104551000.0,14253173000.0,6700485600.0,11268698000.0,14492639000.0,9199017000.0,13998612000.0,4591781000.0,2203096300.0
2100.0,9790460000.0,4839432000.0,13973352000.0,6456892400.0,10985538000.0,13985913000.0,8867537000.0,13699583000.0,4343731000.0,2101142300.0
