time,MPI-ESM1-2-HR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,ACCESS-CM2,EC-EARTH3,TAIESM1,ACCESS-ESM1-5,NORESM2-MM,INM-CM4-8,FGOALS-F3-L
2084.0,55668208000.0,33389255000.0,29785813000.0,40661594000.0,33228230000.0,54943547000.0,47386330000.0,39081832000.0,51527580000.0,37112205000.0,35410840000.0,55769436000.0,36404253000.0,34889335000.0,28661387000.0,35941913000.0,39250920000.0,51064005000.0,47741075000.0
2085.0,55144300000.0,32428001000.0,28910592000.0,39712145000.0,32378808000.0,54404080000.0,46796247000.0,37944185000.0,50934755000.0,36468916000.0,34669440000.0,55065248000.0,35267166000.0,34199732000.0,27688786000.0,35195310000.0,38099370000.0,50768265000.0,47064910000.0
2086.0,54843810000.0,31192610000.0,27991930000.0,38493560000.0,31643175000.0,53714670000.0,46169450000.0,37019087000.0,50241257000.0,35850592000.0,33643862000.0,55324942000.0,34179942000.0,33226004000.0,26525043000.0,34449480000.0,37293920000.0,49886540000.0,46483653000.0
2087.0,56354620000.0,30481390000.0,27138260000.0,37417760000.0,30793515000.0,53079700000.0,45840097000.0,35935110000.0,49704325000.0,35314830000.0,32458985000.0,54219293000.0,33173305000.0,32118810000.0,25431947000.0,33273820000.0,36178530000.0,49327395000.0,45923440000.0
2088.0,54353035000.0,29335347000.0,26038784000.0,35960500000.0,29856539000.0,52522316000.0,45232970000.0,34610250000.0,48962273000.0,34781123000.0,31485160000.0,53729800000.0,32055058000.0,30892510000.0,24172116000.0,32505647000.0,34996933000.0,48944955000.0,45247480000.0
2089.0,53674430000.0,28437776000.0,25043330000.0,34718495000.0,29189925000.0,52185390000.0,44783250000.0,33513929000.0,48512650000.0,34236584000.0,30761927000.0,53481185000.0,31365827000.0,29962707000.0,23096912000.0,31467730000.0,34037547000.0,48361054000.0,44552370000.0
2090.0,53298176000.0,27566643000.0,24239270000.0,33204339000.0,28377975000.0,51678953000.0,44069216000.0,32379937000.0,47782887000.0,33893771000.0,30073213000.0,52809556000.0,30658187000.0,29066908000.0,22059123000.0,30407315000.0,32738327000.0,47997590000.0,44044080000.0
2091.0,52747997000.0,26639772000.0,23359793000.0,32221510000.0,27636450000.0,50997776000.0,43462090000.0,31201850000.0,47305280000.0,33311468000.0,29325015000.0,52081500000.0,29799786000.0,28023478000.0,21254595000.0,29503121000.0,31693620000.0,47383180000.0,43303990000.0
2092.0,52359860000.0,25537466000.0,22718108000.0,31038837000.0,26944868000.0,50387276000.0,42852053000.0,29958068000.0,46671192000.0,32501512000.0,28476332000.0,51701260000.0,29225440000.0,27378629000.0,20316293000.0,28628533000.0,30612560000.0,46947550000.0,42701976000.0
2093.0,51956550000.0,24539666000.0,21981204000.0,29781121000.0,26277360000.0,49959625000.0,42382365000.0,28909978000.0,46214713000.0,31819942000.0,27781016000.0,51223270000.0,28640125000.0,26718736000.0,19531651000.0,28020040000.0,29912860000.0,46419950000.0,41912435000.0
2094.0,51313710000.0,23816552000.0,21132050000.0,28504926000.0,25791214000.0,49283015000.0,41795863000.0,28091440000.0,45730734000.0,31373705000.0,27190624000.0,50786525000.0,27649817000.0,25844554000.0,18647964000.0,27368360000.0,28867056000.0,45904660000.0,41218085000.0
