time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2133.0,29164864000000.0,16055737000000.0,20049046000000.0,32693868000000.0
2134.0,29030785000000.0,15915833000000.0,19846595000000.0,32547940000000.0
2135.0,28886457000000.0,15693999000000.0,19614407000000.0,32413621000000.0
2136.0,28695973000000.0,15473160000000.0,19446752000000.0,32328596000000.0
2137.0,28550397000000.0,15264087000000.0,19257943000000.0,32295872000000.0
2138.0,28448834000000.0,15058319000000.0,19038638000000.0,32207643000000.0
2139.0,28312445000000.0,14855709000000.0,18866530000000.0,32087103000000.0
2140.0,28266388000000.0,14687242000000.0,18660767000000.0,31997960000000.0
2141.0,28113858000000.0,14484490000000.0,18502602000000.0,31973750000000.0
2142.0,28040392000000.0,14271614000000.0,18291054000000.0,31851043000000.0
2143.0,27955028000000.0,14111505000000.0,18057130000000.0,31830456000000.0
2144.0,27884826000000.0,13876114000000.0,17872726000000.0,31748760000000.0
2145.0,27722560000000.0,13694343000000.0,17703274000000.0,31619713000000.0
2146.0,27598400000000.0,13486496000000.0,17468190000000.0,31500586000000.0
2147.0,27465250000000.0,13278581000000.0,17275859000000.0,31456208000000.0
2148.0,27360783000000.0,13092077000000.0,17077027000000.0,31386100000000.0
2149.0,27251144000000.0,12912926000000.0,16916598000000.0,31352362000000.0
2150.0,27085565000000.0,12750103000000.0,16722071000000.0,31265140000000.0
2151.0,27042989000000.0,12600527000000.0,16543799000000.0,31144810000000.0
2152.0,27010932000000.0,12464992000000.0,16336926000000.0,31010742000000.0
2153.0,26928285000000.0,12307797000000.0,16171362000000.0,30933490000000.0
2154.0,26874378000000.0,12100063000000.0,16027572000000.0,30786198000000.0
2155.0,26780698000000.0,11877180000000.0,15837657000000.0,30559259000000.0
2156.0,26687470000000.0,11741600000000.0,15647299000000.0,30438712000000.0
2157.0,26553793000000.0,11616729000000.0,15482386000000.0,30300357000000.0
2158.0,26446347000000.0,11449926000000.0,15336479000000.0,30231717000000.0
2159.0,26331140000000.0,11340539000000.0,15175972000000.0,30137469000000.0
2160.0,26177545000000.0,11234434000000.0,15059382000000.0,30034098000000.0
2161.0,26060683000000.0,11081788000000.0,14930931000000.0,29907824000000.0
2162.0,26001455000000.0,10908348000000.0,14792183000000.0,29848456000000.0
2163.0,25885590000000.0,10790310000000.0,14591693000000.0,29753388000000.0
2164.0,25740465000000.0,10668687000000.0,14433750000000.0,29646905000000.0
2165.0,25655318000000.0,10500978000000.0,14269297000000.0,29527332000000.0
2166.0,25597525000000.0,10379469000000.0,14117265000000.0,29469645000000.0
2167.0,25508195000000.0,10213253000000.0,14002777000000.0,29343993000000.0
2168.0,25385998000000.0,10051244000000.0,13856696000000.0,29274258000000.0
2169.0,25296382000000.0,9912024000000.0,13705831000000.0,29203385000000.0
2170.0,25177290000000.0,9749576000000.0,13512160000000.0,29109296000000.0
2171.0,25032774000000.0,9562746000000.0,13372399000000.0,29045515000000.0
2172.0,24922942000000.0,9442524000000.0,13253999000000.0,28906850000000.0
2173.0,24836282000000.0,9302140000000.0,13117384000000.0,28890748000000.0
2174.0,24740786000000.0,9175945000000.0,12987899000000.0,28742208000000.0
2175.0,24553617000000.0,9058299000000.0,12855991000000.0,28676284000000.0
2176.0,24481995000000.0,8937182000000.0,12708474000000.0,28599457000000.0
2177.0,24399973000000.0,8839618000000.0,12605697000000.0,28510110000000.0
2178.0,24317614000000.0,8716280700000.0,12456346000000.0,28440017000000.0
2179.0,24165826000000.0,8565788500000.0,12367588000000.0,28354280000000.0
2180.0,24042388000000.0,8439253000000.0,12216989000000.0,28314945000000.0
2181.0,23907734000000.0,8344295700000.0,12094580000000.0,28218132000000.0
2182.0,23812016000000.0,8224258400000.0,11961089000000.0,28160549000000.0
2183.0,23780747000000.0,8098219000000.0,11834012000000.0,28068756000000.0
2184.0,23719177000000.0,7974146000000.0,11686138000000.0,27999917000000.0
2185.0,23683104000000.0,7878023000000.0,11510992000000.0,27935360000000.0
2186.0,23494576000000.0,7778144400000.0,11401726000000.0,27885348000000.0
2187.0,23411609000000.0,7694236000000.0,11298354000000.0,27869770000000.0
2188.0,23336342000000.0,7541961500000.0,11166677000000.0,27814003000000.0
2189.0,23281100000000.0,7425126600000.0,11037202000000.0,27729202000000.0
2190.0,23136560000000.0,7343046700000.0,10930340000000.0,27671417000000.0
2191.0,23043336000000.0,7248953700000.0,10793212000000.0,27667187000000.0
2192.0,22940120000000.0,7167760400000.0,10665300000000.0,27616644000000.0
2193.0,22833100000000.0,7066062700000.0,10560411000000.0,27540900000000.0
2194.0,22678635000000.0,6963281000000.0,10479183000000.0,27506283000000.0
2195.0,22579430000000.0,6869595000000.0,10395746000000.0,27385000000000.0
2196.0,22485074000000.0,6765610000000.0,10299485000000.0,27230927000000.0
2197.0,22364102000000.0,6656247000000.0,10225723000000.0,27144768000000.0
2198.0,22320238000000.0,6548669000000.0,10134268000000.0,26988570000000.0
2199.0,22271666000000.0,6476376000000.0,10041151000000.0,26859398000000.0
2200.0,22171005000000.0,6400341000000.0,9922653000000.0,26797245000000.0
2201.0,22067209000000.0,6349970700000.0,9782112000000.0,26744535000000.0
2202.0,21965832000000.0,6275452000000.0,9671374000000.0,26667079000000.0
2203.0,21901217000000.0,6210899700000.0,9560280000000.0,26642458000000.0
2204.0,21842817000000.0,6143880500000.0,9414886000000.0,26580586000000.0
2205.0,21781251000000.0,6076327000000.0,9332762000000.0,26493254000000.0
2206.0,21703078000000.0,5995441400000.0,9220174000000.0,26406030000000.0
2207.0,21680928000000.0,5916861000000.0,9108350000000.0,26261650000000.0
2208.0,21643630000000.0,5857043500000.0,9014506000000.0,26226180000000.0
2209.0,21585094000000.0,5773097000000.0,8904539000000.0,26162653000000.0
2210.0,21498480000000.0,5691175000000.0,8801638000000.0,26069764000000.0
2211.0,21503733000000.0,5609017600000.0,8690563000000.0,25989657000000.0
2212.0,21466640000000.0,5542207600000.0,8596652300000.0,25901656000000.0
2213.0,21414190000000.0,5486674000000.0,8506097000000.0,25792747000000.0
2214.0,21362215000000.0,5398361000000.0,8405031300000.0,25734815000000.0
2215.0,21280680000000.0,5311437500000.0,8322499500000.0,25678284000000.0
2216.0,21200477000000.0,5223476600000.0,8221199000000.0,25629130000000.0
2217.0,21125994000000.0,5160590000000.0,8144081600000.0,25566281000000.0
2218.0,21002994000000.0,5094101000000.0,8054838000000.0,25514956000000.0
2219.0,20983916000000.0,5023377400000.0,7974769000000.0,25405916000000.0
2220.0,20826254000000.0,4961544000000.0,7902836000000.0,25385754000000.0
2221.0,20705680000000.0,4892651000000.0,7818293300000.0,25362304000000.0
2222.0,20669580000000.0,4822371000000.0,7724871500000.0,25278246000000.0
2223.0,20635133000000.0,4762360600000.0,7616843000000.0,25139750000000.0
2224.0,20583312000000.0,4678476000000.0,7525520000000.0,24990427000000.0
2225.0,20503945000000.0,4617270000000.0,7426700000000.0,24885050000000.0
2226.0,20411857000000.0,4552211300000.0,7330435000000.0,24793550000000.0
2227.0,20381472000000.0,4501399400000.0,7243024600000.0,24588770000000.0
2228.0,20357503000000.0,4425924500000.0,7155293000000.0,24484713000000.0
2229.0,20302801000000.0,4374366000000.0,7054069000000.0,24414958000000.0
2230.0,20298217000000.0,4307444000000.0,6936031000000.0,24310574000000.0
2231.0,20245712000000.0,4259377600000.0,6856049000000.0,24271095000000.0
2232.0,20192218000000.0,4205084000000.0,6756525000000.0,24159111000000.0
2233.0,20150927000000.0,4145717400000.0,6684060000000.0,24117122000000.0
2234.0,20047037000000.0,4089307200000.0,6615699000000.0,24047065000000.0
2235.0,19935904000000.0,4039486000000.0,6549041300000.0,23973054000000.0
2236.0,19892850000000.0,3985792000000.0,6477557000000.0,23862708000000.0
2237.0,19841826000000.0,3935671000000.0,6394490000000.0,23804487000000.0
2238.0,19780700000000.0,3887740200000.0,6289178000000.0,23778365000000.0
2239.0,19650350000000.0,3835764700000.0,6208474300000.0,23745004000000.0
2240.0,19589300000000.0,3773658600000.0,6138856700000.0,23636640000000.0
2241.0,19473280000000.0,3723801400000.0,6081670000000.0,23525914000000.0
2242.0,19395313000000.0,3673788500000.0,6036458600000.0,23449668000000.0
2243.0,19346062000000.0,3642396200000.0,5974010600000.0,23360512000000.0
2244.0,19255788000000.0,3617545800000.0,5892253700000.0,23279662000000.0
2245.0,19225314000000.0,3569608800000.0,5831444700000.0,23205704000000.0
2246.0,19190556000000.0,3516273300000.0,5781505700000.0,23119908000000.0
2247.0,19126402000000.0,3487200200000.0,5738102000000.0,23063300000000.0
2248.0,19078950000000.0,3461844600000.0,5701096000000.0,22956007000000.0
2249.0,18918532000000.0,3436122500000.0,5643990000000.0,22849404000000.0
2250.0,18834795000000.0,3409079000000.0,5598186000000.0,22752726000000.0
2251.0,18775347000000.0,3373054600000.0,5547236000000.0,22675072000000.0
2252.0,18698956000000.0,3334537500000.0,5495967000000.0,22571840000000.0
2253.0,18646418000000.0,3312547000000.0,5455906000000.0,22520762000000.0
2254.0,18578480000000.0,3281669300000.0,5415972000000.0,22497418000000.0
2255.0,18539298000000.0,3258324600000.0,5370914000000.0,22416225000000.0
2256.0,18492082000000.0,3239881700000.0,5328042000000.0,22324254000000.0
2257.0,18388502000000.0,3215623200000.0,5280345600000.0,22259199000000.0
2258.0,18352870000000.0,3188008400000.0,5232401600000.0,22213873000000.0
2259.0,18254255000000.0,3168058700000.0,5162071500000.0,22120040000000.0
2260.0,18195201000000.0,3148315600000.0,5111140600000.0,22000154000000.0
2261.0,18112831000000.0,3121341300000.0,5076749000000.0,21876984000000.0
2262.0,18025439000000.0,3100225000000.0,5031546000000.0,21800059000000.0
2263.0,17984406000000.0,3065753400000.0,4998725000000.0,21753950000000.0
2264.0,17888189000000.0,3034081400000.0,4948613000000.0,21663203000000.0
2265.0,17843720000000.0,3012444300000.0,4912637000000.0,21594685000000.0
2266.0,17794756000000.0,2977774000000.0,4866558700000.0,21550917000000.0
2267.0,17694854000000.0,2953197400000.0,4812002000000.0,21487218000000.0
2268.0,17591538000000.0,2936336000000.0,4776413600000.0,21345612000000.0
2269.0,17547924000000.0,2926463000000.0,4733067600000.0,21267376000000.0
2270.0,17512477000000.0,2894398800000.0,4697629400000.0,21214276000000.0
2271.0,17429825000000.0,2872653400000.0,4650925300000.0,21160991000000.0
2272.0,17389066000000.0,2833240300000.0,4613904300000.0,21058910000000.0
2273.0,17355799000000.0,2798153600000.0,4562243000000.0,21005632000000.0
2274.0,17300625000000.0,2776215800000.0,4511465700000.0,20939889000000.0
2275.0,17245833000000.0,2756900300000.0,4460862000000.0,20877712000000.0
2276.0,17170786000000.0,2737524700000.0,4407712300000.0,20825999000000.0
2277.0,17103181000000.0,2717178400000.0,4364204000000.0,20810878000000.0
2278.0,17065202000000.0,2706705700000.0,4336764000000.0,20733172000000.0
2279.0,17012998000000.0,2688828800000.0,4308562600000.0,20692678000000.0
2280.0,16958458000000.0,2668223000000.0,4277369600000.0,20659426000000.0
2281.0,16911585000000.0,2649108800000.0,4236701900000.0,20631730000000.0
2282.0,16893903000000.0,2619776400000.0,4189867200000.0,20572726000000.0
2283.0,16845374000000.0,2597308300000.0,4156891600000.0,20546601000000.0
2284.0,16762838000000.0,2570533700000.0,4127273500000.0,20509889000000.0
2285.0,16654279000000.0,2553128200000.0,4086338200000.0,20475806000000.0
2286.0,16583014000000.0,2526549600000.0,4052981400000.0,20443363000000.0
2287.0,16467851000000.0,2508167300000.0,4008757000000.0,20378538000000.0
2288.0,16382594000000.0,2493378500000.0,3958467000000.0,20348135000000.0
2289.0,16328192000000.0,2469991000000.0,3935246500000.0,20264696000000.0
2290.0,16303649000000.0,2453895000000.0,3900436000000.0,20178551000000.0
2291.0,16272991000000.0,2429192800000.0,3880849500000.0,20081420000000.0
2292.0,16168358000000.0,2414718500000.0,3855281000000.0,20047180000000.0
2293.0,16085551000000.0,2385352300000.0,3822636500000.0,19990378000000.0
2294.0,16032777000000.0,2359555000000.0,3792848300000.0,19894834000000.0
2295.0,16006026000000.0,2347046800000.0,3757621600000.0,19853713000000.0
2296.0,15956662000000.0,2331688600000.0,3725204700000.0,19780164000000.0
2297.0,15912500000000.0,2321440600000.0,3709929300000.0,19669060000000.0
2298.0,15843628000000.0,2309078400000.0,3686675300000.0,19584660000000.0
2299.0,15752216000000.0,2295929000000.0,3654581700000.0,19523321000000.0
2300.0,15675517000000.0,2284198300000.0,3614438600000.0,19464870000000.0
