time,TAIESM1,CNRM-CM6-1,MIROC6,CESM2-WACCM,CANESM5,IITM-ESM,MPI-ESM1-2-HR,CNRM-ESM2-1,KACE-1-0-G,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3
2067.0,1296738700000.0,1675631000000.0,1581249200000.0,1648861600000.0,710564300000.0,2582782400000.0,1950530700000.0,1813364500000.0,1236435700000.0,1109923200000.0,1858260300000.0,1467081400000.0,1528886200000.0,1190867000000.0
2068.0,1256184600000.0,1663568600000.0,1563877300000.0,1642608900000.0,693231000000.0,2585096000000.0,1923530400000.0,1789375500000.0,1214505000000.0,1083150300000.0,1850136200000.0,1461046000000.0,1500462300000.0,1171711200000.0
2069.0,1240043400000.0,1636301300000.0,1534972300000.0,1634444200000.0,682600800000.0,2564981000000.0,1908804300000.0,1761112400000.0,1192237700000.0,1061736940000.0,1833989200000.0,1452281400000.0,1473021100000.0,1142881800000.0
2070.0,1217668700000.0,1612824000000.0,1503499400000.0,1611394600000.0,671595400000.0,2552653000000.0,1900692400000.0,1743869200000.0,1173322300000.0,1046817870000.0,1821620600000.0,1441116200000.0,1447973000000.0,1123582700000.0
2071.0,1194752700000.0,1600322800000.0,1476886800000.0,1582271800000.0,666808600000.0,2524949500000.0,1881444500000.0,1736250500000.0,1149726400000.0,1029715100000.0,1808351000000.0,1421452500000.0,1425070900000.0,1107715800000.0
2072.0,1160504900000.0,1580753700000.0,1460999200000.0,1551447100000.0,652244800000.0,2533760700000.0,1872619100000.0,1723586700000.0,1129305300000.0,1003531670000.0,1785106100000.0,1415337500000.0,1396612800000.0,1089118860000.0
2073.0,1137550400000.0,1559703700000.0,1440104600000.0,1538825700000.0,640846200000.0,2523058400000.0,1864371800000.0,1698243000000.0,1118861400000.0,980590130000.0,1750938700000.0,1402478700000.0,1370060100000.0,1068412630000.0
2074.0,1126976600000.0,1552728000000.0,1417792500000.0,1512580700000.0,626829200000.0,2516429800000.0,1845836600000.0,1674593800000.0,1099711500000.0,956505500000.0,1733900000000.0,1391741500000.0,1340160000000.0,1055480150000.0
2075.0,1111542000000.0,1542877900000.0,1390479700000.0,1490414900000.0,615366500000.0,2515883300000.0,1851509700000.0,1654635200000.0,1076947100000.0,935689800000.0,1717942100000.0,1372081400000.0,1315053100000.0,1054103800000.0
2076.0,1089314200000.0,1523742700000.0,1372506600000.0,1480115100000.0,607702200000.0,2510093300000.0,1833004000000.0,1627184300000.0,1066572300000.0,906459350000.0,1697438800000.0,1351693200000.0,1299482700000.0,1046108600000.0
2077.0,1066700240000.0,1516070100000.0,1362262400000.0,1469691100000.0,602012450000.0,2509279600000.0,1819649900000.0,1610333000000.0,1049820860000.0,887258300000.0,1686626800000.0,1345586600000.0,1279307500000.0,1032802700000.0
2078.0,1051200450000.0,1497043200000.0,1364393600000.0,1456130000000.0,594611900000.0,2479707000000.0,1800249900000.0,1596749300000.0,1029632950000.0,868785200000.0,1679422700000.0,1324984300000.0,1260188700000.0,1017929500000.0
2079.0,1028986770000.0,1483697000000.0,1364190000000.0,1446878000000.0,587895340000.0,2466886700000.0,1782191500000.0,1576160200000.0,1019427200000.0,857959240000.0,1672979300000.0,1319536000000.0,1241563100000.0,1007875000000.0
2080.0,1016354200000.0,1471692000000.0,1353256700000.0,1438920500000.0,574569640000.0,2460402300000.0,1773726700000.0,1561872800000.0,1000457200000.0,834725900000.0,1669434300000.0,1302275000000.0,1218719800000.0,1002630600000.0
2081.0,1007100560000.0,1469378500000.0,1329740400000.0,1421405600000.0,572317040000.0,2443627200000.0,1750907700000.0,1541748700000.0,990605500000.0,817283660000.0,1672810300000.0,1302254600000.0,1204781200000.0,984175350000.0
2082.0,1001558000000.0,1453360400000.0,1304378000000.0,1405217800000.0,567202000000.0,2415540000000.0,1745047000000.0,1523306500000.0,968519060000.0,804022500000.0,1665221900000.0,1293447200000.0,1182980100000.0,977651600000.0
2083.0,986544870000.0,1438642200000.0,1283729000000.0,1391576400000.0,561493970000.0,2401487000000.0,1716781400000.0,1513344700000.0,960027750000.0,792330800000.0,1664209100000.0,1280274700000.0,1168226400000.0,969908750000.0
2084.0,974469500000.0,1439880800000.0,1273652700000.0,1389794200000.0,550077600000.0,2399240000000.0,1699723000000.0,1496721500000.0,942574200000.0,778590950000.0,1653768800000.0,1277054800000.0,1155294800000.0,958917400000.0
2085.0,959150300000.0,1423652000000.0,1265717300000.0,1378092000000.0,545588480000.0,2397215000000.0,1694392100000.0,1474691200000.0,939082840000.0,766173000000.0,1638489800000.0,1277902800000.0,1135960900000.0,947317900000.0
2086.0,947717500000.0,1423951000000.0,1258372700000.0,1376755600000.0,549057720000.0,2403277000000.0,1700134900000.0,1474904200000.0,922896200000.0,757566140000.0,1630358900000.0,1273425300000.0,1119187500000.0,936965200000.0
2087.0,935575100000.0,1412486700000.0,1255514300000.0,1368750600000.0,546171030000.0,2416798600000.0,1691021300000.0,1467367300000.0,907950560000.0,750682700000.0,1622124900000.0,1270461900000.0,1104835100000.0,924786900000.0
2088.0,924479200000.0,1404998900000.0,1240494100000.0,1355400200000.0,538243700000.0,2410606000000.0,1683774100000.0,1456795400000.0,906352000000.0,738052730000.0,1619536900000.0,1251103600000.0,1098193800000.0,919863030000.0
2089.0,917804000000.0,1393190500000.0,1226348000000.0,1346724600000.0,532074360000.0,2416451500000.0,1670944000000.0,1439087900000.0,888709600000.0,722163340000.0,1612693800000.0,1243697400000.0,1089344100000.0,916080300000.0
2090.0,902309800000.0,1382330800000.0,1209145000000.0,1347548100000.0,534135830000.0,2417226200000.0,1655096900000.0,1420683200000.0,874937200000.0,712436000000.0,1611155600000.0,1250558200000.0,1079955000000.0,913252100000.0
2091.0,885670350000.0,1361643200000.0,1184106800000.0,1328591700000.0,529026400000.0,2405649000000.0,1654065900000.0,1407758600000.0,866976300000.0,700114600000.0,1608790000000.0,1240762700000.0,1076144900000.0,913214200000.0
2092.0,878535300000.0,1346988400000.0,1169712600000.0,1325024000000.0,520922700000.0,2407129400000.0,1646801500000.0,1380295000000.0,856097160000.0,687561000000.0,1590856600000.0,1245647600000.0,1059624060000.0,909825500000.0
2093.0,865438660000.0,1344564800000.0,1156346300000.0,1319967800000.0,518068900000.0,2393786800000.0,1635848600000.0,1366955100000.0,854403840000.0,679305150000.0,1581248800000.0,1231580800000.0,1051695450000.0,903802300000.0
2094.0,863720900000.0,1333085500000.0,1147496200000.0,1315619700000.0,518223950000.0,2388069700000.0,1614666300000.0,1351258000000.0,843180400000.0,668975400000.0,1578137800000.0,1227899300000.0,1036969840000.0,895077200000.0
2095.0,866656700000.0,1321072200000.0,1129531800000.0,1302226400000.0,509553440000.0,2381189700000.0,1636019500000.0,1339924800000.0,837992050000.0,658344250000.0,1560688900000.0,1222898900000.0,1035249500000.0,885362900000.0
2096.0,864388060000.0,1309110700000.0,1112252500000.0,1287251700000.0,506729040000.0,2379743500000.0,1628259600000.0,1328667700000.0,830724000000.0,641390800000.0,1556039700000.0,1217157500000.0,1028588800000.0,882968200000.0
2097.0,862749800000.0,1298078500000.0,1102883200000.0,1270923700000.0,509152720000.0,2376502300000.0,1630419700000.0,1320426500000.0,820180940000.0,628482050000.0,1558182100000.0,1220497100000.0,1008749400000.0,878460670000.0
2098.0,851309560000.0,1293497800000.0,1092848700000.0,1259931600000.0,506411900000.0,2371849800000.0,1616561000000.0,1314260100000.0,804871900000.0,619165300000.0,1537486200000.0,1218324900000.0,1000975000000.0,876713500000.0
2099.0,845780100000.0,1283686700000.0,1082358240000.0,1240544300000.0,505381520000.0,2360529000000.0,1608745000000.0,1291509700000.0,801122700000.0,609130450000.0,1529203300000.0,1215909300000.0,992828400000.0,871605100000.0
2100.0,836094850000.0,1272080200000.0,1087529160000.0,1238866200000.0,505121180000.0,2351834300000.0,1609285100000.0,1276997900000.0,797568660000.0,610452440000.0,1528620600000.0,1221240600000.0,983680750000.0,869764760000.0
