time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2049.0,4063942700000.0,3475660300000.0,3713395900000.0,3699963300000.0,3877260200000.0,3715552000000.0,3549217000000.0,3510999400000.0,3938660000000.0,3950718500000.0,3686232500000.0,3650569600000.0,3798594200000.0,3858586400000.0,3627431200000.0,3844851600000.0,3628793600000.0,3940635000000.0,3743947200000.0
2050.0,4032126300000.0,3412231000000.0,3692331800000.0,3673047400000.0,3830077000000.0,3688845500000.0,3509241500000.0,3486522800000.0,3922345900000.0,3931663200000.0,3669638500000.0,3610033800000.0,3761234500000.0,3843523300000.0,3612011700000.0,3801092000000.0,3570892800000.0,3909310700000.0,3697921800000.0
2051.0,3989864700000.0,3357172300000.0,3672072300000.0,3664156800000.0,3789015500000.0,3647153600000.0,3440485000000.0,3467163000000.0,3877872300000.0,3905019400000.0,3631846000000.0,3571103300000.0,3710207000000.0,3826658000000.0,3569202500000.0,3770863000000.0,3557157000000.0,3876850200000.0,3676643500000.0
2052.0,3968651000000.0,3332907700000.0,3635874400000.0,3636027200000.0,3776402700000.0,3613772500000.0,3397645000000.0,3433655700000.0,3842838000000.0,3874199000000.0,3575793600000.0,3540577400000.0,3656400800000.0,3815415200000.0,3544152300000.0,3746613400000.0,3538240100000.0,3847600500000.0,3667634000000.0
2053.0,3937814400000.0,3285753500000.0,3590069000000.0,3596987400000.0,3759409000000.0,3583316600000.0,3369124500000.0,3382733000000.0,3813397800000.0,3836750600000.0,3525038300000.0,3493675100000.0,3614784400000.0,3790733300000.0,3499208700000.0,3717409000000.0,3501881300000.0,3821940500000.0,3631364000000.0
2054.0,3916115000000.0,3256432500000.0,3550290000000.0,3574791700000.0,3717027600000.0,3539739300000.0,3343175000000.0,3341759800000.0,3779580700000.0,3789665900000.0,3497127800000.0,3465371000000.0,3563896000000.0,3746714000000.0,3449615800000.0,3680950000000.0,3475661000000.0,3814212500000.0,3576281400000.0
2055.0,3886429000000.0,3203709500000.0,3520006000000.0,3539368000000.0,3696886300000.0,3504497200000.0,3311394400000.0,3304240000000.0,3759215500000.0,3759967800000.0,3463413000000.0,3417399000000.0,3524397400000.0,3708218200000.0,3405933700000.0,3659985600000.0,3420175200000.0,3780817700000.0,3552873000000.0
2056.0,3853089500000.0,3156164000000.0,3488606800000.0,3524803700000.0,3670546600000.0,3460767000000.0,3276700600000.0,3262601200000.0,3751172000000.0,3727109400000.0,3440407000000.0,3353091500000.0,3497938400000.0,3658762400000.0,3359679700000.0,3640286800000.0,3388743000000.0,3745533700000.0,3536796300000.0
2057.0,3811941500000.0,3115441200000.0,3457664700000.0,3490127500000.0,3638859100000.0,3425554100000.0,3249763800000.0,3222345400000.0,3719444300000.0,3706599200000.0,3407721300000.0,3297744800000.0,3439625500000.0,3643751000000.0,3319224900000.0,3612409900000.0,3340781500000.0,3680421300000.0,3532871700000.0
2058.0,3795681500000.0,3078234800000.0,3406530600000.0,3467176800000.0,3613459000000.0,3393096000000.0,3226425600000.0,3204067400000.0,3695936000000.0,3682348300000.0,3373203500000.0,3244344500000.0,3407868300000.0,3621240200000.0,3291264800000.0,3582289500000.0,3294464300000.0,3645454200000.0,3513953800000.0
2059.0,3766413400000.0,3045014600000.0,3380379400000.0,3438683600000.0,3587280000000.0,3347312800000.0,3192383900000.0,3164592000000.0,3681784400000.0,3650975400000.0,3330917800000.0,3219436000000.0,3363040700000.0,3576320800000.0,3238355000000.0,3571051700000.0,3274592700000.0,3604731400000.0,3463869600000.0
2060.0,3746659800000.0,2993114600000.0,3349749000000.0,3411025000000.0,3557162500000.0,3303211800000.0,3155676400000.0,3104206700000.0,3650702300000.0,3634747000000.0,3294170400000.0,3177123200000.0,3316218900000.0,3529874900000.0,3195597000000.0,3541759200000.0,3245944000000.0,3573156400000.0,3422393500000.0
2061.0,3736199800000.0,2947159200000.0,3297351000000.0,3387818200000.0,3526073500000.0,3250349700000.0,3105552900000.0,3065275500000.0,3628089000000.0,3607436200000.0,3251773600000.0,3135701300000.0,3271715000000.0,3508441200000.0,3156026000000.0,3528636200000.0,3193460000000.0,3555526400000.0,3389764700000.0
2062.0,3711536500000.0,2897513000000.0,3274926200000.0,3367325700000.0,3511897300000.0,3190472600000.0,3062347300000.0,3029515000000.0,3598469600000.0,3574008000000.0,3210890400000.0,3095305000000.0,3228132400000.0,3458284000000.0,3098286200000.0,3490501000000.0,3142493000000.0,3513062300000.0,3342463000000.0
2063.0,3674518800000.0,2859281400000.0,3232994200000.0,3347840000000.0,3486292000000.0,3131564400000.0,3034204300000.0,2989148300000.0,3564153900000.0,3544171200000.0,3177312700000.0,3045081500000.0,3184886000000.0,3427198600000.0,3048854300000.0,3456409800000.0,3094162200000.0,3451528000000.0,3314151000000.0
2064.0,3646641700000.0,2827385300000.0,3200432500000.0,3325675700000.0,3460137700000.0,3070015300000.0,3008220400000.0,2951161000000.0,3540217000000.0,3521270000000.0,3123712600000.0,3009832000000.0,3153855500000.0,3389438800000.0,3006032500000.0,3432133400000.0,3034256800000.0,3408698800000.0,3292715000000.0
2065.0,3628471200000.0,2783320700000.0,3160426000000.0,3294010000000.0,3429473700000.0,3047591200000.0,2968116300000.0,2925201500000.0,3509830000000.0,3499075000000.0,3076165700000.0,2968606200000.0,3106283000000.0,3349454000000.0,2944256400000.0,3410654400000.0,2994778700000.0,3364850200000.0,3273209000000.0
2066.0,3600398700000.0,2738434000000.0,3129082400000.0,3269413300000.0,3369172700000.0,2997082400000.0,2933135200000.0,2865196400000.0,3487228800000.0,3474271800000.0,3055667600000.0,2936544400000.0,3063523300000.0,3309059000000.0,2897915200000.0,3381913700000.0,2920333700000.0,3351198000000.0,3254698600000.0
