time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2054.0,1865905100000.0,1686704800000.0,2053489000000.0,2180263700000.0,1860489700000.0,2040664400000.0,2299750000000.0,1923229300000.0,1882665300000.0,2118184900000.0,2174428500000.0,1982005800000.0,2067389100000.0
2055.0,1832697900000.0,1645342900000.0,2003507600000.0,2146973300000.0,1825811900000.0,1992459600000.0,2251392500000.0,1889685500000.0,1854415800000.0,2068342000000.0,2176939900000.0,1946009500000.0,2019373500000.0
2056.0,1790177700000.0,1601497200000.0,1970187400000.0,2131120100000.0,1780716400000.0,1948684100000.0,2212783200000.0,1858830700000.0,1822230000000.0,2036066400000.0,2139029100000.0,1886205200000.0,1981167400000.0
2057.0,1747327500000.0,1550414500000.0,1918867000000.0,2097406500000.0,1727517300000.0,1921581800000.0,2188017100000.0,1821920200000.0,1787585100000.0,2001381500000.0,2102329900000.0,1853104700000.0,1956935900000.0
2058.0,1712295800000.0,1512736200000.0,1865506500000.0,2052578600000.0,1683242600000.0,1886231000000.0,2139726000000.0,1796189000000.0,1753919700000.0,1974501500000.0,2067590400000.0,1807213400000.0,1922082900000.0
2059.0,1671685700000.0,1485996300000.0,1826660300000.0,2008439700000.0,1643348500000.0,1837261500000.0,2113900900000.0,1760439200000.0,1736193300000.0,1931062500000.0,2039436400000.0,1762700400000.0,1877635900000.0
2060.0,1639685400000.0,1439379100000.0,1798117300000.0,1966317600000.0,1600208500000.0,1786931400000.0,2097036000000.0,1718852400000.0,1699619300000.0,1877669700000.0,2009580200000.0,1703896500000.0,1838789600000.0
2061.0,1599104000000.0,1405449500000.0,1756780000000.0,1922339300000.0,1561095300000.0,1771359800000.0,2064022800000.0,1666913700000.0,1668612500000.0,1842676500000.0,1976708500000.0,1666132500000.0,1788220000000.0
2062.0,1571820800000.0,1375922000000.0,1726966300000.0,1877107700000.0,1530991300000.0,1730740200000.0,2014326000000.0,1638801000000.0,1628801200000.0,1796426000000.0,1954419700000.0,1620155800000.0,1753009400000.0
2063.0,1544502500000.0,1336502600000.0,1684315800000.0,1836027700000.0,1481233900000.0,1683441500000.0,1970825700000.0,1609065000000.0,1610164000000.0,1777911000000.0,1919578500000.0,1563921600000.0,1715996500000.0
2064.0,1510342300000.0,1292424000000.0,1632785700000.0,1816105000000.0,1439044600000.0,1646277600000.0,1930134000000.0,1573145800000.0,1568804800000.0,1760612000000.0,1881236700000.0,1519074100000.0,1672492200000.0
2065.0,1483046300000.0,1268544600000.0,1582543300000.0,1792048200000.0,1394141300000.0,1618002800000.0,1896058300000.0,1535104300000.0,1534163300000.0,1715651600000.0,1851070100000.0,1474895200000.0,1641219900000.0
2066.0,1447788800000.0,1242214600000.0,1538398900000.0,1771036500000.0,1367699500000.0,1586266600000.0,1853057300000.0,1504935700000.0,1508488200000.0,1675886200000.0,1812206600000.0,1429751000000.0,1606863300000.0
2067.0,1415953600000.0,1209447900000.0,1508321000000.0,1734097600000.0,1339118200000.0,1551473300000.0,1815068800000.0,1483606000000.0,1470705200000.0,1650564500000.0,1774318600000.0,1389652200000.0,1569651200000.0
2068.0,1391485300000.0,1178571400000.0,1472409500000.0,1711482100000.0,1308496900000.0,1524931600000.0,1786591000000.0,1458587000000.0,1439693300000.0,1625836400000.0,1739907300000.0,1342147500000.0,1527360700000.0
2069.0,1364069800000.0,1151016000000.0,1442823100000.0,1701623900000.0,1278087400000.0,1490991400000.0,1751056500000.0,1435886600000.0,1414087700000.0,1595463200000.0,1732350400000.0,1297408500000.0,1494024800000.0
2070.0,1329810800000.0,1121826600000.0,1408498000000.0,1670175100000.0,1242665500000.0,1453059000000.0,1708372700000.0,1408509700000.0,1383252100000.0,1549919500000.0,1706164100000.0,1255015600000.0,1470124400000.0
2071.0,1285538700000.0,1090124600000.0,1376460900000.0,1626801600000.0,1208320100000.0,1425139000000.0,1673145600000.0,1383880000000.0,1351190000000.0,1512408400000.0,1676821300000.0,1210663200000.0,1434934200000.0
