time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2053.0,102899335000.0,100830900000.0,102546600000.0,103169680000.0,104076230000.0,103009780000.0,102931260000.0,102977670000.0,102611526000.0,98146260000.0,103204710000.0,102609170000.0,102070450000.0,96432930000.0
2054.0,102752970000.0,100592710000.0,102425970000.0,102743000000.0,102809750000.0,103216760000.0,102855160000.0,102862840000.0,102534000000.0,97668784000.0,103118864000.0,102464815000.0,101971690000.0,95968470000.0
2055.0,102660810000.0,100385160000.0,102888160000.0,102820860000.0,102672690000.0,102763510000.0,102853430000.0,102823180000.0,102360056000.0,97237840000.0,103065040000.0,102220276000.0,101796050000.0,95867765000.0
2056.0,102619440000.0,100187480000.0,102411354000.0,103067615000.0,102593176000.0,102506520000.0,102820640000.0,102761275000.0,102240970000.0,96812106000.0,102928480000.0,102036560000.0,101645296000.0,95577140000.0
2057.0,102542820000.0,99948320000.0,102268770000.0,102638850000.0,102407004000.0,102364890000.0,102668680000.0,102725460000.0,103345210000.0,96330870000.0,102878090000.0,102018420000.0,101458900000.0,95149990000.0
2058.0,102416250000.0,99680395000.0,102248310000.0,102439610000.0,102201900000.0,102226125000.0,102545010000.0,102601960000.0,102373695000.0,95727575000.0,102839380000.0,101868910000.0,101281730000.0,94700260000.0
2059.0,102324806000.0,99400030000.0,101993350000.0,102267480000.0,102345650000.0,101963790000.0,102483310000.0,102504810000.0,102475100000.0,95232910000.0,102886560000.0,101642625000.0,101207745000.0,94397710000.0
2060.0,102233710000.0,99055256000.0,101824510000.0,102210250000.0,102137530000.0,101805050000.0,102551620000.0,102420590000.0,102285610000.0,94733290000.0,102679010000.0,101537330000.0,100923860000.0,94150770000.0
2061.0,102263860000.0,98843574000.0,101616260000.0,102813590000.0,102468170000.0,101656770000.0,102361900000.0,102352170000.0,101897560000.0,94407344000.0,102717240000.0,101369135000.0,100732410000.0,93621370000.0
2062.0,102197270000.0,98560010000.0,101460970000.0,102968476000.0,101854610000.0,101755190000.0,102177580000.0,102261860000.0,101677020000.0,93949150000.0,102533070000.0,101229660000.0,100566420000.0,93394810000.0
2063.0,101953600000.0,98291840000.0,101454670000.0,102270120000.0,101880070000.0,101425890000.0,102091490000.0,102171410000.0,101521146000.0,93423060000.0,102598990000.0,100993110000.0,100416320000.0,93019620000.0
2064.0,102499115000.0,98068160000.0,101340650000.0,101982710000.0,101884450000.0,101661570000.0,102054360000.0,102057380000.0,101714880000.0,92879420000.0,102402980000.0,100887510000.0,100471890000.0,92670950000.0
2065.0,101972260000.0,97791130000.0,101115490000.0,101851780000.0,101589970000.0,101363590000.0,101927130000.0,102000330000.0,101383660000.0,92307280000.0,102395360000.0,100865384000.0,100882090000.0,92107735000.0
2066.0,101834020000.0,97499790000.0,100988190000.0,101686600000.0,101441990000.0,101159600000.0,101892320000.0,102034740000.0,101225185000.0,91911094000.0,102261555000.0,100486906000.0,100104750000.0,91853180000.0
2067.0,101661940000.0,97195180000.0,100873626000.0,101648740000.0,101512995000.0,100870020000.0,102118200000.0,101790474000.0,101117670000.0,91246190000.0,102331670000.0,100296760000.0,99875480000.0,91337196000.0
2068.0,101557395000.0,96886640000.0,100735010000.0,101732950000.0,101247620000.0,100661110000.0,101928800000.0,101709180000.0,101000190000.0,90727090000.0,102444990000.0,100045650000.0,99664050000.0,90861535000.0
