time,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,CAMS-CSM1-0,MPI-ESM1-2-HR,TAIESM1,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4,CESM2-WACCM,NORESM2-MM,ACCESS-CM2,CESM2,EC-EARTH3,ACCESS-ESM1-5,CANESM5,INM-CM4-8
2055.0,7811328000.0,7739200500.0,7392242700.0,8430441500.0,5771280000.0,9024307000.0,8202710000.0,5581760500.0,7768637000.0,8064314000.0,8216914000.0,7229318000.0,7484962300.0,6200022000.0,6759563000.0,6632362500.0,6441127400.0,5518495000.0,8980066000.0
2056.0,7616415000.0,7578126300.0,7142928000.0,8313860600.0,5548155400.0,8864007000.0,8012885500.0,5420453400.0,7523413500.0,7858076000.0,8019793000.0,6958000000.0,7356724000.0,5950154000.0,6568980500.0,6423175000.0,6264277000.0,5255117300.0,8773383000.0
2057.0,7399090000.0,7390967000.0,6910811600.0,8208160000.0,5387954000.0,8721513000.0,7797458400.0,5167801000.0,7254064600.0,7654121000.0,7857044000.0,6761059000.0,7141241000.0,5734387000.0,6393728500.0,6261696500.0,6039356400.0,5068797000.0,8626887000.0
2058.0,7191210500.0,7188503600.0,6650114600.0,8024291300.0,5186332700.0,8530346500.0,7590148600.0,4969075000.0,7017772500.0,7614815000.0,7714552000.0,6595750400.0,7013327000.0,5542781400.0,6161859000.0,6061317000.0,5864405500.0,4821126000.0,8483669000.0
2059.0,6999340500.0,6976248000.0,6476368400.0,7865337000.0,5177597000.0,8519101400.0,7410578400.0,4771251700.0,6768360000.0,7252584400.0,7436681700.0,6370667500.0,6787322000.0,5356704000.0,5970510300.0,5928822300.0,5666209300.0,4649920500.0,8459605500.0
2060.0,6785564700.0,6821724700.0,6220088300.0,7686541000.0,5039661600.0,8342335500.0,7250031600.0,4562774000.0,6542661600.0,7058545700.0,7201685000.0,6131315700.0,6844911600.0,5105790500.0,5776036000.0,5761648600.0,5540194000.0,4400241000.0,8177211400.0
2061.0,6538200000.0,6629983700.0,6037909500.0,7531756500.0,4854555000.0,8248897000.0,7028114400.0,4385174000.0,6302630400.0,6849051000.0,7030134300.0,5866862600.0,6452312600.0,4949204500.0,5627362300.0,5571413500.0,5342301700.0,4217347800.0,8024762000.0
2062.0,6308999000.0,6409819600.0,5856755000.0,7404982300.0,4717558300.0,8021966000.0,6830705700.0,4238649600.0,6172315000.0,6876626000.0,6782709000.0,5672380000.0,6315124700.0,4789963000.0,5505779000.0,5409387000.0,5161195500.0,4057856800.0,7909317000.0
2063.0,6135551500.0,6194172400.0,5704166000.0,7221755000.0,4586748000.0,7849248000.0,6647049700.0,4079666000.0,5947568000.0,6651186700.0,6595563500.0,5649837600.0,6152923000.0,4631208400.0,5312217000.0,5231881700.0,5028801500.0,3889031200.0,7785277000.0
2064.0,5972083000.0,5951783000.0,5446380000.0,7055035000.0,4651135500.0,7677471000.0,6457787400.0,3917873000.0,5755700000.0,6505214000.0,6428870000.0,5401015000.0,5979075600.0,4447221000.0,5123729000.0,5057863000.0,4866304500.0,3716882400.0,7654193700.0
2065.0,5789249500.0,5742022000.0,5197087000.0,6899021000.0,4346745000.0,7574870500.0,6324192000.0,3753781000.0,5572035000.0,6272637400.0,6195118600.0,5266675700.0,5819986400.0,4320051700.0,4938725400.0,4905486300.0,4735483000.0,3536271600.0,7505725000.0
2066.0,5554963500.0,5531887000.0,4871774000.0,6761974300.0,4230286000.0,7429871000.0,6179631000.0,3651159800.0,5406676500.0,6162049500.0,5996260400.0,5041826000.0,5693358000.0,4159890400.0,4784974000.0,4746539000.0,4620785000.0,3369389300.0,7367784000.0
2067.0,5381709300.0,5326988000.0,4448476000.0,6621849000.0,4121536800.0,7263588000.0,5999917000.0,3453352400.0,5288162300.0,5963492000.0,5817341000.0,4870237000.0,5518904300.0,4023645200.0,4623037400.0,4570150000.0,4428695600.0,3236991000.0,7220742700.0
2068.0,5228643300.0,5154985500.0,4094759200.0,6484360000.0,4046832000.0,7101986300.0,5814649300.0,3323287600.0,5080891400.0,6045639000.0,5602490000.0,4668275000.0,5335013000.0,3883694000.0,4476920300.0,4423571500.0,4313942000.0,3104830500.0,7072585700.0
2069.0,5042949000.0,4914327000.0,3724488200.0,6330736600.0,3922342700.0,6985470000.0,5760050700.0,3217766400.0,4942326300.0,5706555000.0,5410534400.0,4571429000.0,5165618700.0,3841589200.0,4338858500.0,4276247800.0,4164606500.0,2989240000.0,6917745000.0
2070.0,4881073000.0,4713568000.0,3528149000.0,6202045000.0,3808333800.0,6825780000.0,5555562500.0,3106271500.0,4788722700.0,5543679000.0,5233245700.0,4403963000.0,5015454000.0,3664417000.0,4182154200.0,4133119500.0,4033857300.0,2851069400.0,6727973400.0
2071.0,4707953000.0,4590992400.0,3381793000.0,6027670500.0,3720123400.0,6666955300.0,5415645700.0,3029175300.0,4661150700.0,5382651000.0,5056907300.0,4230294800.0,4898788000.0,3545693000.0,4039036400.0,3978760700.0,3886233600.0,2704396500.0,6589044000.0
2072.0,4554067500.0,4413505000.0,3156097300.0,5862869000.0,3592694800.0,6465765000.0,5256916000.0,2916360700.0,4488689000.0,5217826300.0,4930560000.0,4059408400.0,4774283300.0,3418120200.0,3907753200.0,3858189300.0,3749978600.0,2574471400.0,6445226000.0
2073.0,4387787000.0,4212660000.0,2889839400.0,5807997400.0,3522615800.0,6280714000.0,5164610000.0,2799490300.0,4340756000.0,5138044400.0,4696998000.0,3912386000.0,4637511000.0,3329024000.0,3849194800.0,3744447000.0,3630176500.0,2446969000.0,6300007000.0
2074.0,4353678000.0,4039253500.0,2738996200.0,5645390000.0,3402655200.0,6235718000.0,5018510000.0,2705483800.0,4180279800.0,4946147000.0,4547673600.0,3756948500.0,4503900000.0,3197627000.0,3703768600.0,3624568600.0,3497826000.0,2322558200.0,6119134000.0
2075.0,4147033000.0,3881886500.0,2484785400.0,5502715400.0,3301435600.0,6119238700.0,4896740000.0,2611089700.0,3994159000.0,4813691400.0,4368028000.0,3676488200.0,4365515300.0,3084315100.0,3564787200.0,3506953500.0,3382757600.0,2200601300.0,5980368400.0
2076.0,3986518300.0,3803391200.0,2637873200.0,5379885600.0,3227200800.0,6000568300.0,4751065600.0,2521616000.0,3871468300.0,4674383000.0,4199555600.0,3535719700.0,4221576400.0,2947165700.0,3428007200.0,3367778300.0,3262499000.0,2123582600.0,5828011500.0
