time,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2094.0,4588929000000.0,5102567400000.0,3141582200000.0,4316865500000.0,3881121300000.0,3583901200000.0
2095.0,4576870000000.0,5055314000000.0,3090541000000.0,4262365800000.0,3829619800000.0,3526688500000.0
2096.0,4542938000000.0,5004411000000.0,3036382800000.0,4201486700000.0,3786668200000.0,3464854200000.0
2097.0,4502406000000.0,4960518000000.0,2982669000000.0,4137611400000.0,3741022700000.0,3400134000000.0
2098.0,4471084500000.0,4929882000000.0,2939656000000.0,4092328400000.0,3684475300000.0,3334630000000.0
2099.0,4443259500000.0,4893312500000.0,2891416000000.0,4036173000000.0,3636947300000.0,3277386000000.0
2100.0,4422664500000.0,4857741700000.0,2838759200000.0,3986787100000.0,3589611700000.0,3225276000000.0
2101.0,4389469400000.0,4809981700000.0,2792721500000.0,3942590400000.0,3544620700000.0,3177706000000.0
2102.0,4345635500000.0,4778786000000.0,2761555200000.0,3888067400000.0,3492718000000.0,3120913200000.0
2103.0,4328416300000.0,4739262000000.0,2723218200000.0,3839657200000.0,3454584500000.0,3062341000000.0
2104.0,4302420300000.0,4687757600000.0,2698280400000.0,3784500300000.0,3402094000000.0,3002326600000.0
2105.0,4274139200000.0,4659382000000.0,2658624000000.0,3730303400000.0,3350703600000.0,2931620300000.0
2106.0,4244125500000.0,4617547000000.0,2613154200000.0,3669367000000.0,3293615800000.0,2878193800000.0
2107.0,4218064700000.0,4590794700000.0,2576751300000.0,3625688000000.0,3241744300000.0,2834975700000.0
2108.0,4181307000000.0,4555249000000.0,2539384500000.0,3580565700000.0,3189741500000.0,2791600800000.0
2109.0,4146632900000.0,4522029000000.0,2508835000000.0,3528771500000.0,3152302300000.0,2741092700000.0
2110.0,4141717700000.0,4504208500000.0,2485705200000.0,3485532200000.0,3107929200000.0,2694330400000.0
2111.0,4122673700000.0,4473680000000.0,2451199000000.0,3434329100000.0,3066180000000.0,2631716600000.0
2112.0,4100075300000.0,4451359000000.0,2417016000000.0,3392967000000.0,3025135500000.0,2584021300000.0
2113.0,4065019000000.0,4423364400000.0,2381978300000.0,3337444700000.0,2985957800000.0,2545388000000.0
2114.0,4048602500000.0,4391407500000.0,2335875300000.0,3281403500000.0,2934606000000.0,2509082500000.0
2115.0,4020172200000.0,4347310400000.0,2304515800000.0,3244619000000.0,2896336000000.0,2445923800000.0
2116.0,4010802400000.0,4314752000000.0,2272646400000.0,3194588800000.0,2852433200000.0,2405589300000.0
2117.0,3986544000000.0,4278213100000.0,2251493700000.0,3158236700000.0,2804619700000.0,2354261800000.0
2118.0,3969130700000.0,4234614400000.0,2216295400000.0,3121254500000.0,2767868100000.0,2311451800000.0
2119.0,3959668300000.0,4206046200000.0,2183994400000.0,3079631800000.0,2738240600000.0,2257376800000.0
2120.0,3953742000000.0,4170871200000.0,2151995100000.0,3026478700000.0,2693763700000.0,2215763800000.0
2121.0,3946154300000.0,4150435500000.0,2130164300000.0,2978324200000.0,2658035000000.0,2166300500000.0
2122.0,3938206000000.0,4120648400000.0,2103745800000.0,2936607900000.0,2612865300000.0,2116577000000.0
2123.0,3926902200000.0,4092714800000.0,2082424900000.0,2895137500000.0,2564248800000.0,2081366500000.0
2124.0,3912238400000.0,4060529800000.0,2053968900000.0,2844971500000.0,2520668200000.0,2040055100000.0
2125.0,3896435800000.0,4041924100000.0,2026141600000.0,2803227000000.0,2488401000000.0,2000316100000.0
2126.0,3890852700000.0,4009738000000.0,1988856800000.0,2762088600000.0,2456618000000.0,1971315700000.0
2127.0,3888320600000.0,3982077200000.0,1965188400000.0,2725281500000.0,2427565400000.0,1931772800000.0
2128.0,3875116400000.0,3953712000000.0,1935481400000.0,2677560000000.0,2400292400000.0,1895993300000.0
2129.0,3863971000000.0,3933195000000.0,1905067400000.0,2640986800000.0,2369560800000.0,1870075400000.0
2130.0,3847133900000.0,3905609000000.0,1879620800000.0,2598732000000.0,2337671500000.0,1823288500000.0
2131.0,3836460700000.0,3883621400000.0,1850911600000.0,2551682700000.0,2310191200000.0,1789506000000.0
2132.0,3817079300000.0,3862149700000.0,1826139300000.0,2519209300000.0,2268023200000.0,1759361500000.0
2133.0,3812747400000.0,3837109500000.0,1785762200000.0,2480800800000.0,2228261500000.0,1728770600000.0
2134.0,3796928800000.0,3815584300000.0,1755182700000.0,2449843400000.0,2200839700000.0,1700285100000.0
2135.0,3784177600000.0,3785866000000.0,1719099500000.0,2412797200000.0,2163888100000.0,1666624500000.0
2136.0,3775241700000.0,3758170000000.0,1694195400000.0,2380906000000.0,2121805000000.0,1637149800000.0
2137.0,3759463000000.0,3722100600000.0,1663025500000.0,2350812800000.0,2087811400000.0,1610209800000.0
2138.0,3760369700000.0,3700652200000.0,1643020600000.0,2325207300000.0,2054500900000.0,1574570600000.0
2139.0,3752657200000.0,3664417400000.0,1619729400000.0,2291393400000.0,2015264000000.0,1546021500000.0
2140.0,3745994200000.0,3629021100000.0,1585780000000.0,2267279300000.0,1982083200000.0,1519080700000.0
2141.0,3735613600000.0,3613018300000.0,1562871100000.0,2240514400000.0,1953851200000.0,1496413400000.0
2142.0,3728557500000.0,3578944600000.0,1543057200000.0,2215378700000.0,1920745900000.0,1470672300000.0
2143.0,3731698700000.0,3557088300000.0,1526838600000.0,2183392000000.0,1884403400000.0,1443471800000.0
2144.0,3721803600000.0,3530974300000.0,1496496100000.0,2147452300000.0,1848836900000.0,1411525600000.0
2145.0,3715616500000.0,3504547800000.0,1470708400000.0,2119972400000.0,1817154000000.0,1386442500000.0
2146.0,3707018100000.0,3481611300000.0,1446802000000.0,2088044700000.0,1790814300000.0,1362554400000.0
2147.0,3704084800000.0,3450367400000.0,1424597600000.0,2059988200000.0,1767051500000.0,1334274600000.0
2148.0,3708040500000.0,3419180000000.0,1405208900000.0,2029084700000.0,1735560100000.0,1315876600000.0
2149.0,3701672200000.0,3400225800000.0,1380601200000.0,2000567100000.0,1703345700000.0,1293830300000.0
2150.0,3702677600000.0,3367422100000.0,1361900000000.0,1972746300000.0,1672763000000.0,1273999000000.0
2151.0,3694644400000.0,3348625000000.0,1340567800000.0,1945866900000.0,1646641000000.0,1257959200000.0
2152.0,3694458600000.0,3325203600000.0,1323820100000.0,1912890500000.0,1621200200000.0,1242513000000.0
2153.0,3694121500000.0,3302092000000.0,1298540500000.0,1886050500000.0,1601419200000.0,1221345000000.0
2154.0,3693082800000.0,3270292300000.0,1279264000000.0,1855881100000.0,1579990800000.0,1201188800000.0
2155.0,3692304500000.0,3249243000000.0,1257389600000.0,1831025500000.0,1555037300000.0,1181461900000.0
2156.0,3710149000000.0,3221149000000.0,1244717000000.0,1794001000000.0,1537518000000.0,1160974300000.0
2157.0,3724680000000.0,3194890200000.0,1225107600000.0,1772626200000.0,1510932600000.0,1138737300000.0
2158.0,3722110800000.0,3181557300000.0,1204201700000.0,1746087700000.0,1487648200000.0,1121871200000.0
2159.0,3724827200000.0,3156547000000.0,1179647700000.0,1727825300000.0,1468240200000.0,1108125300000.0
2160.0,3728174000000.0,3141468000000.0,1167373400000.0,1703960200000.0,1443459500000.0,1098811700000.0
2161.0,3738934200000.0,3121388200000.0,1151189500000.0,1682605600000.0,1418579100000.0,1083112800000.0
2162.0,3747007400000.0,3105146800000.0,1135238400000.0,1661151500000.0,1400365100000.0,1067477570000.0
2163.0,3768293000000.0,3085963400000.0,1120594300000.0,1641343900000.0,1382013300000.0,1059426600000.0
2164.0,3779876400000.0,3062886000000.0,1107382900000.0,1623557300000.0,1360823200000.0,1045309300000.0
2165.0,3797595700000.0,3030132700000.0,1089665600000.0,1601728200000.0,1340992100000.0,1032923640000.0
2166.0,3816976800000.0,3012063100000.0,1076055400000.0,1582336200000.0,1320964500000.0,1017081700000.0
2167.0,3814164500000.0,2985503000000.0,1060379030000.0,1560748400000.0,1298876200000.0,1005555700000.0
2168.0,3828509800000.0,2951074300000.0,1045051800000.0,1535253500000.0,1278668400000.0,993310400000.0
2169.0,3830572000000.0,2921947200000.0,1025344730000.0,1514503500000.0,1259644300000.0,981127270000.0
2170.0,3846094200000.0,2897365200000.0,1013811300000.0,1488830100000.0,1240768800000.0,965830900000.0
2171.0,3857731000000.0,2871888700000.0,1002326300000.0,1466475000000.0,1223361800000.0,954354400000.0
2172.0,3863934400000.0,2849283000000.0,986284750000.0,1443653100000.0,1202814200000.0,941458200000.0
2173.0,3866871500000.0,2822478500000.0,968230600000.0,1424565200000.0,1184107900000.0,929886630000.0
2174.0,3871258700000.0,2781438300000.0,953014500000.0,1408217300000.0,1166377900000.0,920508700000.0
2175.0,3865788000000.0,2754333000000.0,943389500000.0,1385238400000.0,1150923000000.0,913762750000.0
2176.0,3880261500000.0,2730634200000.0,930192400000.0,1365699000000.0,1134066800000.0,903611400000.0
2177.0,3874985600000.0,2705244300000.0,919412100000.0,1341502400000.0,1118431200000.0,892957750000.0
2178.0,3879440500000.0,2676272700000.0,902078140000.0,1324007200000.0,1106473300000.0,884459200000.0
2179.0,3875512800000.0,2647649400000.0,888510150000.0,1307834200000.0,1088784560000.0,876684440000.0
2180.0,3876153500000.0,2628233700000.0,877518000000.0,1294403400000.0,1081591200000.0,864150550000.0
2181.0,3874893900000.0,2596903800000.0,869312900000.0,1274716400000.0,1067476450000.0,856297400000.0
2182.0,3882880300000.0,2565411000000.0,857154400000.0,1259003800000.0,1053721760000.0,849960400000.0
2183.0,3882473800000.0,2546566400000.0,844150600000.0,1248502600000.0,1046839500000.0,842560240000.0
2184.0,3887268400000.0,2526070700000.0,835137100000.0,1235711000000.0,1034237700000.0,838035200000.0
2185.0,3887715800000.0,2508608200000.0,826122300000.0,1219198500000.0,1020944250000.0,825815400000.0
2186.0,3892157300000.0,2484319300000.0,809202350000.0,1201590000000.0,1010040240000.0,822052060000.0
2187.0,3904609000000.0,2461631000000.0,799649040000.0,1185647600000.0,996056100000.0,815150140000.0
2188.0,3913605200000.0,2435350500000.0,783811940000.0,1174520700000.0,989675000000.0,808187000000.0
2189.0,3915930100000.0,2424097000000.0,774004100000.0,1160834800000.0,973624600000.0,799938300000.0
2190.0,3925160500000.0,2407420000000.0,766260150000.0,1149407900000.0,960530940000.0,793582960000.0
2191.0,3926548000000.0,2389354200000.0,754965500000.0,1134951400000.0,948169340000.0,787545100000.0
2192.0,3930087800000.0,2381029600000.0,748251200000.0,1118372900000.0,936320200000.0,782007100000.0
2193.0,3935458600000.0,2367585500000.0,741271700000.0,1105244000000.0,928149300000.0,774823600000.0
2194.0,3945545600000.0,2355109800000.0,733813540000.0,1092773200000.0,917392260000.0,770934830000.0
2195.0,3952482000000.0,2329217300000.0,721795740000.0,1078501600000.0,906214900000.0,767277140000.0
2196.0,3959454700000.0,2312321000000.0,711855300000.0,1060088250000.0,892497800000.0,763473900000.0
2197.0,3956882500000.0,2296211800000.0,701713150000.0,1047615440000.0,881094750000.0,758410640000.0
2198.0,3964296800000.0,2284612500000.0,692087300000.0,1033834100000.0,866951800000.0,749854500000.0
2199.0,3966497500000.0,2270528500000.0,683313200000.0,1019609940000.0,854919150000.0,743346200000.0
2200.0,3970965400000.0,2253225500000.0,673939700000.0,1005347900000.0,844377160000.0,740580100000.0
2201.0,3974413200000.0,2238534600000.0,666026300000.0,989314350000.0,837163940000.0,740829500000.0
2202.0,3985952500000.0,2217358700000.0,658150600000.0,968895900000.0,827675300000.0,734611600000.0
2203.0,3992819900000.0,2197614500000.0,649415950000.0,954776300000.0,819512700000.0,727033640000.0
2204.0,4002205700000.0,2180092700000.0,640128060000.0,941351900000.0,810218300000.0,721214100000.0
2205.0,4009703500000.0,2160945400000.0,632812000000.0,932056000000.0,802884400000.0,717907100000.0
2206.0,4016458700000.0,2143010000000.0,624600350000.0,922959000000.0,792808900000.0,713610100000.0
2207.0,4027516700000.0,2124451000000.0,616924300000.0,910842600000.0,784638740000.0,707375500000.0
2208.0,4035269600000.0,2110491900000.0,606918930000.0,896986250000.0,777573400000.0,704881500000.0
2209.0,4054745400000.0,2089913400000.0,596625460000.0,884106660000.0,771843200000.0,702505700000.0
2210.0,4064842000000.0,2078947100000.0,590896000000.0,871236440000.0,766417900000.0,698068960000.0
2211.0,4071658400000.0,2067140300000.0,582953900000.0,858059400000.0,759689200000.0,694204560000.0
2212.0,4083180600000.0,2047886800000.0,575320360000.0,849424740000.0,751432040000.0,690058100000.0
2213.0,4095015600000.0,2037933100000.0,565706000000.0,837830250000.0,745119700000.0,685694200000.0
2214.0,4101343800000.0,2024031500000.0,554527500000.0,823396340000.0,736776550000.0,681152740000.0
2215.0,4108595500000.0,2014115400000.0,550951850000.0,814322700000.0,729221230000.0,676996250000.0
