time,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R,CCSM4,CNRM-CM5,CANESM2,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G
2090.0,1143758300.0,505558800.0,293715000.0,7410186000.0,3186894300.0,4843917000.0,669013600.0,2470503200.0,2550045200.0,5900710400.0
2091.0,1098874500.0,482742500.0,266199780.0,7195391500.0,3064236500.0,4560058000.0,620334850.0,2126352900.0,2434905600.0,5590520000.0
2092.0,1000116030.0,454162000.0,265629070.0,6829346300.0,2777863200.0,4268200000.0,573221440.0,2061397900.0,2181325600.0,5113600500.0
2093.0,965343740.0,429011520.0,221519200.0,6277832700.0,2602141200.0,3913487400.0,522750100.0,1822661200.0,2042689900.0,5031947300.0
2094.0,915377150.0,416558850.0,223188780.0,5808704000.0,2249796600.0,3605371400.0,426776860.0,1754923100.0,1846643000.0,4508666000.0
2095.0,910361860.0,367265100.0,203750000.0,5661597000.0,2071014300.0,3544215000.0,357859200.0,1674660500.0,1744212900.0,4072149800.0
2096.0,818529400.0,339954270.0,197690830.0,5557327000.0,1993409200.0,3334428700.0,339222620.0,1653696600.0,1634985000.0,3710102300.0
2097.0,751177800.0,325851740.0,192426960.0,5718416400.0,1860814200.0,3191338800.0,310795300.0,1571014000.0,1601368200.0,3306858200.0
2098.0,740908160.0,287390370.0,186386740.0,5559649300.0,1777086000.0,3117330200.0,282357700.0,1452613100.0,1539657500.0,2967835600.0
2099.0,719660700.0,248221360.0,178922000.0,5589722000.0,1783856100.0,2946349800.0,239682660.0,1325926800.0,1433242900.0,2662622700.0
2100.0,685297860.0,225768430.0,163865460.0,5161017000.0,1751365400.0,2721240800.0,230399070.0,1318721900.0,1403797400.0,2380309000.0
