time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2237.0,2103303700.0,1761223.2,1614362100.0
2238.0,2101610400.0,1760570.9,1549091300.0
2239.0,2217162200.0,1744938.8,1510633900.0
2240.0,2075119000.0,1743438.9,1457555500.0
2241.0,2035964200.0,1744660.8,1420824800.0
2242.0,2056544900.0,1705414.4,1347211000.0
2243.0,1980412400.0,1704785.4,1241658500.0
2244.0,1957125100.0,1700126.0,1142091600.0
2245.0,1952478200.0,1697399.9,1063744200.0
2246.0,1942869400.0,1697344.5,1042674100.0
2247.0,2061932400.0,1698179.4,992694140.0
2248.0,1896386400.0,1699088.4,954912640.0
2249.0,1945690200.0,1693109.5,838646600.0
2250.0,1887432300.0,1691413.4,795543740.0
2251.0,1878996400.0,1685741.2,764748000.0
2252.0,1872162200.0,1685994.5,490852000.0
2253.0,1843357600.0,1686848.1,453574000.0
2254.0,1831165200.0,1685205.2,421416400.0
2255.0,1830601700.0,1682681.1,385478100.0
2256.0,1880075400.0,1672998.5,362812900.0
2257.0,1851293300.0,1673539.6,354790900.0
2258.0,1962778100.0,1675806.5,331487520.0
2259.0,1822577300.0,1672420.4,295886700.0
2260.0,1810737300.0,1673036.6,262392060.0
2261.0,1779871600.0,1671650.0,269145060.0
2262.0,1786590000.0,1673034.8,229240860.0
2263.0,1819277300.0,1667603.0,211475580.0
2264.0,1741927600.0,1665651.1,208539600.0
2265.0,1845631600.0,1666588.0,195699700.0
2266.0,1736649300.0,1665710.4,174893820.0
2267.0,1737916800.0,1668684.4,172623220.0
2268.0,1712567000.0,1665288.6,153637550.0
2269.0,1826282100.0,1670710.2,153124880.0
2270.0,1725322200.0,1664386.8,145493040.0
2271.0,1701473700.0,1660573.5,137904800.0
2272.0,1693830500.0,1656197.0,142341580.0
2273.0,1807024000.0,1656692.8,116695590.0
2274.0,1680278700.0,1657196.9,114388936.0
2275.0,1636761100.0,1660742.4,104130080.0
2276.0,1621886600.0,1657150.2,95414190.0
2277.0,1647085200.0,1654859.0,88274104.0
2278.0,1786724100.0,1654663.4,103354490.0
2279.0,1652526600.0,1650788.0,87573850.0
2280.0,1826496000.0,1651975.2,88141704.0
2281.0,1710859000.0,1653177.0,78236510.0
2282.0,1624995800.0,1652518.0,75912960.0
2283.0,1600490900.0,1650000.5,72960990.0
2284.0,1632337400.0,1650106.2,70071256.0
2285.0,1597560600.0,1650168.2,65431980.0
2286.0,1600700000.0,1647925.5,64880772.0
2287.0,1553128800.0,1645973.5,56872084.0
2288.0,1550188000.0,1641886.1,50491716.0
2289.0,1528165400.0,1638426.8,52998904.0
2290.0,1529830900.0,1637948.0,47479228.0
2291.0,1515758200.0,1629201.8,55350750.0
2292.0,1597684600.0,1627510.2,55999412.0
2293.0,1476846200.0,1619429.5,48387216.0
2294.0,1477626400.0,1620140.0,49499130.0
2295.0,1467800600.0,1616479.4,44315524.0
2296.0,1445343400.0,1616294.6,46937860.0
2297.0,1438980900.0,1613773.5,43142204.0
2298.0,1459545600.0,1613047.2,40769028.0
2299.0,1485361800.0,1611422.5,44569820.0
2300.0,1416067300.0,1609203.2,42750336.0
