time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2060.0,44263077000000.0,40292716000000.0,40903016000000.0,42275850000000.0,37723020000000.0,37724060000000.0,36850230000000.0,41557740000000.0,40114328000000.0,39798990000000.0
2061.0,44246400000000.0,40117054000000.0,40759870000000.0,42130000000000.0,37465012000000.0,37475293000000.0,36545090000000.0,41448150000000.0,39891266000000.0,39623750000000.0
2062.0,44201446000000.0,39910540000000.0,40630013000000.0,42042613000000.0,37140120000000.0,36971650000000.0,36199524000000.0,41291207000000.0,39702270000000.0,39308190000000.0
2063.0,44191510000000.0,39796170000000.0,40378497000000.0,41932850000000.0,36857610000000.0,36694275000000.0,35891314000000.0,41096793000000.0,39456493000000.0,39103387000000.0
2064.0,44023184000000.0,39575016000000.0,40206527000000.0,41838128000000.0,36531645000000.0,36347436000000.0,35440803000000.0,40934420000000.0,39268000000000.0,38857425000000.0
2065.0,43978104000000.0,39346183000000.0,40080410000000.0,41732330000000.0,36293790000000.0,36016260000000.0,35199010000000.0,40850768000000.0,38912000000000.0,38638250000000.0
2066.0,44044720000000.0,39135620000000.0,39979066000000.0,41527254000000.0,35973150000000.0,35689396000000.0,34844168000000.0,40667758000000.0,38541120000000.0,38396563000000.0
2067.0,44070076000000.0,39001285000000.0,39782860000000.0,41418380000000.0,35685120000000.0,35221080000000.0,34408180000000.0,40532068000000.0,38145345000000.0,38241487000000.0
2068.0,43875260000000.0,38859370000000.0,39600043000000.0,41328923000000.0,35397220000000.0,34809517000000.0,33964008000000.0,40420784000000.0,37913966000000.0,37923626000000.0
2069.0,43792363000000.0,38708200000000.0,39316567000000.0,41231787000000.0,35101493000000.0,34352684000000.0,33393840000000.0,40282704000000.0,37699260000000.0,37557417000000.0
2070.0,43782226000000.0,38563850000000.0,39117237000000.0,41154997000000.0,34729533000000.0,33990319000000.0,32844557000000.0,40202177000000.0,37489436000000.0,37276873000000.0
2071.0,43688588000000.0,38419636000000.0,38937804000000.0,41074337000000.0,34343945000000.0,33490079000000.0,32426108000000.0,40154186000000.0,37281430000000.0,36977780000000.0
2072.0,43551962000000.0,38264593000000.0,38721483000000.0,40997954000000.0,33925450000000.0,33189978000000.0,32008015000000.0,40031977000000.0,36990000000000.0,36714014000000.0
2073.0,43461307000000.0,38113775000000.0,38561520000000.0,40851586000000.0,33669748000000.0,32843816000000.0,31579143000000.0,39792532000000.0,36699917000000.0,36372330000000.0
2074.0,43355765000000.0,37873856000000.0,38410890000000.0,40634170000000.0,33293922000000.0,32528740000000.0,31216722000000.0,39544300000000.0,36439890000000.0,36031353000000.0
2075.0,43264070000000.0,37652686000000.0,38249804000000.0,40471015000000.0,32973697000000.0,32142914000000.0,30954224000000.0,39352143000000.0,36237734000000.0,35559610000000.0
2076.0,43089582000000.0,37399938000000.0,38093710000000.0,40269135000000.0,32494838000000.0,31706776000000.0,30628928000000.0,39234023000000.0,35977170000000.0,35256450000000.0
2077.0,42885697000000.0,37198700000000.0,37875152000000.0,40109580000000.0,32069218000000.0,31226660000000.0,30156900000000.0,39102087000000.0,35701958000000.0,34940062000000.0
2078.0,42771012000000.0,36874220000000.0,37696620000000.0,40002117000000.0,31686847000000.0,30812850000000.0,29734342000000.0,38871940000000.0,35358500000000.0,34596081000000.0
2079.0,42651873000000.0,36619000000000.0,37474020000000.0,39919030000000.0,31266120000000.0,30474196000000.0,29206342000000.0,38637438000000.0,35073546000000.0,34298776000000.0
2080.0,42559204000000.0,36328080000000.0,37192483000000.0,39625725000000.0,30673839000000.0,29965335000000.0,28736519000000.0,38442604000000.0,34776027000000.0,33956920000000.0
2081.0,42422726000000.0,36083600000000.0,36945740000000.0,39400507000000.0,30256270000000.0,29483113000000.0,28277173000000.0,38206913000000.0,34501923000000.0,33583173000000.0
2082.0,42263200000000.0,35915050000000.0,36662323000000.0,39215887000000.0,29725820000000.0,28980818000000.0,27829035000000.0,37987346000000.0,34237237000000.0,33256183000000.0
2083.0,42123600000000.0,35730260000000.0,36300573000000.0,39026027000000.0,29163793000000.0,28498850000000.0,27289930000000.0,37766746000000.0,33978140000000.0,32929992000000.0
2084.0,41943920000000.0,35433426000000.0,36019470000000.0,38803113000000.0,28457065000000.0,28029693000000.0,26733615000000.0,37555412000000.0,33573357000000.0,32477022000000.0
2085.0,41791020000000.0,35103080000000.0,35647662000000.0,38599460000000.0,27841972000000.0,27526573000000.0,26105180000000.0,37412290000000.0,33158802000000.0,32059855000000.0
2086.0,41577267000000.0,34732350000000.0,35420140000000.0,38472337000000.0,27373695000000.0,27048769000000.0,25614480000000.0,37311070000000.0,32728190000000.0,31575211000000.0
2087.0,41342690000000.0,34413197000000.0,35018288000000.0,38284900000000.0,26807544000000.0,26627545000000.0,25096738000000.0,37164365000000.0,32503994000000.0,31102478000000.0
2088.0,41135910000000.0,34081092000000.0,34693924000000.0,38096184000000.0,26352380000000.0,25980062000000.0,24593730000000.0,36959448000000.0,32208018000000.0,30622957000000.0
2089.0,40957467000000.0,33699987000000.0,34295473000000.0,37818190000000.0,25677156000000.0,25408657000000.0,24110705000000.0,36779705000000.0,31865110000000.0,30252350000000.0
2090.0,40811102000000.0,33352105000000.0,33994173000000.0,37599935000000.0,25221596000000.0,24789836000000.0,23550033000000.0,36639020000000.0,31498114000000.0,29811718000000.0
