time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2055.0,2515439700000.0,2851293400000.0,2771815800000.0,2832451000000.0,2935380800000.0,2716297900000.0,2836039700000.0,2826679600000.0,2954979700000.0,2611801000000.0,3367013700000.0,3209910800000.0,3043908000000.0,2972809700000.0
2056.0,2476960600000.0,2829961700000.0,2746451500000.0,2804317400000.0,2914455700000.0,2702102500000.0,2819944300000.0,2776008000000.0,2940334200000.0,2590009000000.0,3366492000000.0,3181319800000.0,3021595500000.0,2966506400000.0
2057.0,2433916900000.0,2805877700000.0,2728590000000.0,2793521000000.0,2897844600000.0,2687071700000.0,2787841400000.0,2742574600000.0,2920076800000.0,2575365800000.0,3355834300000.0,3152183300000.0,3004374500000.0,2953427600000.0
2058.0,2403881700000.0,2783711600000.0,2715910400000.0,2778270300000.0,2876224300000.0,2674101800000.0,2762730400000.0,2700390200000.0,2894146300000.0,2543620700000.0,3357978400000.0,3128153000000.0,2992006000000.0,2943495200000.0
2059.0,2361977200000.0,2754263400000.0,2702162300000.0,2763399600000.0,2853292000000.0,2650581200000.0,2728685200000.0,2646334500000.0,2887589600000.0,2517487300000.0,3344996800000.0,3111053400000.0,2981208000000.0,2926749700000.0
2060.0,2332266000000.0,2731576100000.0,2689470800000.0,2748905700000.0,2827206800000.0,2626265300000.0,2700301600000.0,2612206800000.0,2863721600000.0,2490960000000.0,3336421800000.0,3089792200000.0,2971181800000.0,2906162000000.0
2061.0,2302250600000.0,2713721800000.0,2678285100000.0,2730138000000.0,2800600700000.0,2606797700000.0,2673060300000.0,2584293700000.0,2839721300000.0,2470482500000.0,3333840000000.0,3064001200000.0,2957166500000.0,2887154100000.0
2062.0,2267887400000.0,2694812300000.0,2667915200000.0,2710436600000.0,2766215600000.0,2588688300000.0,2653933000000.0,2545446300000.0,2814631700000.0,2447120500000.0,3330266400000.0,3042303300000.0,2945224800000.0,2872774000000.0
2063.0,2229427200000.0,2673000600000.0,2649287800000.0,2695494600000.0,2742559200000.0,2569995800000.0,2635326600000.0,2504374400000.0,2795524000000.0,2421696200000.0,3313219000000.0,3016408000000.0,2923775700000.0,2862125400000.0
2064.0,2195980000000.0,2651757700000.0,2628318000000.0,2680034700000.0,2720391000000.0,2547017300000.0,2616871400000.0,2470921000000.0,2783631600000.0,2391332600000.0,3307645700000.0,2991113400000.0,2910796000000.0,2836700900000.0
2065.0,2156605200000.0,2628481400000.0,2608760000000.0,2666809000000.0,2703615300000.0,2526853000000.0,2600288400000.0,2425888400000.0,2766600100000.0,2377642100000.0,3291485800000.0,2968998600000.0,2899340400000.0,2801053000000.0
2066.0,2126203600000.0,2609916000000.0,2583709400000.0,2650874600000.0,2680078000000.0,2508551600000.0,2576986700000.0,2382962400000.0,2753450700000.0,2365787500000.0,3289635000000.0,2942573200000.0,2885387300000.0,2793606700000.0
2067.0,2081884700000.0,2596913300000.0,2571803800000.0,2626828000000.0,2657177600000.0,2491792800000.0,2543832500000.0,2348075700000.0,2731549700000.0,2342135500000.0,3283462400000.0,2923763600000.0,2874429000000.0,2775503000000.0
2068.0,2049269000000.0,2580395300000.0,2560677400000.0,2591960000000.0,2639277000000.0,2468932500000.0,2518512600000.0,2312535300000.0,2694159000000.0,2315171100000.0,3264609800000.0,2905873800000.0,2857200000000.0,2760982400000.0
2069.0,2021018600000.0,2560105400000.0,2539140400000.0,2568652600000.0,2619354400000.0,2458813700000.0,2492671700000.0,2273851000000.0,2664545600000.0,2296991000000.0,3237001600000.0,2888591500000.0,2839086000000.0,2756037000000.0
