time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2157.0,18314230000.0,21285940000.0,26572302000.0,19399432000.0,19315096000.0,11443319000.0
2158.0,18406492000.0,21165013000.0,27193910000.0,19513910000.0,19125094000.0,11307864000.0
2159.0,18470920000.0,21601888000.0,27675445000.0,19313545000.0,19449473000.0,11778454000.0
2160.0,18761927000.0,21900570000.0,27679525000.0,20097642000.0,19316677000.0,12277182000.0
2161.0,18902930000.0,22938214000.0,28137066000.0,19710202000.0,19274807000.0,12033098000.0
2162.0,19363664000.0,23408136000.0,27553740000.0,19672857000.0,19627330000.0,11878545000.0
2163.0,19471374000.0,23780250000.0,27573842000.0,19810066000.0,19850285000.0,12000935000.0
2164.0,20336880000.0,23241431000.0,27913484000.0,19977169000.0,20101638000.0,11856647000.0
2165.0,20057977000.0,23768967000.0,28679393000.0,20183670000.0,19838847000.0,11870182000.0
2166.0,20076495000.0,24930343000.0,29287047000.0,20846991000.0,19866614000.0,11841023000.0
2167.0,20115055000.0,25821706000.0,30102487000.0,21248524000.0,19745876000.0,11979192000.0
2168.0,20401314000.0,26951008000.0,30551206000.0,21354422000.0,19463810000.0,12264392000.0
2169.0,20854490000.0,26984700000.0,31167830000.0,21744329000.0,19392140000.0,11932646000.0
2170.0,21072198000.0,26821853000.0,31706530000.0,21853114000.0,19572906000.0,11938371000.0
2171.0,21191459000.0,26832940000.0,31740279000.0,22014460000.0,19703394000.0,11325758000.0
2172.0,21340631000.0,26506848000.0,31669197000.0,21997414000.0,19751426000.0,11285244000.0
2173.0,21675088000.0,26976303000.0,32012225000.0,21768856000.0,19862469000.0,10733445000.0
2174.0,22406240000.0,26466150000.0,32134060000.0,22087510000.0,19855702000.0,10928894000.0
2175.0,22776205000.0,26243906000.0,32510070000.0,22466884000.0,20545755000.0,10910999000.0
2176.0,22180723000.0,25500508000.0,33177643000.0,21909520000.0,20459348000.0,10836586000.0
2177.0,22140666000.0,25676814000.0,32380783000.0,21767342000.0,20538327000.0,10817801000.0
2178.0,22173635000.0,25306477000.0,32491050000.0,22336344000.0,20725062000.0,11022876000.0
2179.0,22054197000.0,24964067000.0,32037702000.0,22418977000.0,20636117000.0,11245184000.0
2180.0,21166811000.0,24771097000.0,32224098000.0,22489377000.0,20552217000.0,11119935000.0
2181.0,21668549000.0,24864311000.0,31070444000.0,22210126000.0,20665463000.0,11445863000.0
2182.0,21717406000.0,24532204000.0,31677923000.0,22139689000.0,20557832000.0,11528915000.0
2183.0,21162244000.0,23847053000.0,32652456000.0,21744420000.0,20574196000.0,11886722000.0
2184.0,21375746000.0,23362140000.0,32549474000.0,22010771000.0,20323391000.0,11787919000.0
2185.0,21501295000.0,24506870000.0,33105035000.0,22051631000.0,20374043000.0,11756104000.0
2186.0,21334553000.0,23967640000.0,32841718000.0,21702402000.0,20492351000.0,11843194000.0
2187.0,21511088000.0,24475689000.0,33599304000.0,21277360000.0,20453763000.0,11952711000.0
2188.0,21836726000.0,25018030000.0,33428992000.0,21084840000.0,20960575000.0,11763186000.0
2189.0,22203085000.0,25768110000.0,33654942000.0,20731402000.0,21131536000.0,11863454000.0
2190.0,21816359000.0,26300066000.0,33819152000.0,20974703000.0,21208748000.0,11847686000.0
2191.0,21913784000.0,26217546000.0,33449015000.0,21109627000.0,21211324000.0,11826354000.0
2192.0,21803640000.0,25424350000.0,34269784000.0,21140430000.0,20972618000.0,11677574000.0
2193.0,21304869000.0,25899740000.0,33790826000.0,21436620000.0,20597967000.0,11686797000.0
2194.0,21061437000.0,25805922000.0,34038893000.0,21517894000.0,20392659000.0,11852885000.0
2195.0,20594637000.0,25678232000.0,33987803000.0,20981880000.0,19700642000.0,11675151000.0
2196.0,20711832000.0,25974206000.0,35007130000.0,20937028000.0,19596239000.0,11682016000.0
2197.0,20414384000.0,26001177000.0,35417600000.0,20578683000.0,20060430000.0,11278340000.0
2198.0,20273807000.0,25773795000.0,36321110000.0,20864193000.0,19396334000.0,10984944000.0
2199.0,20298560000.0,25431654000.0,36759830000.0,20963308000.0,19717202000.0,10937912000.0
2200.0,20402813000.0,25108769000.0,36846998000.0,20846447000.0,19977740000.0,10686516000.0
2201.0,20569983000.0,25076193000.0,37885080000.0,20442597000.0,20023974000.0,10402002000.0
2202.0,20487650000.0,25325740000.0,37769937000.0,20449223000.0,19820986000.0,10204641000.0
2203.0,20721195000.0,25815456000.0,38801170000.0,20068942000.0,19477967000.0,10183124000.0
2204.0,20876814000.0,26395519000.0,38639575000.0,19895468000.0,19400538000.0,10042998000.0
2205.0,21396859000.0,25287186000.0,38607684000.0,20085185000.0,19175230000.0,9825571000.0
2206.0,21741423000.0,24679692000.0,40139800000.0,20484207000.0,18883530000.0,10232467000.0
2207.0,21707780000.0,25079630000.0,40262205000.0,20863121000.0,19059680000.0,10557998000.0
2208.0,22438290000.0,25161261000.0,41044640000.0,20494950000.0,18492905000.0,10425668000.0
2209.0,22862445000.0,24878060000.0,41569680000.0,20790480000.0,18306267000.0,10422092000.0
2210.0,22925582000.0,24884693000.0,41668170000.0,20845175000.0,18318402000.0,10698303000.0
2211.0,23368331000.0,25456134000.0,41889780000.0,21269602000.0,18151604000.0,10457615000.0
2212.0,23662877000.0,25238927000.0,41906733000.0,21107968000.0,18421858000.0,10336012000.0
2213.0,24052924000.0,25638457000.0,42052768000.0,20988654000.0,18232769000.0,9993203000.0
2214.0,23923430000.0,25134983000.0,42337890000.0,21351776000.0,18380080000.0,9840229000.0
2215.0,24424774000.0,25920274000.0,42289398000.0,21233287000.0,18602265000.0,9752658000.0
2216.0,24505272000.0,27675535000.0,42704490000.0,21211460000.0,18613375000.0,9814957000.0
2217.0,25364967000.0,28059150000.0,41971667000.0,21201525000.0,18362477000.0,9786675000.0
2218.0,25115163000.0,28601125000.0,42295894000.0,21136013000.0,18222592000.0,9960776000.0
2219.0,25214167000.0,28154483000.0,42102804000.0,20982530000.0,17765960000.0,9868362000.0
2220.0,25518328000.0,27947743000.0,41764073000.0,20913625000.0,17723107000.0,10025598000.0
2221.0,26165563000.0,28293810000.0,41241952000.0,21074614000.0,17437520000.0,10151302000.0
2222.0,26322184000.0,28959710000.0,40259360000.0,20462127000.0,17313112000.0,10086460000.0
2223.0,27023802000.0,29233610000.0,39559307000.0,20402328000.0,17364100000.0,10460212000.0
2224.0,27704996000.0,29531728000.0,39125352000.0,20154930000.0,17214956000.0,10281840000.0
2225.0,27944750000.0,28728980000.0,39845860000.0,20021672000.0,17235192000.0,10318426000.0
2226.0,28233613000.0,28602036000.0,39589240000.0,20016263000.0,17365387000.0,10325036000.0
2227.0,28284516000.0,28000057000.0,38736495000.0,20926839000.0,17328181000.0,10522284000.0
2228.0,28218647000.0,27425880000.0,38776447000.0,20273453000.0,17431747000.0,10349872000.0
2229.0,28417317000.0,27948202000.0,38401390000.0,20259666000.0,17402573000.0,10531835000.0
2230.0,27825100000.0,28616980000.0,39291200000.0,19830952000.0,17574572000.0,10373311000.0
2231.0,27919055000.0,28810594000.0,38778940000.0,19907062000.0,17389890000.0,10553695000.0
2232.0,27981507000.0,28888711000.0,39618050000.0,19806520000.0,17260702000.0,10382870000.0
2233.0,28158077000.0,28123259000.0,39397650000.0,19974519000.0,17472627000.0,10358012000.0
2234.0,28272410000.0,28273127000.0,39295330000.0,19622030000.0,17635330000.0,10655181000.0
2235.0,28113054000.0,27779290000.0,39520930000.0,19734678000.0,17829685000.0,10741242000.0
2236.0,28297110000.0,27239858000.0,39096990000.0,19331834000.0,17767635000.0,10855537000.0
2237.0,28154427000.0,27524040000.0,39833334000.0,19248980000.0,17692848000.0,10990043000.0
2238.0,27598672000.0,27625160000.0,40429826000.0,18725296000.0,17839088000.0,10725292000.0
2239.0,27451922000.0,27548463000.0,39969250000.0,18929822000.0,17901470000.0,10806914000.0
2240.0,27239893000.0,27521352000.0,38920440000.0,19175040000.0,18218510000.0,10889222000.0
2241.0,27347569000.0,28605925000.0,38664210000.0,19735986000.0,18586597000.0,10493726000.0
2242.0,27333478000.0,29034422000.0,38053945000.0,19514171000.0,18859002000.0,10762087000.0
2243.0,27101587000.0,28737940000.0,38262292000.0,19422032000.0,18923768000.0,10903029000.0
2244.0,26846630000.0,29870166000.0,37635453000.0,19259085000.0,19064019000.0,10835496000.0
2245.0,26758280000.0,29825370000.0,37300630000.0,19584768000.0,19111283000.0,10394854000.0
2246.0,27345803000.0,30518032000.0,38511776000.0,19810566000.0,19130466000.0,10466857000.0
2247.0,27255116000.0,31279294000.0,38873730000.0,19567114000.0,19635753000.0,10091618000.0
2248.0,26828028000.0,31861540000.0,38452530000.0,19509220000.0,20080673000.0,10406219000.0
2249.0,26957832000.0,32208781000.0,38756745000.0,19539210000.0,20201124000.0,10631590000.0
2250.0,26626736000.0,31705629000.0,38769873000.0,19274934000.0,20101052000.0,10835239000.0
2251.0,26640443000.0,31141444000.0,38936723000.0,19235832000.0,20254510000.0,10617979000.0
2252.0,25841471000.0,31003075000.0,38522310000.0,19228948000.0,20486990000.0,10735323000.0
2253.0,26457567000.0,31472380000.0,38285860000.0,19006464000.0,20311263000.0,10692435000.0
2254.0,26067650000.0,31659076000.0,37555687000.0,19690890000.0,20693600000.0,10810352000.0
2255.0,26432950000.0,30516550000.0,36689605000.0,20493654000.0,20774500000.0,10695470000.0
2256.0,26313572000.0,30187446000.0,37657702000.0,19776406000.0,20899380000.0,10758438000.0
2257.0,25696444000.0,30291160000.0,38994743000.0,19653356000.0,21468120000.0,10654607000.0
2258.0,25458528000.0,30201051000.0,38707626000.0,19478993000.0,21631973000.0,10599262000.0
2259.0,25222857000.0,29783216000.0,38975443000.0,18898188000.0,21765798000.0,10577758000.0
2260.0,25234862000.0,30221441000.0,39062508000.0,19507743000.0,22079257000.0,11064812000.0
2261.0,25701069000.0,30035286000.0,38878896000.0,19463450000.0,22261985000.0,11302000000.0
2262.0,26006254000.0,30220000000.0,37780922000.0,19331783000.0,22598590000.0,11349978000.0
2263.0,25888344000.0,29512696000.0,38319677000.0,19816112000.0,22170570000.0,11179107000.0
2264.0,26294870000.0,29137041000.0,38380986000.0,19704922000.0,22675167000.0,11364205000.0
2265.0,25874352000.0,29332527000.0,38577185000.0,19834020000.0,22787197000.0,11491882000.0
