time,CESM2,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0
2078.0,2197410400000.0,2983992200000.0,2327158700000.0,2158481100000.0,2698028800000.0,2810345000000.0,2900647700000.0,2864757900000.0,2277917000000.0,2757252300000.0,2179670300000.0,2320777600000.0,2655709300000.0
2079.0,2155005300000.0,2965086400000.0,2284876700000.0,2121834300000.0,2689061000000.0,2784327600000.0,2876252000000.0,2841918000000.0,2248466000000.0,2737622200000.0,2142245000000.0,2260226300000.0,2632914600000.0
2080.0,2113350800000.0,2953556800000.0,2255442400000.0,2093586000000.0,2656050300000.0,2758052200000.0,2857369900000.0,2824592200000.0,2221487000000.0,2721923500000.0,2099953800000.0,2225252000000.0,2615020000000.0
2081.0,2082754300000.0,2920588500000.0,2231660700000.0,2066110300000.0,2611701000000.0,2729785000000.0,2843367400000.0,2800541500000.0,2198987700000.0,2704627200000.0,2057183600000.0,2178485500000.0,2586006000000.0
2082.0,2042938500000.0,2897601600000.0,2191409000000.0,2017393800000.0,2599235000000.0,2690825600000.0,2825662200000.0,2767334100000.0,2171547400000.0,2685322400000.0,2019936600000.0,2153991800000.0,2543692300000.0
2083.0,1980335400000.0,2873199700000.0,2159811200000.0,1984593700000.0,2574063500000.0,2655086400000.0,2792693700000.0,2751301000000.0,2139685000000.0,2678939000000.0,1977065000000.0,2118280700000.0,2512107300000.0
2084.0,1944832200000.0,2856084300000.0,2128583300000.0,1937062500000.0,2548460400000.0,2635406000000.0,2768025700000.0,2714546500000.0,2104691300000.0,2661732300000.0,1927105700000.0,2070760800000.0,2484723000000.0
2085.0,1894871200000.0,2819888300000.0,2095703000000.0,1895140700000.0,2536084600000.0,2621416100000.0,2738886800000.0,2687837400000.0,2073652500000.0,2639285500000.0,1905037300000.0,2025759000000.0,2455291300000.0
2086.0,1854065500000.0,2780036900000.0,2037193000000.0,1844793000000.0,2510298800000.0,2594642600000.0,2713688500000.0,2675418900000.0,2042660400000.0,2621287700000.0,1866755600000.0,1992932500000.0,2408467400000.0
2087.0,1818245500000.0,2738695700000.0,1984854000000.0,1804987900000.0,2497317400000.0,2575562400000.0,2684117600000.0,2651258400000.0,2003887300000.0,2592886500000.0,1825799300000.0,1965315500000.0,2379174600000.0
2088.0,1776494700000.0,2711066200000.0,1949024400000.0,1752559600000.0,2477963300000.0,2541575000000.0,2652376700000.0,2638504500000.0,1969810000000.0,2564029000000.0,1784208000000.0,1925230200000.0,2359739800000.0
2089.0,1735128900000.0,2691999200000.0,1905161300000.0,1701626200000.0,2452754800000.0,2505399300000.0,2638895000000.0,2607479500000.0,1941741000000.0,2540457200000.0,1754708400000.0,1885805300000.0,2330604000000.0
2090.0,1694859700000.0,2664198800000.0,1858860200000.0,1670173200000.0,2412613000000.0,2480143600000.0,2619875500000.0,2583338700000.0,1913570600000.0,2518759800000.0,1707924700000.0,1816648700000.0,2304091400000.0
2091.0,1652665400000.0,2657347400000.0,1821329900000.0,1629897100000.0,2398364000000.0,2437067800000.0,2598833500000.0,2550130500000.0,1891391400000.0,2524268000000.0,1665280900000.0,1771016000000.0,2281016000000.0
2092.0,1611896800000.0,2641150600000.0,1783449300000.0,1581948500000.0,2380216400000.0,2411594000000.0,2574484500000.0,2531847300000.0,1859191000000.0,2496217700000.0,1637001000000.0,1737225800000.0,2253334800000.0
2093.0,1563761600000.0,2609639300000.0,1739333400000.0,1546885300000.0,2364785800000.0,2383500000000.0,2539425600000.0,2498112000000.0,1827455900000.0,2478071000000.0,1600541700000.0,1705004200000.0,2225323600000.0
2094.0,1523453100000.0,2585507700000.0,1690074000000.0,1512724400000.0,2348191600000.0,2362283000000.0,2508187500000.0,2477576400000.0,1798656500000.0,2458700000000.0,1570878400000.0,1657312100000.0,2200635200000.0
2095.0,1486722200000.0,2566415500000.0,1656285800000.0,1480392400000.0,2312970200000.0,2333910000000.0,2475470600000.0,2466628000000.0,1766243700000.0,2442326700000.0,1546271500000.0,1625887500000.0,2185274900000.0
2096.0,1444661000000.0,2550095200000.0,1621523800000.0,1440239300000.0,2293228400000.0,2311238000000.0,2450698300000.0,2452940700000.0,1733253900000.0,2413509200000.0,1513701500000.0,1586483700000.0,2144262600000.0
2097.0,1407599000000.0,2524475600000.0,1592347200000.0,1390775900000.0,2280984700000.0,2290276000000.0,2418639600000.0,2425262700000.0,1696263400000.0,2392041500000.0,1461028900000.0,1550176400000.0,2108699300000.0
2098.0,1367902300000.0,2494834700000.0,1563637300000.0,1357960300000.0,2274395400000.0,2268436000000.0,2394660300000.0,2403063300000.0,1650686700000.0,2367039200000.0,1421202600000.0,1511441700000.0,2076897300000.0
2099.0,1334889700000.0,2462706300000.0,1533244300000.0,1318226800000.0,2252480700000.0,2228617000000.0,2364404100000.0,2380914800000.0,1617510400000.0,2332031500000.0,1401856000000.0,1472622100000.0,2052482500000.0
2100.0,1284261000000.0,2442442600000.0,1503900900000.0,1293152400000.0,2203064200000.0,2195130400000.0,2337121800000.0,2357997600000.0,1582976000000.0,2305568000000.0,1381296400000.0,1444328100000.0,2001792700000.0
