time,MIROC6,TAIESM1,KACE-1-0-G,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL,CANESM5,EC-EARTH3,CNRM-CM6-1,IPSL-CM6A-LR,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4
2065.0,14402430000.0,7568882700.0,6409498000.0,18205514000.0,12474751000.0,3749593600.0,5329245000.0,13734013000.0,15864257000.0,10651973000.0,12610584000.0,21677167000.0,12099920000.0
2066.0,13716382000.0,7189442600.0,6232421400.0,17345556000.0,12202876000.0,3699009800.0,5094708000.0,13466613000.0,15286702000.0,10146656000.0,12022906000.0,20259561000.0,11498009000.0
2067.0,12908867000.0,6979459600.0,6016917500.0,17081817000.0,11499867000.0,3558277600.0,4575996400.0,12741644000.0,14408255000.0,9877268000.0,11329577000.0,19904874000.0,10975832000.0
2068.0,12343552000.0,6798910500.0,5646830600.0,16415586000.0,11543956000.0,3260630000.0,4307304400.0,12544200000.0,13688642000.0,9340285000.0,10842465000.0,18699452000.0,10429957000.0
2069.0,11692870000.0,6633865700.0,5574801400.0,15505495000.0,11356274000.0,3117118700.0,4146828500.0,12190702000.0,13204650000.0,8684491000.0,10429962000.0,18208514000.0,9933307000.0
2070.0,11571207000.0,6309493000.0,5268223500.0,15413233000.0,11145138000.0,3052460300.0,3640910600.0,11924089000.0,12273721000.0,8330713000.0,9918149000.0,17232284000.0,9810498000.0
2071.0,11318257000.0,6409185300.0,5484753000.0,15010597000.0,10959032000.0,2786257200.0,3358795800.0,12178031000.0,12059810000.0,7979862500.0,9376098000.0,15864546000.0,9432849000.0
2072.0,10993280000.0,6192166000.0,5295791000.0,14867930000.0,10475782000.0,2575881000.0,3210733600.0,11754522000.0,10890017000.0,7579217000.0,9044719000.0,15554988000.0,9303377000.0
2073.0,10476692000.0,5969934000.0,5084472000.0,14201953000.0,9946482000.0,2495807200.0,3045647600.0,11311839000.0,10578403000.0,7212277000.0,8771757000.0,15053476000.0,8868207000.0
2074.0,9753479000.0,5657426000.0,4840416000.0,13591710000.0,9529360000.0,2385506000.0,2934634800.0,10816801000.0,10262654000.0,6885067000.0,8509019600.0,14301270000.0,8683018000.0
2075.0,9458269000.0,5265189400.0,4742023700.0,13229932000.0,9215024000.0,2262019600.0,2816805400.0,10272094000.0,9811764000.0,6511921700.0,8301014000.0,14311182000.0,8101184500.0
