time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2086.0,4244007800000.0,4998043000000.0,5673820600000.0,3769873000000.0,5092598600000.0,4041712000000.0,6069047300000.0,2980227600000.0,2530863200000.0,5179949700000.0
2087.0,4203776300000.0,4955772000000.0,5641488000000.0,3700483000000.0,5057039000000.0,3983523400000.0,6060651000000.0,2879422200000.0,2481395300000.0,5156384500000.0
2088.0,4163451200000.0,4915930300000.0,5597420000000.0,3635648400000.0,5018804000000.0,3917498300000.0,6027021000000.0,2785683400000.0,2448625800000.0,5130628000000.0
2089.0,4102733200000.0,4878903500000.0,5570680600000.0,3575496600000.0,4981434400000.0,3865958700000.0,6001603000000.0,2719809800000.0,2402357300000.0,5094419500000.0
2090.0,4048396700000.0,4840941400000.0,5524744600000.0,3532063500000.0,4929553400000.0,3798983000000.0,5974305300000.0,2635793200000.0,2369401400000.0,5045443000000.0
2091.0,3981368600000.0,4818087000000.0,5483855000000.0,3487945700000.0,4884820700000.0,3742194500000.0,5961508500000.0,2575813600000.0,2340455200000.0,5012083000000.0
2092.0,3915690500000.0,4778326000000.0,5437850000000.0,3430953000000.0,4845113700000.0,3694941400000.0,5919120300000.0,2508903000000.0,2304921600000.0,4975568000000.0
2093.0,3845693000000.0,4732000000000.0,5406889000000.0,3384175200000.0,4806993000000.0,3656183200000.0,5901462000000.0,2432446500000.0,2250141900000.0,4939920000000.0
2094.0,3770441500000.0,4693221700000.0,5369816400000.0,3338957000000.0,4766240000000.0,3622668900000.0,5878620600000.0,2382917800000.0,2213230000000.0,4897741000000.0
2095.0,3715361100000.0,4668702000000.0,5348968000000.0,3272564300000.0,4725545600000.0,3576784000000.0,5854777000000.0,2343538800000.0,2178649800000.0,4871302400000.0
2096.0,3664317300000.0,4649906600000.0,5324492000000.0,3221255000000.0,4690316600000.0,3527478300000.0,5812713000000.0,2294515800000.0,2132837400000.0,4835910400000.0
2097.0,3597721700000.0,4611765700000.0,5300311600000.0,3169568700000.0,4648087300000.0,3468227500000.0,5803998000000.0,2230534300000.0,2091924000000.0,4806464000000.0
2098.0,3517596600000.0,4577483000000.0,5262536000000.0,3113564800000.0,4617717400000.0,3419561000000.0,5783495000000.0,2163738500000.0,2043826100000.0,4773726700000.0
2099.0,3446880000000.0,4543438400000.0,5245754000000.0,3051081200000.0,4563701000000.0,3371723400000.0,5767373500000.0,2114407000000.0,1987328000000.0,4745356000000.0
2100.0,3387895000000.0,4518422500000.0,5215779600000.0,2986555700000.0,4517621400000.0,3321457500000.0,5736992600000.0,2063948800000.0,1923469700000.0,4723792000000.0
