time,MRI-ESM2-0,KACE-1-0-G,EC-EARTH3,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CESM2-WACCM,IITM-ESM,CANESM5,MPI-ESM1-2-HR,CNRM-CM6-1,IPSL-CM6A-LR,MIROC6,TAIESM1
2050.0,5728019400000.0,5689023000000.0,3440534400000.0,6725629400000.0,6983420000000.0,3808296200000.0,6672976000000.0,7016197000000.0,4163463300000.0,6741538000000.0,6671786600000.0,6016537000000.0,5731074000000.0,4910330000000.0
2051.0,5702904000000.0,5621699600000.0,3371903500000.0,6697400700000.0,6973667400000.0,3648506300000.0,6659207000000.0,6990924300000.0,4034076600000.0,6723929000000.0,6606759700000.0,5963687000000.0,5606554500000.0,4808456000000.0
2052.0,5590690000000.0,5560116000000.0,3301690300000.0,6679657700000.0,6974852300000.0,3525430000000.0,6641562000000.0,6943581700000.0,3894197600000.0,6692495400000.0,6580648500000.0,5907846000000.0,5520663000000.0,4711254600000.0
2053.0,5502108400000.0,5515177400000.0,3197736800000.0,6637609000000.0,6956298000000.0,3388198400000.0,6638501600000.0,6915561000000.0,3762461300000.0,6670022000000.0,6507406600000.0,5835089000000.0,5463348000000.0,4638633000000.0
2054.0,5418839000000.0,5469770000000.0,3083314700000.0,6613372500000.0,6941854000000.0,3215779400000.0,6621565000000.0,6893966000000.0,3638873300000.0,6647437000000.0,6440794000000.0,5760975000000.0,5417473000000.0,4572695000000.0
2055.0,5380872000000.0,5427316700000.0,3014521500000.0,6603484400000.0,6952776600000.0,3044692700000.0,6596286500000.0,6892728000000.0,3516880000000.0,6626856000000.0,6389580700000.0,5744515600000.0,5343655000000.0,4480086600000.0
2056.0,5301130000000.0,5378425000000.0,2924310700000.0,6555009300000.0,6937005000000.0,2873672300000.0,6553616000000.0,6864377000000.0,3416619200000.0,6597491000000.0,6320915000000.0,5741008700000.0,5262398000000.0,4391613800000.0
2057.0,5192634300000.0,5324646400000.0,2823013500000.0,6534442000000.0,6951818000000.0,2726252200000.0,6507018600000.0,6829944300000.0,3308919000000.0,6580712000000.0,6276624400000.0,5674840000000.0,5143531600000.0,4312570500000.0
2058.0,5104599000000.0,5297444000000.0,2748115300000.0,6524437500000.0,6944931700000.0,2582329200000.0,6487940000000.0,6823858400000.0,3191037800000.0,6562354600000.0,6241770300000.0,5585599700000.0,5045547400000.0,4215091500000.0
2059.0,4993611000000.0,5241180000000.0,2682358600000.0,6487604000000.0,6939595000000.0,2470280200000.0,6461881000000.0,6784761000000.0,3083524600000.0,6530307000000.0,6202692500000.0,5521500000000.0,4934598000000.0,4118082500000.0
2060.0,4901805000000.0,5162563300000.0,2626326400000.0,6485359700000.0,6919023500000.0,2340028200000.0,6420844500000.0,6780366600000.0,2983020500000.0,6482156000000.0,6163115500000.0,5485325500000.0,4827815000000.0,4039812300000.0
2061.0,4826959000000.0,5095519000000.0,2571164500000.0,6480292000000.0,6900949000000.0,2217003500000.0,6392085000000.0,6742564400000.0,2876289000000.0,6461738500000.0,6096431000000.0,5469318000000.0,4731513600000.0,3965663800000.0
2062.0,4753080700000.0,5039902400000.0,2505543000000.0,6458783600000.0,6887081000000.0,2081910800000.0,6347071000000.0,6730892700000.0,2778444300000.0,6443363000000.0,6039493700000.0,5445679000000.0,4668761600000.0,3846271400000.0
2063.0,4690173500000.0,4976841000000.0,2412334000000.0,6450819000000.0,6871297000000.0,1964763800000.0,6331647000000.0,6711442000000.0,2663163600000.0,6408402600000.0,5986555000000.0,5390174500000.0,4584777000000.0,3762358800000.0
2064.0,4586909700000.0,4946951400000.0,2319526000000.0,6424709000000.0,6851803500000.0,1831632900000.0,6316328000000.0,6687167600000.0,2571889800000.0,6393707400000.0,5963612400000.0,5368685500000.0,4518745000000.0,3695285000000.0
2065.0,4505103500000.0,4908150000000.0,2266443300000.0,6381246600000.0,6835690000000.0,1711407800000.0,6293191000000.0,6664895000000.0,2505769200000.0,6343446500000.0,5929517400000.0,5340474000000.0,4440455000000.0,3635303200000.0
2066.0,4400939000000.0,4875988000000.0,2189961100000.0,6310455000000.0,6815083400000.0,1612146900000.0,6264292000000.0,6673932000000.0,2456001400000.0,6317664000000.0,5853119000000.0,5283092400000.0,4366965700000.0,3555274000000.0
2067.0,4304965500000.0,4842411500000.0,2122860200000.0,6274239000000.0,6807651600000.0,1515655000000.0,6229934000000.0,6663322500000.0,2392746000000.0,6280042000000.0,5757654000000.0,5262432000000.0,4317114000000.0,3492890800000.0
2068.0,4228317700000.0,4788981300000.0,2061107500000.0,6257618000000.0,6780051500000.0,1390501800000.0,6196592400000.0,6632008000000.0,2311640600000.0,6227063000000.0,5682067000000.0,5203665000000.0,4256508400000.0,3447959600000.0
2069.0,4148842000000.0,4741861500000.0,1993047100000.0,6244663000000.0,6792682000000.0,1322850300000.0,6154117000000.0,6607217000000.0,2224501300000.0,6191064000000.0,5640068000000.0,5193495000000.0,4181835400000.0,3403629000000.0
2070.0,4050194000000.0,4714222600000.0,1907540600000.0,6205981300000.0,6764105300000.0,1247917200000.0,6125205000000.0,6594392000000.0,2137004300000.0,6167179300000.0,5627193000000.0,5133840000000.0,4094589700000.0,3313802400000.0
2071.0,3947749700000.0,4682745400000.0,1817339200000.0,6181102000000.0,6782233000000.0,1156812800000.0,6112363400000.0,6566054000000.0,2066186400000.0,6143474700000.0,5556045600000.0,5086016700000.0,4020701000000.0,3255171500000.0
2072.0,3886623000000.0,4608169600000.0,1711655400000.0,6180116000000.0,6741340700000.0,1057689760000.0,6085222000000.0,6535469000000.0,1990208000000.0,6128794000000.0,5501611400000.0,5000937000000.0,3959579700000.0,3207204000000.0
2073.0,3783467500000.0,4564900000000.0,1669817700000.0,6165995500000.0,6694371000000.0,951887200000.0,6035640000000.0,6519191500000.0,1906252200000.0,6111834000000.0,5437630000000.0,4937801500000.0,3884152500000.0,3130305300000.0
2074.0,3730261400000.0,4528226700000.0,1617409900000.0,6159307000000.0,6665108000000.0,858190640000.0,5987729000000.0,6488206000000.0,1860901100000.0,6087918000000.0,5392408500000.0,4908820500000.0,3792953100000.0,3050172000000.0
2075.0,3686465300000.0,4478783700000.0,1533050600000.0,6152203000000.0,6651597300000.0,764604840000.0,5958992000000.0,6471104300000.0,1800941900000.0,6035953700000.0,5289865600000.0,4852416500000.0,3696028800000.0,2973717800000.0
2076.0,3623976700000.0,4452708000000.0,1462541200000.0,6128758400000.0,6613119000000.0,689499600000.0,5917371000000.0,6457639600000.0,1746587600000.0,6018273000000.0,5252932000000.0,4820613700000.0,3615465400000.0,2877814700000.0
2077.0,3567226700000.0,4405126500000.0,1394801600000.0,6099375000000.0,6580472400000.0,615816560000.0,5903249600000.0,6422568400000.0,1686055200000.0,5966260000000.0,5148194000000.0,4748347400000.0,3552613500000.0,2787668100000.0
2078.0,3523517300000.0,4380855600000.0,1340437000000.0,6087042400000.0,6513803400000.0,549087800000.0,5853903000000.0,6397988000000.0,1618459400000.0,5932954000000.0,5071204500000.0,4706725300000.0,3442417900000.0,2695061600000.0
2079.0,3445222800000.0,4358785700000.0,1271760200000.0,6063783400000.0,6458425000000.0,493908800000.0,5834509000000.0,6383961000000.0,1558425200000.0,5888354000000.0,5011235400000.0,4651466000000.0,3357565300000.0,2623553700000.0
2080.0,3380693000000.0,4318777000000.0,1227389000000.0,6052967000000.0,6420733400000.0,443234300000.0,5808115400000.0,6366487000000.0,1498401000000.0,5882760400000.0,4955806000000.0,4578465500000.0,3275134000000.0,2536250300000.0
2081.0,3338704800000.0,4261486800000.0,1177334000000.0,6035655400000.0,6340526000000.0,401212200000.0,5779051500000.0,6342888000000.0,1450650800000.0,5867928000000.0,4858720600000.0,4536493700000.0,3210524500000.0,2452717600000.0
2082.0,3292835300000.0,4231513800000.0,1126440900000.0,5979793000000.0,6305000000000.0,370071760000.0,5753081000000.0,6332170600000.0,1399778800000.0,5827660300000.0,4821175000000.0,4481462300000.0,3134432000000.0,2392837000000.0
2083.0,3252605000000.0,4207213800000.0,1088841840000.0,5948592600000.0,6267882400000.0,341800600000.0,5705590400000.0,6300714400000.0,1350260200000.0,5763418000000.0,4774780500000.0,4455078000000.0,3053163400000.0,2336946700000.0
2084.0,3215521200000.0,4174530500000.0,1052494700000.0,5915909000000.0,6234533500000.0,310599940000.0,5679239000000.0,6269603700000.0,1305588700000.0,5728154700000.0,4685051700000.0,4406769600000.0,2975422000000.0,2273990000000.0
