time,CESM2-WACCM,CANESM5,EC-EARTH3,MRI-ESM2-0,INM-CM4-8,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,TAIESM1,INM-CM5-0,NORESM2-MM,CMCC-CM2-SR5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG
2036.0,7092465300000.0,5943529600000.0,6224752000000.0,6588601000000.0,7003454300000.0,7067581500000.0,7125904000000.0,6846198300000.0,7027713600000.0,6941606000000.0,6533503000000.0,6780005400000.0,6996645400000.0,6842995400000.0,6977762000000.0,6948495300000.0,6919553000000.0,7001494500000.0,6469746000000.0
2037.0,7080528000000.0,5812099500000.0,6120450000000.0,6517897600000.0,6966397000000.0,7049466000000.0,7084521300000.0,6808271300000.0,7000814000000.0,6917089400000.0,6480970400000.0,6735184000000.0,6957218000000.0,6792439000000.0,6945345000000.0,6900441700000.0,6896821000000.0,6995350400000.0,6408232000000.0
2038.0,7053978000000.0,5672240400000.0,6019566500000.0,6448748700000.0,6960012000000.0,7048590300000.0,7055859000000.0,6763285300000.0,6976387000000.0,6902801500000.0,6394586000000.0,6669214400000.0,6919736000000.0,6719655000000.0,6926509300000.0,6875513000000.0,6862696000000.0,6980649400000.0,6327440500000.0
2039.0,7033775500000.0,5530003000000.0,5903989000000.0,6359698400000.0,6946728400000.0,7034559000000.0,7027090000000.0,6725859500000.0,6938108000000.0,6849816000000.0,6304518600000.0,6636895000000.0,6903168500000.0,6653963000000.0,6879878600000.0,6833873400000.0,6814578500000.0,6931837000000.0,6263747400000.0
2040.0,7012576400000.0,5397686500000.0,5780223300000.0,6244597000000.0,6937230000000.0,7016550500000.0,7002342300000.0,6677966400000.0,6893649500000.0,6838036000000.0,6210172500000.0,6604946700000.0,6866684000000.0,6590293300000.0,6826109700000.0,6808191600000.0,6784760000000.0,6907165700000.0,6176335000000.0
2041.0,6985986000000.0,5262721700000.0,5655080500000.0,6147684000000.0,6925591000000.0,6995913500000.0,6948468000000.0,6642231000000.0,6857102500000.0,6805631000000.0,6134239300000.0,6575453000000.0,6839783000000.0,6556817000000.0,6798977000000.0,6787179000000.0,6776621000000.0,6906959000000.0,6095609300000.0
2042.0,6952500000000.0,5121017000000.0,5526470000000.0,6045281300000.0,6893108500000.0,6973917500000.0,6931091000000.0,6605432700000.0,6795751300000.0,6778810000000.0,6058769600000.0,6518047500000.0,6820248000000.0,6498289700000.0,6736868000000.0,6767932000000.0,6758836000000.0,6903760400000.0,6002466000000.0
2043.0,6916656000000.0,4968039000000.0,5387490700000.0,5957302000000.0,6856353000000.0,6955304000000.0,6899986600000.0,6562526000000.0,6738090700000.0,6737999400000.0,5984456000000.0,6467006500000.0,6800323000000.0,6435244600000.0,6686873500000.0,6733595400000.0,6713470600000.0,6874020000000.0,5943697300000.0
2044.0,6892422700000.0,4813531600000.0,5255396000000.0,5844808000000.0,6833540000000.0,6899725500000.0,6844221000000.0,6526647000000.0,6707518000000.0,6704417700000.0,5863730000000.0,6421591000000.0,6771537000000.0,6363407700000.0,6632960000000.0,6689818400000.0,6657312000000.0,6832455700000.0,5868988400000.0
2045.0,6857777000000.0,4671913600000.0,5120723000000.0,5749290000000.0,6820624600000.0,6845651500000.0,6815016300000.0,6493923000000.0,6678289300000.0,6686979400000.0,5765055000000.0,6368188000000.0,6735365000000.0,6273479000000.0,6585479300000.0,6647073000000.0,6611076000000.0,6823338300000.0,5775504700000.0
2046.0,6827630000000.0,4523236500000.0,4972731700000.0,5626568600000.0,6793962000000.0,6792439000000.0,6766904500000.0,6453228000000.0,6639114500000.0,6647069000000.0,5676358700000.0,6340590000000.0,6695551000000.0,6193831000000.0,6517042000000.0,6588153700000.0,6570007000000.0,6807158000000.0,5682214500000.0
2047.0,6782981000000.0,4378212000000.0,4836454000000.0,5526744700000.0,6764214000000.0,6757239000000.0,6696228400000.0,6415177500000.0,6602003300000.0,6621046500000.0,5560922000000.0,6277771600000.0,6686443000000.0,6125736400000.0,6449224000000.0,6546427000000.0,6518114000000.0,6796835000000.0,5581751000000.0
2048.0,6767059700000.0,4224672900000.0,4713230000000.0,5415896000000.0,6739696000000.0,6732050300000.0,6655393700000.0,6378391300000.0,6562042600000.0,6598359000000.0,5438965000000.0,6223192000000.0,6667944600000.0,6037778700000.0,6393442000000.0,6517642000000.0,6459511000000.0,6796454400000.0,5494345000000.0
2049.0,6723181500000.0,4080357300000.0,4553822000000.0,5315651700000.0,6705982000000.0,6699148000000.0,6619286000000.0,6314707600000.0,6503029300000.0,6575730700000.0,5311941000000.0,6161970500000.0,6650760500000.0,5987064300000.0,6338914500000.0,6442282000000.0,6413677000000.0,6767720300000.0,5411844000000.0
2050.0,6711067000000.0,3936541700000.0,4415463400000.0,5178839000000.0,6669763000000.0,6659675000000.0,6557291000000.0,6247931000000.0,6469292400000.0,6549119400000.0,5205260000000.0,6101121600000.0,6632882000000.0,5919604000000.0,6283651400000.0,6394693600000.0,6333375400000.0,6725935000000.0,5288316400000.0
2051.0,6663667000000.0,3797106800000.0,4270607600000.0,5095410000000.0,6629700000000.0,6612811000000.0,6495825600000.0,6183281000000.0,6444228000000.0,6535316000000.0,5086165600000.0,6035898600000.0,6590597000000.0,5857694700000.0,6205750000000.0,6334124700000.0,6300242000000.0,6693774000000.0,5174313000000.0
2052.0,6616923500000.0,3653702800000.0,4137594700000.0,4991118000000.0,6610048000000.0,6555812500000.0,6458436000000.0,6104920000000.0,6395835400000.0,6509224300000.0,4965918000000.0,5984465000000.0,6567448500000.0,5785129000000.0,6138468000000.0,6266412300000.0,6239504300000.0,6671123300000.0,5053040000000.0
2053.0,6589447000000.0,3508922200000.0,4018688000000.0,4869556000000.0,6580435000000.0,6461213600000.0,6390077700000.0,6028957000000.0,6347694300000.0,6480845000000.0,4850958000000.0,5920331400000.0,6540100600000.0,5698986000000.0,6067585500000.0,6197192000000.0,6175954300000.0,6600281600000.0,4920546700000.0
2054.0,6538130000000.0,3377002400000.0,3890262000000.0,4782023000000.0,6538301300000.0,6415026000000.0,6347099700000.0,5971959600000.0,6312001000000.0,6461994000000.0,4724066000000.0,5863504000000.0,6515148700000.0,5591170300000.0,5998024000000.0,6085351600000.0,6106526500000.0,6552133600000.0,4802518500000.0
2055.0,6485908000000.0,3238476600000.0,3753008400000.0,4672426300000.0,6505369000000.0,6352207300000.0,6298836400000.0,5922859500000.0,6244743000000.0,6433522000000.0,4588574000000.0,5810474000000.0,6462874600000.0,5498891400000.0,5940342000000.0,5990500500000.0,6053715500000.0,6518314000000.0,4663983000000.0
2056.0,6440728000000.0,3105333700000.0,3644732200000.0,4567109000000.0,6453147500000.0,6285210700000.0,6246250000000.0,5854260000000.0,6194215000000.0,6393539000000.0,4462384500000.0,5747432000000.0,6427166400000.0,5428156000000.0,5862037000000.0,5906913300000.0,5979913600000.0,6443995500000.0,4542378000000.0
