time,IPSL-CM5A-LR,CNRM-CM5,GISS-E2-R,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,CANESM2,CCSM4
2081.0,1453441800000.0,2489229000000.0,2251786300000.0,1803616600000.0,2354203600000.0,2509817800000.0,3156849500000.0,2186155900000.0,2024503400000.0,2179596000000.0
2082.0,1428572100000.0,2461857700000.0,2238828200000.0,1778721600000.0,2337886200000.0,2476145000000.0,3143742300000.0,2155790100000.0,2009456400000.0,2148248200000.0
2083.0,1412366500000.0,2422574700000.0,2224220500000.0,1750355800000.0,2325059000000.0,2458481300000.0,3118008600000.0,2127592700000.0,1985325000000.0,2116236500000.0
2084.0,1388969300000.0,2405924600000.0,2214942500000.0,1730099500000.0,2297381800000.0,2422394000000.0,3103688800000.0,2099951300000.0,1947469600000.0,2092209000000.0
2085.0,1368595100000.0,2380462000000.0,2204512800000.0,1702586000000.0,2272572000000.0,2397456600000.0,3090612700000.0,2064220700000.0,1911179000000.0,2064774500000.0
2086.0,1343148400000.0,2355307000000.0,2185569400000.0,1670761300000.0,2260980000000.0,2359628700000.0,3094461500000.0,2040080600000.0,1871543500000.0,2040745600000.0
2087.0,1319558800000.0,2328355100000.0,2169866300000.0,1641581500000.0,2238785800000.0,2327002000000.0,3083093400000.0,2016424800000.0,1852613100000.0,2009412800000.0
2088.0,1288550500000.0,2292508800000.0,2154328900000.0,1610319400000.0,2214143200000.0,2291466200000.0,3070582600000.0,1986011700000.0,1829445300000.0,1985176400000.0
2089.0,1260977400000.0,2258309500000.0,2147698900000.0,1576907000000.0,2187630700000.0,2258848700000.0,3061441400000.0,1957595200000.0,1801984300000.0,1955972100000.0
2090.0,1230039700000.0,2227796200000.0,2132697000000.0,1544941100000.0,2161654400000.0,2226128700000.0,3034852000000.0,1933287900000.0,1780658200000.0,1924128800000.0
2091.0,1197105100000.0,2190535300000.0,2122583800000.0,1513186000000.0,2143751900000.0,2187323200000.0,3000311500000.0,1908491400000.0,1764458800000.0,1890073800000.0
2092.0,1163959600000.0,2158627800000.0,2118747700000.0,1480738600000.0,2121696800000.0,2157320900000.0,2964867500000.0,1888238200000.0,1746153400000.0,1857222300000.0
2093.0,1140039700000.0,2135425500000.0,2103589900000.0,1453895800000.0,2108214900000.0,2116864600000.0,2936286700000.0,1855973100000.0,1721549200000.0,1832499300000.0
2094.0,1121225100000.0,2102674000000.0,2090599400000.0,1418285300000.0,2080760500000.0,2084708400000.0,2915247800000.0,1831818500000.0,1699580500000.0,1805366900000.0
2095.0,1101675200000.0,2084462100000.0,2075524600000.0,1379717000000.0,2059943000000.0,2049743500000.0,2897631500000.0,1812946600000.0,1668198400000.0,1773888600000.0
2096.0,1082444900000.0,2062797900000.0,2061623500000.0,1350234900000.0,2039261000000.0,2013664600000.0,2871678700000.0,1797823000000.0,1645707000000.0,1751190700000.0
2097.0,1054929300000.0,2041460000000.0,2044731600000.0,1322517700000.0,2023221800000.0,1976176500000.0,2832408000000.0,1774126500000.0,1613558800000.0,1730505100000.0
2098.0,1026132500000.0,2005515400000.0,2031262600000.0,1285659200000.0,2000765500000.0,1937319000000.0,2808083000000.0,1760264200000.0,1587744000000.0,1716560200000.0
2099.0,996586360000.0,1971614100000.0,2015362200000.0,1253575500000.0,1986595900000.0,1899621100000.0,2797875500000.0,1737381800000.0,1570664700000.0,1686153200000.0
2100.0,961809940000.0,1940306000000.0,2003154500000.0,1226360500000.0,1968479300000.0,1865820100000.0,2779659600000.0,1718387700000.0,1541782200000.0,1660775700000.0
