time,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CNRM-CM5,GFDL-CM3,CCSM4,MPI-ESM-LR
2062.0,2042668300000.0,2021414300000.0,2555254700000.0,1905201800000.0,1965048100000.0,1899054500000.0,2282386400000.0,2116515300000.0,923639100000.0,2121616600000.0,2147766200000.0
2063.0,2015852500000.0,2006549000000.0,2557943200000.0,1859959400000.0,1952375600000.0,1883925100000.0,2277247500000.0,2098281800000.0,900035400000.0,2108211100000.0,2152581700000.0
2064.0,1996062500000.0,1993191200000.0,2570195800000.0,1827768600000.0,1949824500000.0,1854889700000.0,2277199300000.0,2084474200000.0,869877000000.0,2098445200000.0,2152159800000.0
2065.0,1991020200000.0,1976707300000.0,2571852300000.0,1816410300000.0,1936701300000.0,1835256000000.0,2263713800000.0,2065220400000.0,840264500000.0,2087730500000.0,2148421300000.0
2066.0,1973764200000.0,1955467600000.0,2567742400000.0,1794235700000.0,1913818700000.0,1808769900000.0,2255886200000.0,2047678300000.0,813272800000.0,2083123400000.0,2152172700000.0
2067.0,1959059500000.0,1939366200000.0,2585505600000.0,1776627200000.0,1896552700000.0,1799111700000.0,2237719400000.0,2031153700000.0,793848640000.0,2068379500000.0,2152847600000.0
2068.0,1939974800000.0,1920708800000.0,2577855000000.0,1775343800000.0,1878202600000.0,1781440400000.0,2217026500000.0,2006663200000.0,772967370000.0,2052580600000.0,2151488800000.0
2069.0,1924582900000.0,1916879600000.0,2581163400000.0,1754190600000.0,1859755400000.0,1763602100000.0,2203139000000.0,1983864200000.0,748117360000.0,2042000300000.0,2154188600000.0
2070.0,1915668400000.0,1903486600000.0,2581115700000.0,1728525000000.0,1835912700000.0,1745843800000.0,2184511200000.0,1969718800000.0,727122800000.0,2033677400000.0,2132621800000.0
2071.0,1896714200000.0,1883488400000.0,2592746200000.0,1714944600000.0,1829311600000.0,1719948500000.0,2182480900000.0,1941245500000.0,707261040000.0,2019387900000.0,2125607500000.0
2072.0,1888956700000.0,1873059000000.0,2585084800000.0,1697608200000.0,1803765000000.0,1705813500000.0,2172074600000.0,1931298200000.0,687118100000.0,2005813800000.0,2132092900000.0
2073.0,1883997600000.0,1864781300000.0,2603070800000.0,1683336300000.0,1790692800000.0,1682824600000.0,2171890000000.0,1930139300000.0,672806340000.0,1996475900000.0,2144807800000.0
2074.0,1868385600000.0,1848114000000.0,2623121000000.0,1684439800000.0,1773451700000.0,1659718700000.0,2171967100000.0,1928994900000.0,651028000000.0,1990610800000.0,2158594200000.0
2075.0,1857982600000.0,1842382200000.0,2624272500000.0,1661408500000.0,1761966300000.0,1647068400000.0,2154162800000.0,1924466000000.0,633525760000.0,1985180100000.0,2169925000000.0
2076.0,1843019000000.0,1825481000000.0,2608438400000.0,1658680800000.0,1733481700000.0,1648532400000.0,2153251100000.0,1904083700000.0,619039400000.0,1981018500000.0,2154531300000.0
2077.0,1834806000000.0,1811864200000.0,2596734500000.0,1650155200000.0,1724195900000.0,1638911800000.0,2142145100000.0,1889108800000.0,601827400000.0,1969068000000.0,2153275600000.0
2078.0,1825138500000.0,1789767300000.0,2591210300000.0,1632398100000.0,1721531000000.0,1625519200000.0,2150587400000.0,1884014500000.0,591105800000.0,1964311300000.0,2163040700000.0
2079.0,1808924700000.0,1774939400000.0,2593183200000.0,1624230200000.0,1701203500000.0,1621964000000.0,2159318100000.0,1873752500000.0,579589800000.0,1953946300000.0,2159194300000.0
2080.0,1793934900000.0,1754442800000.0,2586121900000.0,1612965900000.0,1689871000000.0,1615800700000.0,2156216000000.0,1852443300000.0,569855600000.0,1932892700000.0,2156407800000.0
2081.0,1780695300000.0,1744047300000.0,2577686600000.0,1610905000000.0,1681610500000.0,1600325400000.0,2145485600000.0,1840515500000.0,555276800000.0,1923645400000.0,2161919000000.0
2082.0,1771165700000.0,1734685600000.0,2561199300000.0,1598221600000.0,1670665300000.0,1580652300000.0,2146070700000.0,1838861000000.0,544331920000.0,1920653500000.0,2178080800000.0
2083.0,1761179600000.0,1729453500000.0,2564382300000.0,1585650100000.0,1662165500000.0,1568497200000.0,2153687700000.0,1822166500000.0,535224940000.0,1918719500000.0,2169371600000.0
2084.0,1759062000000.0,1715908900000.0,2571830800000.0,1577426700000.0,1648386000000.0,1551381200000.0,2157875700000.0,1819927900000.0,522764000000.0,1909329100000.0,2163716400000.0
2085.0,1753271900000.0,1692863000000.0,2566174000000.0,1578355400000.0,1629508300000.0,1524726800000.0,2157755900000.0,1799650800000.0,513087340000.0,1901785400000.0,2153512300000.0
