time,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,ACCESS-CM2,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,IPSL-CM6A-LR,CESM2-WACCM,TAIESM1
2074.0,952032700.0,687636100.0,917748800.0,750406900.0,929069500.0,1034911800.0,351446600.0,518757980.0,1060929100.0,943476160.0,866561400.0,1387339800.0,1067197400.0,1056575500.0,483005500.0,988381060.0,457134600.0,888911900.0,424482850.0
2075.0,927955700.0,655263700.0,893920800.0,704018800.0,910821100.0,1013579500.0,324624160.0,491974880.0,1011676160.0,907787800.0,840033300.0,1346249500.0,1040155600.0,1019031360.0,464884130.0,930764160.0,431596320.0,860239360.0,406487200.0
2076.0,906794700.0,630408960.0,876443970.0,666939500.0,880319600.0,968787300.0,299671230.0,470026850.0,979862700.0,884177200.0,817999600.0,1313424900.0,1007111940.0,986793300.0,443883900.0,901809860.0,399915520.0,835650400.0,377300900.0
2077.0,887510200.0,594914400.0,850416100.0,636810560.0,852476800.0,922820740.0,282349980.0,444262530.0,940951230.0,850159500.0,799903740.0,1280739000.0,970190850.0,950228300.0,420030080.0,875495800.0,375148260.0,804069700.0,358756480.0
2078.0,864918500.0,564478140.0,825998340.0,604858400.0,832845060.0,874525950.0,256839800.0,422419000.0,889067140.0,826520600.0,784329600.0,1233456500.0,935766340.0,901165900.0,400055740.0,859241340.0,349006560.0,763194900.0,345514700.0
2079.0,837036500.0,533988380.0,803985800.0,576473100.0,801749570.0,826545400.0,240151580.0,400988960.0,847406000.0,798272830.0,763025600.0,1198834300.0,908942400.0,870013630.0,383739170.0,830187600.0,312743040.0,742030000.0,322982800.0
2080.0,818957060.0,505612160.0,772602430.0,549189500.0,888275140.0,783428400.0,216755420.0,380529540.0,803475400.0,772322000.0,740296000.0,1139683700.0,889340100.0,842923900.0,361562270.0,796470300.0,284962300.0,704977100.0,303362530.0
2081.0,798472060.0,477890020.0,749774600.0,515558660.0,759640300.0,728689600.0,200055060.0,360746880.0,772644700.0,735763460.0,721154900.0,1120413000.0,900361500.0,809983200.0,342124160.0,923436540.0,260227700.0,677870100.0,284647780.0
2082.0,772421300.0,456090620.0,723110700.0,491823300.0,733671900.0,692473300.0,183062300.0,333262300.0,742621400.0,705515700.0,864354240.0,1080023600.0,851180200.0,783161700.0,318650000.0,766262100.0,233675250.0,642148300.0,267002530.0
2083.0,741209000.0,430621660.0,701702700.0,459758140.0,710254850.0,659331200.0,166948030.0,315832000.0,722635700.0,664018750.0,704890100.0,1039916500.0,815215550.0,748407000.0,296387200.0,933662850.0,211293570.0,611652500.0,249978080.0
2084.0,717989250.0,407891140.0,682105200.0,434902100.0,687730750.0,630425900.0,150512580.0,291603420.0,702073200.0,638136900.0,690593340.0,1017940860.0,791348160.0,721997060.0,272191100.0,722549700.0,198202850.0,583328830.0,234925000.0
2085.0,692634000.0,386452960.0,652290560.0,400601700.0,668022460.0,607750800.0,124533976.0,268814940.0,678647300.0,617060400.0,681023200.0,993487040.0,772453200.0,698265000.0,248019890.0,707686900.0,180144000.0,552903200.0,225649680.0
2086.0,661163800.0,361821020.0,622462800.0,373370240.0,649909760.0,579369600.0,113278770.0,247651090.0,646490240.0,598243140.0,661130400.0,976475800.0,748488800.0,660698700.0,231273000.0,702094700.0,158010780.0,532962900.0,209887800.0
2087.0,644709200.0,343177700.0,596528200.0,348120770.0,607058100.0,547712100.0,105113260.0,223456370.0,617026500.0,572578800.0,642211500.0,960547400.0,728527940.0,637902900.0,210225600.0,663305300.0,144584350.0,503634370.0,198339300.0
2088.0,621376060.0,330390300.0,576951100.0,325032420.0,575638140.0,517395600.0,98610790.0,202044050.0,595451400.0,553795140.0,619570940.0,929496500.0,714768800.0,612491100.0,190576800.0,641642240.0,125450640.0,481069950.0,187838960.0
2089.0,594437570.0,306096500.0,551177500.0,306206530.0,557170700.0,496902720.0,91032050.0,190448140.0,557092500.0,524472350.0,592493250.0,906274900.0,690204300.0,581662900.0,174115540.0,643273900.0,105125150.0,467513150.0,176106270.0
2090.0,578097000.0,284519940.0,533907700.0,282538800.0,554901250.0,484040450.0,84907140.0,164793920.0,524983200.0,508351900.0,573771650.0,869976000.0,660866400.0,564654850.0,152337440.0,623926000.0,85207070.0,449540320.0,166643650.0
2091.0,559350700.0,268373020.0,513537380.0,254238700.0,528566050.0,461526270.0,77707630.0,145615120.0,499695800.0,491107870.0,558873300.0,869911200.0,626604900.0,540286300.0,131023200.0,603744800.0,75787930.0,427925000.0,145688100.0
