time,BCC-CSM2-MR,EC-EARTH3,INM-CM4-8,CAMS-CSM1-0,EC-EARTH3-VEG,MPI-ESM1-2-HR,CANESM5,MRI-ESM2-0,FGOALS-F3-L,CESM2-WACCM,CESM2,GFDL-ESM4,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,NORESM2-MM,INM-CM5-0
2058.0,2754405000000.0,2287311000000.0,3012425700000.0,2594122000000.0,2716403500000.0,2943727400000.0,1936309200000.0,2604396000000.0,2828736700000.0,2820659200000.0,2979444600000.0,3068412800000.0,3306275500000.0,2593890800000.0,2978000100000.0,3095758600000.0,2589187400000.0
2059.0,2733492100000.0,2269672600000.0,2992942400000.0,2577146600000.0,2690635500000.0,2936743400000.0,1894329000000.0,2588213200000.0,2804913000000.0,2810352800000.0,2968218000000.0,3064520500000.0,3315801000000.0,2569688000000.0,2959511700000.0,3082100700000.0,2578943000000.0
2060.0,2713852300000.0,2248349000000.0,2981502400000.0,2556919300000.0,2662416800000.0,2916052600000.0,1849434400000.0,2581498400000.0,2785713800000.0,2808344200000.0,2960230200000.0,3058802600000.0,3323911000000.0,2541982000000.0,2943679000000.0,3068425700000.0,2556931600000.0
2061.0,2696990400000.0,2224987300000.0,2963133000000.0,2545305300000.0,2630166800000.0,2900358000000.0,1818901200000.0,2560333400000.0,2765499700000.0,2808770200000.0,2947899700000.0,3040025500000.0,3326324500000.0,2517256000000.0,2928083700000.0,3058700600000.0,2540442200000.0
2062.0,2670621400000.0,2206081700000.0,2938807000000.0,2525081000000.0,2613072000000.0,2884274000000.0,1784463000000.0,2541064600000.0,2735546000000.0,2798630200000.0,2945741500000.0,3030252500000.0,3340543500000.0,2494386000000.0,2911509200000.0,3044535200000.0,2524560200000.0
2063.0,2649943700000.0,2184173500000.0,2921551400000.0,2504640000000.0,2595044700000.0,2875237600000.0,1748264800000.0,2523312000000.0,2713298000000.0,2795267700000.0,2927415300000.0,3017492000000.0,3354164700000.0,2474049300000.0,2893752300000.0,3029449300000.0,2505708100000.0
2064.0,2627701800000.0,2162489200000.0,2895570000000.0,2481068000000.0,2569858400000.0,2862924400000.0,1713266500000.0,2507520600000.0,2692245400000.0,2795755800000.0,2916066000000.0,3006373000000.0,3373491600000.0,2431805000000.0,2868388600000.0,3019776000000.0,2490923200000.0
2065.0,2607419800000.0,2140263700000.0,2866575600000.0,2467843800000.0,2551969700000.0,2847994300000.0,1678537500000.0,2498956000000.0,2668717100000.0,2792414800000.0,2919651900000.0,2999277000000.0,3384369200000.0,2402961300000.0,2855457800000.0,2997812500000.0,2476039500000.0
2066.0,2597259000000.0,2122603700000.0,2847997400000.0,2445277700000.0,2532009600000.0,2838786500000.0,1648058800000.0,2490805500000.0,2651280600000.0,2781021500000.0,2916609700000.0,2980232000000.0,3394232600000.0,2376754500000.0,2835119900000.0,2983100700000.0,2464417000000.0
2067.0,2583015700000.0,2094342600000.0,2831165000000.0,2435932000000.0,2526090400000.0,2825611000000.0,1616263500000.0,2479545600000.0,2642600500000.0,2783361000000.0,2923611000000.0,2960969000000.0,3393558700000.0,2355020000000.0,2819423700000.0,2962561700000.0,2444612900000.0
