time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2053.0,36852015000.0,39106126000.0,41819140000.0,40379660000.0,40999250000.0,36980007000.0,38805377000.0,37876396000.0,34667983000.0,40566235000.0,41244533000.0,37896925000.0,37244436000.0,35235705000.0
2054.0,36466102000.0,38583415000.0,41298346000.0,39966270000.0,40712094000.0,36449360000.0,38353134000.0,37201854000.0,34207676000.0,40332230000.0,40738034000.0,37343800000.0,36724277000.0,34490860000.0
2055.0,36093227000.0,38095380000.0,40810713000.0,39470920000.0,40232632000.0,36029297000.0,38329475000.0,36614630000.0,33649189000.0,39840465000.0,40228717000.0,36705812000.0,36146303000.0,33933445000.0
2056.0,35481400000.0,37678776000.0,40379064000.0,39042950000.0,39700218000.0,35309027000.0,37632360000.0,36115850000.0,33041637000.0,39599563000.0,39864107000.0,36105180000.0,35639970000.0,33590284000.0
2057.0,34914894000.0,37387325000.0,39899720000.0,38535010000.0,39275225000.0,34771345000.0,37188465000.0,35525046000.0,32498754000.0,39370535000.0,39354286000.0,35470030000.0,34906337000.0,32917866000.0
2058.0,34498617000.0,36743418000.0,39482266000.0,38320353000.0,38657065000.0,34311620000.0,36573490000.0,34966614000.0,31936630000.0,38833295000.0,38872744000.0,34713817000.0,34681393000.0,32344678000.0
2059.0,34015013000.0,36186650000.0,39121520000.0,37810352000.0,38181910000.0,34054090000.0,35988214000.0,34503807000.0,31420686000.0,38527340000.0,38368040000.0,33950063000.0,33978720000.0,31760560000.0
2060.0,33708997000.0,35667562000.0,38422245000.0,37546054000.0,37655930000.0,33550617000.0,35648420000.0,34027387000.0,30999638000.0,37936562000.0,37968626000.0,33375158000.0,33588701000.0,31161666000.0
2061.0,33362237000.0,35374182000.0,37861556000.0,36850975000.0,37227745000.0,32986003000.0,35273370000.0,33486176000.0,30472570000.0,37472980000.0,37493210000.0,32632072000.0,33256460000.0,30563047000.0
2062.0,32802890000.0,34894574000.0,37589537000.0,36377838000.0,36923950000.0,32712192000.0,34948040000.0,33009715000.0,29981225000.0,36926726000.0,37042830000.0,32033171000.0,32770724000.0,30009510000.0
