time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2250.0,686746600.0,1093565800.0,773087700.0
2251.0,630629000.0,1093046400.0,777323600.0
2252.0,669786300.0,1176385900.0,757468700.0
2253.0,662271200.0,1119231000.0,734977300.0
2254.0,649507500.0,1098146800.0,720421060.0
2255.0,620867700.0,1100543900.0,714080060.0
2256.0,707571900.0,1089358000.0,701401500.0
2257.0,710352960.0,1117238100.0,695276800.0
2258.0,657897860.0,1114379400.0,694894700.0
2259.0,629155650.0,1096998000.0,692432500.0
2260.0,628940900.0,1092834000.0,688413700.0
2261.0,654559000.0,1103372900.0,695840450.0
2262.0,628989300.0,1092469900.0,684485100.0
2263.0,629061500.0,1097224000.0,690007040.0
2264.0,712714200.0,1090938600.0,692213700.0
2265.0,645510900.0,1118177900.0,683441000.0
2266.0,633882700.0,1089227000.0,675464100.0
2267.0,630549100.0,1151597800.0,860128000.0
2268.0,679555500.0,1163726300.0,691530500.0
2269.0,663248700.0,1135712500.0,678785100.0
2270.0,635985000.0,1132496900.0,743545540.0
2271.0,633522200.0,1163005800.0,680631230.0
2272.0,667353900.0,1135459100.0,672084100.0
2273.0,647945800.0,1130535000.0,772500600.0
2274.0,637218600.0,1121625500.0,747882600.0
2275.0,639034400.0,1113458400.0,733295600.0
2276.0,637608960.0,1108480600.0,712665500.0
2277.0,636656800.0,1131020900.0,707188860.0
2278.0,631583800.0,1178487800.0,688262460.0
2279.0,629554900.0,1128954200.0,688804860.0
2280.0,836638900.0,1173561700.0,685742900.0
2281.0,670708160.0,1143147800.0,691241340.0
2282.0,660035100.0,1272777500.0,684283200.0
2283.0,653433540.0,1233836300.0,689892540.0
2284.0,648380740.0,1163589000.0,689061900.0
2285.0,649694500.0,1150377700.0,704590400.0
2286.0,647899650.0,1178043100.0,703119300.0
2287.0,639901100.0,1159324400.0,694237060.0
2288.0,671249400.0,1153397500.0,693725800.0
2289.0,638482050.0,1147536600.0,693361300.0
2290.0,642944260.0,1154983200.0,687729700.0
2291.0,911821000.0,1159652000.0,687096500.0
2292.0,839475200.0,1145594900.0,807020740.0
2293.0,813645630.0,1138069600.0,784321500.0
2294.0,710981000.0,1132982900.0,874984300.0
2295.0,716073200.0,1129866000.0,790148160.0
2296.0,697069000.0,1141586400.0,760542000.0
2297.0,692992400.0,1216829800.0,896125440.0
2298.0,674826300.0,1192010800.0,807163800.0
2299.0,666898900.0,1193721200.0,792836350.0
2300.0,663060160.0,1277620000.0,781133950.0
