time,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CNRM-ESM2-1,TAIESM1,UKESM1-0-LL,GFDL-ESM4,EC-EARTH3,CANESM5,KACE-1-0-G,IPSL-CM6A-LR,MRI-ESM2-0
2064.0,17264103000.0,30089800000.0,32619414000.0,12579930000.0,34295988000.0,16767529000.0,10123258000.0,10333455000.0,26647468000.0,18471460000.0,13418031000.0,17098761000.0,19716532000.0,26135448000.0
2065.0,17161204000.0,30769750000.0,32663546000.0,12109250000.0,35303980000.0,17841975000.0,10242884000.0,10372822000.0,27102013000.0,17643266000.0,13255334000.0,17559263000.0,19414137000.0,25092202000.0
2066.0,17435030000.0,31621580000.0,32527490000.0,11648780000.0,34884500000.0,16931990000.0,9759551000.0,10980379000.0,27048727000.0,18163600000.0,13554308000.0,17327454000.0,19145670000.0,23881452000.0
2067.0,16566452000.0,31398154000.0,31775062000.0,12073263000.0,35556307000.0,16007770000.0,9892742000.0,10885302000.0,26208750000.0,17875552000.0,13596549000.0,16823658000.0,19042440000.0,23325323000.0
2068.0,16061556000.0,30317642000.0,30310273000.0,11888791000.0,35428057000.0,17543627000.0,10163040000.0,10152280000.0,25531726000.0,16954113000.0,13660176000.0,16438810000.0,19323470000.0,22551798000.0
2069.0,16240808000.0,31357762000.0,29325540000.0,11399548000.0,35033465000.0,18145930000.0,10021352000.0,9946305000.0,25367632000.0,17287686000.0,13854560000.0,16861727000.0,19584444000.0,21266516000.0
2070.0,16497219000.0,32574945000.0,29766750000.0,10881294000.0,35283760000.0,17716902000.0,9437056000.0,9700812000.0,24791036000.0,17610873000.0,13834826000.0,16591221000.0,19741854000.0,20552530000.0
2071.0,15805220000.0,33334854000.0,29474249000.0,11376193000.0,35931242000.0,17996870000.0,9686151000.0,8832468000.0,24414652000.0,16332558000.0,13164530000.0,16599426000.0,19000938000.0,20958340000.0
2072.0,15699052000.0,32694772000.0,29189460000.0,11452576000.0,35964300000.0,17126060000.0,10014166000.0,8978090000.0,25158042000.0,16566691000.0,13039567000.0,17208668000.0,18659967000.0,21567625000.0
2073.0,15141943000.0,31482124000.0,28792970000.0,11424644000.0,35754177000.0,16742861000.0,9826133000.0,9554858000.0,25705190000.0,17113214000.0,13227767000.0,17076141000.0,19271483000.0,21947520000.0
