time,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2172.0,15482383000.0,11148944000.0,11368934000.0,14658375000.0,16543327000.0,17950994000.0
2173.0,15487316000.0,11108107000.0,11072334000.0,14657924000.0,16581360000.0,17676917000.0
2174.0,15333172000.0,11059089000.0,11063998000.0,14563010000.0,16466183000.0,17851270000.0
2175.0,15319076000.0,11165257000.0,10946474000.0,14594277000.0,16684540000.0,17540024000.0
2176.0,15302404000.0,11117273000.0,10902383000.0,15908951000.0,16382896000.0,17727170000.0
2177.0,15716007000.0,10958628000.0,11073623000.0,15087186000.0,16412426000.0,17438147000.0
2178.0,16274243000.0,11151075000.0,11299485000.0,14930494000.0,16241204000.0,17429492000.0
2179.0,16688232000.0,10987577000.0,11010449000.0,14613778000.0,16269279000.0,17314906000.0
2180.0,15579834000.0,11015238000.0,10896479000.0,14712974000.0,16140252000.0,17351688000.0
2181.0,15934255000.0,11033182000.0,10945335000.0,14562849000.0,16285441000.0,17468582000.0
2182.0,16712966000.0,10810251000.0,10885756000.0,14754771000.0,16057906000.0,17286674000.0
2183.0,15851734000.0,10758313000.0,10856443000.0,14554204000.0,16024375000.0,17498538000.0
2184.0,15864912000.0,10949943000.0,11274351000.0,15844506000.0,16016317000.0,17261474000.0
2185.0,15904664000.0,10875188000.0,10913746000.0,14732724000.0,15813752000.0,17350273000.0
2186.0,15711545000.0,10622082000.0,10828435000.0,14495871000.0,15675636000.0,17149394000.0
2187.0,15598009000.0,10588772000.0,10791365000.0,15128916000.0,15571040000.0,17111484000.0
2188.0,17553222000.0,10654552000.0,11744549000.0,14612591000.0,15427039000.0,19186710000.0
2189.0,16358591000.0,10540270000.0,11034656000.0,14432058000.0,15413259000.0,18263472000.0
2190.0,15867260000.0,10869262000.0,10827742000.0,14726007000.0,15749229000.0,17730169000.0
2191.0,15819321000.0,10563281000.0,10867963000.0,14875726000.0,15390120000.0,17679620000.0
2192.0,15798474000.0,10518222000.0,11254187000.0,14842198000.0,15170522000.0,18516584000.0
2193.0,15682764000.0,10412751000.0,10781366000.0,15226994000.0,15178830000.0,17934449000.0
2194.0,15648406000.0,10704662000.0,10751216000.0,14577566000.0,15184350000.0,17476758000.0
2195.0,15687896000.0,10659867000.0,10780347000.0,14795390000.0,14990065000.0,17708077000.0
2196.0,15652766000.0,10627999000.0,10794734000.0,14773279000.0,14895899000.0,17420757000.0
2197.0,15589876000.0,10327816000.0,10774232000.0,14558140000.0,15058903000.0,17282048000.0
2198.0,15535842000.0,10225024000.0,10687756000.0,14457022000.0,14832285000.0,17261834000.0
2199.0,15549271000.0,10511027000.0,10781837000.0,14394594000.0,14722979000.0,17182036000.0
2200.0,15572176000.0,10269447000.0,10729661000.0,14371522000.0,14676953000.0,17294825000.0
2201.0,15590974000.0,10155374000.0,10730997000.0,14905232000.0,14843808000.0,17089210000.0
2202.0,15620796000.0,10282973000.0,10689255000.0,14443567000.0,14716180000.0,18102317000.0
2203.0,15440134000.0,10106234000.0,10631619000.0,14569165000.0,14605869000.0,17465997000.0
2204.0,15430766000.0,10055249000.0,10668250000.0,14288912000.0,14632557000.0,17617684000.0
2205.0,15887984000.0,10023638000.0,10634548000.0,14252732000.0,14543628000.0,17572094000.0
