time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0
2083.0,448653600.0,482693860.0,487985280.0,611072200.0,354814050.0,415768320.0,598109950.0,329146530.0,554832000.0,278175170.0,500357340.0,429663170.0,737171500.0,915300600.0
2084.0,438167680.0,478260160.0,481085340.0,593706500.0,340102240.0,412939200.0,602781060.0,313724030.0,544471550.0,272885500.0,494259870.0,428767500.0,732891840.0,904183230.0
2085.0,421967070.0,474019200.0,479639000.0,589476000.0,332102370.0,407996480.0,624815360.0,295326940.0,536243550.0,265779180.0,477217000.0,425470600.0,725431900.0,886720260.0
2086.0,416738620.0,465575360.0,477679650.0,576807900.0,322510560.0,403077220.0,692266300.0,294535800.0,529943900.0,262741380.0,470211550.0,414417200.0,717322240.0,870460400.0
2087.0,413675100.0,456494600.0,472234270.0,561446400.0,311326240.0,396359460.0,647063700.0,275943840.0,521968160.0,255669070.0,457322000.0,407390820.0,710530000.0,859362560.0
2088.0,400114780.0,449167100.0,468122940.0,567835200.0,307679500.0,402951460.0,634054300.0,264160830.0,515554300.0,245629630.0,451593900.0,418970940.0,708308350.0,842809000.0
2089.0,390527000.0,445625000.0,464024450.0,549540740.0,308489380.0,390991580.0,649270800.0,252551150.0,509285700.0,239305380.0,439667600.0,408428160.0,708139400.0,828529000.0
2090.0,382497950.0,438516580.0,459413250.0,538184000.0,300566600.0,382244960.0,642088300.0,247607300.0,503376540.0,234643780.0,422780740.0,398914180.0,697193860.0,808425150.0
2091.0,374074340.0,436564600.0,455206180.0,530748300.0,289856860.0,374058800.0,633881400.0,241439460.0,498431500.0,230518400.0,414628030.0,392308830.0,687621760.0,780437500.0
2092.0,358857300.0,428309120.0,451888060.0,530902200.0,285364770.0,364933000.0,642403000.0,241713020.0,497875230.0,225616510.0,406215300.0,388267600.0,682366700.0,761911800.0
2093.0,374713300.0,427162500.0,447790400.0,518735420.0,283239900.0,363548220.0,631018700.0,236685950.0,498335360.0,219063780.0,396705300.0,384264060.0,672170940.0,755714750.0
2094.0,357059140.0,419965660.0,444252700.0,512276960.0,283606240.0,357992480.0,625378050.0,229511060.0,495187200.0,216815340.0,393041950.0,373227520.0,663861440.0,744857200.0
2095.0,344345860.0,409998980.0,436294980.0,506983600.0,281572600.0,352712670.0,622492400.0,229401660.0,489581800.0,212282180.0,393275400.0,375338880.0,659972860.0,729388600.0
2096.0,341398340.0,403911700.0,430436480.0,498810600.0,282469860.0,357942050.0,619844740.0,226494290.0,487882270.0,211705620.0,384669540.0,364541860.0,651172200.0,719929860.0
2097.0,336855360.0,400537180.0,428467500.0,498412700.0,279794460.0,351883300.0,613183550.0,222420290.0,482804480.0,208659090.0,376344030.0,352068030.0,650749200.0,706718900.0
2098.0,326556220.0,394889470.0,422531900.0,488401120.0,277640000.0,352820160.0,604224900.0,234550420.0,477180400.0,203486480.0,406649500.0,359466700.0,641418430.0,700314000.0
2099.0,321064160.0,393747800.0,418207070.0,482385540.0,277494660.0,350728450.0,602276700.0,231366420.0,471873020.0,207408940.0,386461020.0,351180740.0,636688260.0,697942900.0
2100.0,332565470.0,386833820.0,415033730.0,484745180.0,276367870.0,348442000.0,597294000.0,223980620.0,467904700.0,204399280.0,372265300.0,342231520.0,632160640.0,694779200.0
