time,CANESM2,CNRM-CM5,GFDL-CM3,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR
2058.0,6396938600000.0,6306972000000.0,5944965600000.0,6136580000000.0,6248782000000.0,6813284000000.0,6642712000000.0,6359771000000.0,6340951400000.0,5537352600000.0,5744828000000.0
2059.0,6368946000000.0,6254852300000.0,5896356000000.0,6111546000000.0,6189740000000.0,6780068300000.0,6628187300000.0,6346133500000.0,6302303500000.0,5488220000000.0,5691268400000.0
2060.0,6329902600000.0,6219755400000.0,5854143000000.0,6074904600000.0,6148836600000.0,6748690000000.0,6618649000000.0,6316745600000.0,6276785400000.0,5428891600000.0,5633549000000.0
2061.0,6311840300000.0,6174339000000.0,5805365500000.0,6035467700000.0,6104310300000.0,6731420700000.0,6588689000000.0,6299433000000.0,6265177600000.0,5367408400000.0,5590598000000.0
2062.0,6292927700000.0,6120466300000.0,5765469000000.0,6022815500000.0,6051260000000.0,6717845300000.0,6575407000000.0,6285339000000.0,6243838000000.0,5307928400000.0,5541076700000.0
2063.0,6279252700000.0,6058236000000.0,5723830400000.0,5997587000000.0,6018466000000.0,6698284000000.0,6559576400000.0,6270254000000.0,6208135600000.0,5251558500000.0,5507318300000.0
2064.0,6221010000000.0,6035818400000.0,5699623000000.0,5970453300000.0,5994006000000.0,6658885000000.0,6531028000000.0,6247616000000.0,6200924000000.0,5216751000000.0,5455671700000.0
2065.0,6211499500000.0,5972585000000.0,5669966000000.0,5945372400000.0,5966297300000.0,6645065700000.0,6521374000000.0,6226910000000.0,6191099400000.0,5174145000000.0,5415504400000.0
2066.0,6171953500000.0,5938618600000.0,5631742000000.0,5913454300000.0,5939747400000.0,6628105000000.0,6507553000000.0,6202124000000.0,6193041000000.0,5117279000000.0,5363511000000.0
2067.0,6145342700000.0,5898974500000.0,5591548000000.0,5886387400000.0,5893002400000.0,6626830500000.0,6502310000000.0,6178675000000.0,6152441000000.0,5065474600000.0,5283691000000.0
2068.0,6119701000000.0,5850340000000.0,5545411500000.0,5871419500000.0,5848552000000.0,6599877300000.0,6496391300000.0,6154051600000.0,6137963000000.0,5011794300000.0,5228162000000.0
2069.0,6090025000000.0,5816170600000.0,5494394600000.0,5849368000000.0,5793724000000.0,6589228000000.0,6491070300000.0,6129824000000.0,6135353000000.0,4975314300000.0,5184126700000.0
2070.0,6065277600000.0,5771901000000.0,5441696300000.0,5825837400000.0,5760987700000.0,6570241000000.0,6486352700000.0,6093850300000.0,6125610600000.0,4925650600000.0,5122411700000.0
2071.0,6040906000000.0,5744911500000.0,5380391300000.0,5789293000000.0,5728542000000.0,6557543000000.0,6475506000000.0,6071470000000.0,6109576000000.0,4853736000000.0,5063347500000.0
2072.0,6000551000000.0,5693782000000.0,5314123400000.0,5756043000000.0,5682604500000.0,6536593700000.0,6465044000000.0,6045637000000.0,6094537600000.0,4812706400000.0,5000841400000.0
2073.0,5945754000000.0,5647476700000.0,5281222000000.0,5738356000000.0,5638949000000.0,6522593600000.0,6447518000000.0,6007412500000.0,6066838400000.0,4765747000000.0,4959925400000.0
2074.0,5921585000000.0,5601711000000.0,5218669400000.0,5713168000000.0,5579020000000.0,6500351700000.0,6413029500000.0,5993960300000.0,6054809000000.0,4719804700000.0,4913010600000.0
2075.0,5896111400000.0,5562111600000.0,5177573000000.0,5678842000000.0,5528777000000.0,6483988000000.0,6399884500000.0,5970587000000.0,6021562500000.0,4671424400000.0,4863745300000.0
2076.0,5874713600000.0,5522232700000.0,5136175000000.0,5644207000000.0,5484667500000.0,6481532000000.0,6394386300000.0,5918885400000.0,6009056700000.0,4625902600000.0,4809041000000.0
2077.0,5842834300000.0,5476505400000.0,5079318400000.0,5608417300000.0,5458160500000.0,6460584500000.0,6387596000000.0,5868060400000.0,5981846600000.0,4588748000000.0,4767847000000.0
2078.0,5785849000000.0,5429980600000.0,5019270000000.0,5586282000000.0,5399716000000.0,6434308000000.0,6387146400000.0,5827305400000.0,5952497000000.0,4557315000000.0,4736624400000.0
2079.0,5748697300000.0,5399331000000.0,4976318300000.0,5567194000000.0,5373021000000.0,6413465000000.0,6382320400000.0,5804537000000.0,5938041000000.0,4512268000000.0,4710294000000.0
2080.0,5718117700000.0,5362849700000.0,4922571500000.0,5542743400000.0,5318932000000.0,6392924600000.0,6364864000000.0,5768843600000.0,5898369000000.0,4468939700000.0,4678127500000.0
