time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2075.0,2895204300000.0,2552957800000.0,2529481700000.0,2461455600000.0,2748705400000.0,2751638800000.0,2212621700000.0,2055797600000.0,2598605200000.0,2778306200000.0
2076.0,2873946000000.0,2511229400000.0,2478111200000.0,2411561700000.0,2712738000000.0,2724399400000.0,2178213600000.0,2011262000000.0,2567431000000.0,2756443400000.0
2077.0,2863625000000.0,2476299500000.0,2422779700000.0,2378762000000.0,2688350700000.0,2703623200000.0,2122477600000.0,1973464900000.0,2528009300000.0,2730052600000.0
2078.0,2850130000000.0,2426877200000.0,2378937000000.0,2348429600000.0,2656243500000.0,2670012000000.0,2070546400000.0,1930182000000.0,2497005500000.0,2697651600000.0
2079.0,2830718700000.0,2398526600000.0,2335760200000.0,2306461000000.0,2631706600000.0,2642597000000.0,2033231600000.0,1904970600000.0,2466962200000.0,2668273900000.0
2080.0,2800755100000.0,2378608700000.0,2303970800000.0,2252022700000.0,2604828200000.0,2618145000000.0,1995297900000.0,1864322600000.0,2414104000000.0,2636246000000.0
2081.0,2779611100000.0,2336314600000.0,2263125900000.0,2217659600000.0,2569912700000.0,2595038700000.0,1962905200000.0,1816220800000.0,2395816300000.0,2618512600000.0
2082.0,2755931100000.0,2312008400000.0,2219880000000.0,2180890500000.0,2535162000000.0,2570455400000.0,1926431100000.0,1781993300000.0,2371933700000.0,2602603400000.0
2083.0,2734929000000.0,2298025600000.0,2188112700000.0,2148055000000.0,2485663600000.0,2537348400000.0,1888754000000.0,1739250900000.0,2342756300000.0,2548588300000.0
2084.0,2700371300000.0,2276034300000.0,2148811500000.0,2101878200000.0,2431092000000.0,2521288100000.0,1859208600000.0,1711650200000.0,2321077200000.0,2501772000000.0
